cell_id,Pipilo erythrophthalmus,Pipilo erythrophthalmus erythrophthalmus/canaster,Pipilo erythrophthalmus alleni/rileyi
840e491ffffffff,1.0,0.0,0.0
840e497ffffffff,4.0,0.0,0.0
840e4d3ffffffff,1.0,0.0,0.0
840e4dbffffffff,1.0,0.0,0.0
840e5b1ffffffff,2.0,0.0,0.0
840ecc9ffffffff,8.0,0.0,0.0
84124e5ffffffff,2.0,0.0,0.0
8412597ffffffff,7.0,0.0,0.0
8412ecdffffffff,35.0,0.0,0.0
841aa07ffffffff,3.0,0.0,0.0
841aa23ffffffff,2.0,0.0,0.0
841aa35ffffffff,5.0,0.0,0.0
841aa3dffffffff,9.0,0.0,0.0
841ab0bffffffff,1.0,0.0,0.0
8426003ffffffff,1.0,0.0,0.0
8426015ffffffff,8.0,0.0,0.0
8426017ffffffff,5.0,0.0,0.0
842601dffffffff,6.0,0.0,0.0
8426033ffffffff,1.0,0.0,0.0
8426039ffffffff,6.0,0.0,0.0
8426085ffffffff,16.0,2.0,0.0
8426087ffffffff,3.0,0.0,0.0
842608dffffffff,2.0,0.0,0.0
8426099ffffffff,4.0,0.0,0.0
84260a1ffffffff,6.0,6.0,0.0
84260a5ffffffff,2.0,0.0,0.0
84260a9ffffffff,5.0,0.0,0.0
84260adffffffff,35.0,0.0,0.0
84260b9ffffffff,7.0,5.0,0.0
84260bdffffffff,2.0,0.0,0.0
84260d9ffffffff,4.0,0.0,0.0
84260e1ffffffff,3.0,0.0,0.0
84260e3ffffffff,5.0,0.0,0.0
84260e7ffffffff,8.0,0.0,0.0
84260ebffffffff,7.0,3.0,0.0
8426183ffffffff,5.0,0.0,0.0
8426187ffffffff,3.0,0.0,0.0
842619dffffffff,1.0,0.0,0.0
84261b1ffffffff,2.0,0.0,0.0
84261d1ffffffff,4.0,0.0,0.0
84261dbffffffff,7.0,0.0,0.0
84261e1ffffffff,2.0,0.0,0.0
84261e9ffffffff,2.0,0.0,0.0
8426203ffffffff,2.0,0.0,0.0
8426237ffffffff,1.0,0.0,0.0
842623bffffffff,2.0,0.0,0.0
842624bffffffff,2.0,0.0,0.0
8426269ffffffff,2.0,0.0,0.0
8426293ffffffff,4.0,0.0,0.0
84262c9ffffffff,2.0,0.0,0.0
84262cdffffffff,5.0,0.0,0.0
84262d9ffffffff,2.0,0.0,0.0
8426403ffffffff,2.0,0.0,0.0
842640dffffffff,16.0,0.0,0.0
8426417ffffffff,2.0,0.0,0.0
8426421ffffffff,2.0,0.0,0.0
8426425ffffffff,1.0,0.0,0.0
842642bffffffff,1.0,0.0,0.0
8426431ffffffff,2.0,0.0,0.0
8426433ffffffff,18.0,0.0,0.0
8426439ffffffff,21.0,0.0,0.0
842643bffffffff,13.0,0.0,0.0
8426443ffffffff,1.0,0.0,0.0
8426459ffffffff,1.0,0.0,0.0
8426461ffffffff,8.0,0.0,0.0
8426463ffffffff,51.0,0.0,0.0
8426487ffffffff,3.0,0.0,0.0
8426493ffffffff,9.0,0.0,0.0
84264a1ffffffff,8.0,6.0,0.0
84264a3ffffffff,4.0,4.0,0.0
84264a7ffffffff,31.0,12.0,0.0
84264abffffffff,1.0,1.0,0.0
