cell_id,Piaya cayana,Piaya cayana mexicana,Piaya cayana thermophila,Piaya cayana nigricrissa,Piaya cayana [cayana Group]
834501fffffffff,2.0,0.0,0.0,0.0,0.0
834508fffffffff,2.0,0.0,0.0,0.0,0.0
834509fffffffff,3.0,0.0,3.0,0.0,0.0
83450cfffffffff,4.0,0.0,0.0,0.0,0.0
834520fffffffff,15.0,0.0,0.0,0.0,0.0
834521fffffffff,3.0,0.0,0.0,0.0,0.0
834523fffffffff,3.0,0.0,0.0,0.0,0.0
834528fffffffff,9.0,0.0,8.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0,0.0
83452efffffffff,6.0,0.0,0.0,0.0,0.0
83480afffffffff,1.0,0.0,0.0,0.0,0.0
834833fffffffff,24.0,6.0,0.0,0.0,0.0
834836fffffffff,6.0,6.0,0.0,0.0,0.0
834981fffffffff,1.0,0.0,0.0,0.0,0.0
834986fffffffff,9.0,9.0,0.0,0.0,0.0
834988fffffffff,1.0,0.0,0.0,0.0,0.0
834990fffffffff,1.0,0.0,1.0,0.0,0.0
834991fffffffff,3.0,0.0,3.0,0.0,0.0
834995fffffffff,2.0,0.0,0.0,0.0,0.0
834996fffffffff,21.0,0.0,1.0,0.0,0.0
834998fffffffff,7.0,0.0,7.0,0.0,0.0
8349a2fffffffff,1.0,1.0,0.0,0.0,0.0
8349a8fffffffff,2.0,2.0,0.0,0.0,0.0
8349b2fffffffff,3.0,3.0,0.0,0.0,0.0
8349b3fffffffff,2.0,2.0,0.0,0.0,0.0
835f16fffffffff,2.0,0.0,0.0,0.0,2.0
835f58fffffffff,7.0,0.0,0.0,0.0,7.0
835f5bfffffffff,4.0,0.0,0.0,0.0,4.0
836602fffffffff,2.0,0.0,0.0,2.0,0.0
836608fffffffff,7.0,0.0,0.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0,0.0,0.0
836619fffffffff,6.0,0.0,0.0,0.0,0.0
83661bfffffffff,2.0,0.0,0.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0,0.0,0.0
8366b4fffffffff,7.0,0.0,4.0,0.0,0.0
8366b5fffffffff,6.0,0.0,0.0,0.0,0.0
8366c2fffffffff,8.0,0.0,0.0,0.0,8.0
8366d3fffffffff,4.0,0.0,0.0,4.0,0.0
8366dcfffffffff,3.0,0.0,0.0,0.0,0.0
8366defffffffff,6.0,0.0,0.0,0.0,0.0
8366e6fffffffff,7.0,0.0,0.0,0.0,1.0
8366f0fffffffff,1.0,0.0,0.0,0.0,0.0
8366f1fffffffff,3.0,0.0,0.0,0.0,1.0
836741fffffffff,12.0,0.0,0.0,0.0,0.0
83674cfffffffff,5.0,0.0,0.0,0.0,0.0
836751fffffffff,2.0,0.0,0.0,0.0,0.0
836755fffffffff,4.0,0.0,0.0,0.0,0.0
836759fffffffff,4.0,0.0,0.0,0.0,4.0
83679afffffffff,26.0,0.0,18.0,0.0,0.0
836d04fffffffff,11.0,0.0,11.0,0.0,0.0
836d05fffffffff,3.0,0.0,3.0,0.0,0.0
836d14fffffffff,2.0,2.0,0.0,0.0,0.0
836d15fffffffff,95.0,95.0,0.0,0.0,0.0
836d21fffffffff,8.0,0.0,0.0,0.0,0.0
836d23fffffffff,13.0,0.0,4.0,0.0,0.0
836d2afffffffff,1.0,0.0,0.0,0.0,0.0
836d2bfffffffff,5.0,0.0,0.0,0.0,0.0
836d30fffffffff,30.0,0.0,30.0,0.0,0.0
836d31fffffffff,41.0,0.0,40.0,0.0,0.0
836d32fffffffff,9.0,9.0,0.0,0.0,0.0
836d33fffffffff,106.0,106.0,0.0,0.0,0.0
836d35fffffffff,1.0,0.0,1.0,0.0,0.0
836d36fffffffff,4.0,3.0,1.0,0.0,0.0
836d68fffffffff,6.0,0.0,1.0,0.0,0.0
836d69fffffffff,12.0,0.0,1.0,0.0,0.0
836d6bfffffffff,4.0,0.0,0.0,0.0,0.0
836d6dfffffffff,1.0,0.0,0.0,0.0,0.0
838023fffffffff,2.0,0.0,0.0,0.0,0.0
838a69fffffffff,1.0,0.0,0.0,0.0,1.0
838b22fffffffff,4.0,0.0,0.0,0.0,3.0
838b56fffffffff,1.0,0.0,0.0,0.0,1.0
838b61fffffffff,2.0,0.0,0.0,0.0,2.0
838b71fffffffff,2.0,0.0,0.0,0.0,2.0
838b74fffffffff,1.0,0.0,0.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0,0.0,0.0
838f46fffffffff,1.0,0.0,0.0,0.0,1.0
838f73fffffffff,1.0,0.0,0.0,0.0,1.0
83a8a1fffffffff,2.0,0.0,0.0,0.0,0.0
83a953fffffffff,4.0,0.0,0.0,0.0,4.0
83a961fffffffff,27.0,0.0,0.0,0.0,0.0
83a962fffffffff,3.0,0.0,0.0,0.0,3.0
83a965fffffffff,2.0,0.0,0.0,0.0,0.0
83a96cfffffffff,6.0,0.0,0.0,0.0,0.0
83a96efffffffff,2.0,0.0,0.0,0.0,0.0
83b268fffffffff,2.0,0.0,0.0,0.0,0.0
83b26dfffffffff,1.0,0.0,0.0,0.0,0.0
83b35cfffffffff,2.0,0.0,0.0,0.0,0.0
83c2c5fffffffff,9.0,0.0,0.0,0.0,0.0
83c2d0fffffffff,2.0,0.0,0.0,0.0,0.0
83c2e2fffffffff,7.0,0.0,0.0,0.0,0.0
83c2f3fffffffff,4.0,0.0,0.0,0.0,0.0
