cell_id,Dryobates lignarius,Dryobates lignarius puncticeps,Dryobates lignarius lignarius
828b27fffffffff,171.0,0.0,0.0
828b2ffffffffff,58.0,0.0,0.0
82b21ffffffffff,179.0,0.0,0.0
82b2c7fffffffff,5092.0,0.0,0.0
82b2cffffffffff,318.0,0.0,0.0
82b2dffffffffff,293.0,0.0,0.0
82b2e7fffffffff,373.0,0.0,0.0
82b32ffffffffff,4.0,0.0,0.0
82b377fffffffff,1.0,0.0,0.0
82ce17fffffffff,1.0,0.0,0.0
82ce87fffffffff,443.0,0.0,0.0
82ce8ffffffffff,362.0,0.0,0.0
82ce9ffffffffff,225.0,0.0,0.0
82cea7fffffffff,99.0,0.0,0.0
82ceaffffffffff,566.0,0.0,0.0
82cf17fffffffff,182.0,0.0,0.0
82cf8ffffffffff,149.0,0.0,0.0
82cfaffffffffff,53.0,0.0,0.0
82df6ffffffffff,8.0,0.0,0.0
