cell_id,Philemon buceroides,Philemon buceroides novaeguineae,Philemon buceroides yorki,Philemon buceroides gordoni/ammitophilus,Philemon buceroides buceroides/neglectus
8472867ffffffff,1.0,0.0,0.0,0.0,0.0
84728c3ffffffff,1.0,0.0,0.0,0.0,0.0
8472913ffffffff,7.0,0.0,0.0,0.0,0.0
84729dbffffffff,40.0,0.0,0.0,0.0,0.0
84729e9ffffffff,5.0,0.0,0.0,0.0,0.0
8472a07ffffffff,8.0,6.0,0.0,0.0,0.0
8472a2bffffffff,14.0,14.0,0.0,0.0,0.0
8472b03ffffffff,1.0,0.0,0.0,0.0,0.0
8472c25ffffffff,3.0,0.0,0.0,0.0,0.0
8472d19ffffffff,33.0,1.0,0.0,0.0,0.0
8472d1bffffffff,1.0,0.0,0.0,0.0,0.0
8472d23ffffffff,88.0,58.0,0.0,0.0,0.0
8472d49ffffffff,2.0,0.0,0.0,0.0,0.0
8472d59ffffffff,4.0,2.0,0.0,0.0,0.0
8472d5dffffffff,2.0,0.0,0.0,0.0,0.0
8472d91ffffffff,4.0,0.0,0.0,0.0,0.0
8472d97ffffffff,20.0,20.0,0.0,0.0,0.0
8472da1ffffffff,15.0,7.0,0.0,0.0,0.0
8472da3ffffffff,8.0,4.0,0.0,0.0,0.0
8472dabffffffff,1.0,0.0,0.0,0.0,0.0
8472db3ffffffff,68.0,2.0,0.0,0.0,0.0
8472dbbffffffff,45.0,0.0,0.0,0.0,0.0
8472dd5ffffffff,3.0,1.0,0.0,0.0,0.0
8472debffffffff,9.0,2.0,0.0,0.0,0.0
8472f23ffffffff,251.0,137.0,0.0,0.0,0.0
8472f35ffffffff,144.0,54.0,0.0,0.0,0.0
8472f37ffffffff,3.0,2.0,0.0,0.0,0.0
8473987ffffffff,7.0,7.0,0.0,0.0,0.0
84739a1ffffffff,7.0,0.0,0.0,0.0,0.0
84739a3ffffffff,1.0,0.0,0.0,0.0,0.0
84739a7ffffffff,3.0,0.0,0.0,0.0,0.0
84739a9ffffffff,31.0,17.0,0.0,0.0,0.0
84739abffffffff,430.0,208.0,0.0,0.0,0.0
84739b1ffffffff,171.0,78.0,0.0,0.0,0.0
84739b3ffffffff,4.0,0.0,0.0,0.0,0.0
84739b5ffffffff,149.0,75.0,0.0,0.0,0.0
84739bbffffffff,1.0,0.0,0.0,0.0,0.0
8494049ffffffff,3.0,0.0,0.0,0.0,0.0
849404dffffffff,17.0,0.0,0.0,0.0,4.0
8494213ffffffff,13.0,0.0,0.0,0.0,12.0
8494219ffffffff,8.0,0.0,0.0,0.0,2.0
849421bffffffff,38.0,0.0,0.0,0.0,6.0
849421dffffffff,12.0,0.0,0.0,0.0,5.0
8494231ffffffff,8.0,0.0,0.0,0.0,5.0
8494235ffffffff,6.0,0.0,0.0,0.0,0.0
8494237ffffffff,4.0,0.0,0.0,0.0,1.0
8494257ffffffff,5.0,0.0,0.0,0.0,2.0
8494269ffffffff,1.0,0.0,0.0,0.0,0.0
849426dffffffff,4.0,0.0,0.0,0.0,0.0
8494289ffffffff,4.0,0.0,0.0,0.0,4.0
84942c1ffffffff,112.0,0.0,0.0,0.0,28.0
84942c3ffffffff,7.0,0.0,0.0,0.0,7.0
84942c5ffffffff,12.0,0.0,0.0,0.0,6.0
84942c9ffffffff,3.0,0.0,0.0,0.0,0.0
84942cdffffffff,16.0,0.0,0.0,0.0,10.0
84942d1ffffffff,6.0,0.0,0.0,0.0,1.0
84942d3ffffffff,32.0,0.0,0.0,0.0,16.0
84942d5ffffffff,13.0,0.0,0.0,0.0,5.0
84942ddffffffff,5.0,0.0,0.0,0.0,0.0
8494313ffffffff,13.0,0.0,0.0,0.0,3.0
84944bdffffffff,2.0,0.0,0.0,0.0,0.0
8494501ffffffff,2.0,0.0,0.0,0.0,0.0
8494503ffffffff,7.0,0.0,0.0,2.0,0.0
849450bffffffff,56.0,0.0,0.0,17.0,0.0
8494511ffffffff,2.0,0.0,0.0,0.0,0.0
8494515ffffffff,16.0,0.0,0.0,8.0,0.0
8494517ffffffff,2.0,0.0,0.0,0.0,0.0
849451dffffffff,789.0,0.0,0.0,197.0,0.0
8494533ffffffff,2.0,0.0,0.0,0.0,0.0
8494537ffffffff,1.0,0.0,0.0,0.0,0.0
8494539ffffffff,15.0,0.0,0.0,2.0,0.0
8494551ffffffff,7.0,0.0,0.0,0.0,0.0
8494559ffffffff,2.0,0.0,0.0,0.0,0.0
849458dffffffff,14.0,0.0,0.0,0.0,0.0
84945adffffffff,1.0,0.0,0.0,0.0,0.0
84945c3ffffffff,21.0,0.0,0.0,8.0,0.0
84945c5ffffffff,4.0,0.0,0.0,2.0,0.0
84945c7ffffffff,228.0,0.0,0.0,56.0,0.0
84945d7ffffffff,2.0,0.0,0.0,2.0,0.0
84945e1ffffffff,7.0,0.0,0.0,2.0,0.0
84945e3ffffffff,78.0,0.0,0.0,8.0,0.0
84945e5ffffffff,19.0,0.0,0.0,3.0,0.0
84945ebffffffff,18.0,0.0,0.0,2.0,0.0
8494e81ffffffff,2.0,0.0,0.0,0.0,0.0
8494e85ffffffff,2.0,0.0,0.0,0.0,0.0
8494ed3ffffffff,10.0,0.0,0.0,0.0,0.0
8494ed5ffffffff,4.0,0.0,0.0,0.0,0.0
8494edbffffffff,10.0,0.0,0.0,5.0,0.0
8495129ffffffff,4.0,0.0,0.0,0.0,0.0
849512dffffffff,11.0,0.0,0.0,0.0,0.0
8495185ffffffff,102.0,0.0,0.0,0.0,38.0
8495187ffffffff,2.0,0.0,0.0,0.0,2.0
84951a9ffffffff,11.0,0.0,0.0,0.0,2.0
84951abffffffff,61.0,0.0,0.0,0.0,21.0
84951bdffffffff,4.0,0.0,0.0,0.0,2.0
84951e3ffffffff,98.0,0.0,0.0,0.0,25.0
84951e5ffffffff,62.0,0.0,0.0,0.0,5.0
84951e7ffffffff,23.0,0.0,0.0,0.0,0.0
8495525ffffffff,4.0,0.0,0.0,0.0,4.0
8495527ffffffff,2.0,0.0,0.0,0.0,2.0
8495533ffffffff,17.0,0.0,0.0,0.0,0.0
8495537ffffffff,13.0,0.0,0.0,0.0,0.0
84956d3ffffffff,33.0,20.0,0.0,0.0,0.0
8495a55ffffffff,3.0,0.0,0.0,0.0,3.0
8495a59ffffffff,4.0,0.0,0.0,0.0,0.0
8495a91ffffffff,10.0,0.0,0.0,0.0,6.0
8495a99ffffffff,85.0,0.0,0.0,0.0,29.0
8495a9bffffffff,34.0,0.0,0.0,0.0,28.0
8495ad7ffffffff,3.0,0.0,0.0,0.0,3.0
849c001ffffffff,2.0,0.0,0.0,0.0,0.0
849c003ffffffff,7.0,0.0,3.0,0.0,0.0
849c009ffffffff,121.0,0.0,69.0,0.0,0.0
849c00bffffffff,51.0,0.0,30.0,0.0,0.0
849c013ffffffff,4.0,0.0,0.0,0.0,0.0
849c017ffffffff,3.0,0.0,0.0,0.0,0.0
849c019ffffffff,5.0,0.0,0.0,0.0,0.0
849c01dffffffff,1.0,0.0,0.0,0.0,0.0
849c051ffffffff,6.0,0.0,0.0,0.0,0.0
849c055ffffffff,14.0,0.0,8.0,0.0,0.0
849c057ffffffff,5.0,0.0,4.0,0.0,0.0
849c059ffffffff,38.0,0.0,22.0,0.0,0.0
849c05bffffffff,2.0,0.0,0.0,0.0,0.0
849c05dffffffff,614.0,0.0,225.0,0.0,0.0
849c0a1ffffffff,1.0,0.0,0.0,0.0,0.0
849c0a5ffffffff,10.0,0.0,8.0,0.0,0.0
849c0a7ffffffff,2.0,0.0,0.0,0.0,0.0
849c0adffffffff,11.0,0.0,7.0,0.0,0.0
849c0e7ffffffff,2.0,0.0,0.0,0.0,0.0
849c0e9ffffffff,24.0,0.0,5.0,0.0,0.0
849c0edffffffff,3.0,0.0,0.0,0.0,0.0
849c191ffffffff,505.0,0.0,218.0,0.0,0.0
