cell_id,Turdoides atripennis,Turdoides atripennis atripennis,Turdoides atripennis rubiginosus,Turdoides atripennis bohndorffi
8454cc3ffffffff,1.0,0.0,0.0,0.0
8454e05ffffffff,1.0,0.0,0.0,0.0
8454e25ffffffff,3.0,0.0,0.0,0.0
8454e83ffffffff,1.0,0.0,0.0,0.0
8454e8bffffffff,2.0,0.0,0.0,0.0
8454e91ffffffff,1.0,0.0,0.0,0.0
8454e9bffffffff,1.0,0.0,0.0,0.0
8454f0dffffffff,2.0,0.0,0.0,0.0
8454f1bffffffff,11.0,0.0,0.0,0.0
8454f47ffffffff,4.0,1.0,0.0,0.0
8454f6bffffffff,11.0,10.0,0.0,0.0
8458839ffffffff,3.0,0.0,0.0,0.0
8458969ffffffff,47.0,0.0,5.0,0.0
8458f47ffffffff,1.0,0.0,0.0,0.0
8458f51ffffffff,2.0,0.0,0.0,0.0
846a109ffffffff,1.0,0.0,0.0,0.0
846ac03ffffffff,7.0,0.0,0.0,0.0
846ac0bffffffff,11.0,0.0,0.0,0.0
847529bffffffff,1.0,0.0,0.0,0.0
84752a1ffffffff,4.0,0.0,0.0,0.0
84752adffffffff,8.0,0.0,1.0,0.0
84752d3ffffffff,9.0,0.0,0.0,0.0
84752dbffffffff,2.0,0.0,0.0,0.0
847581bffffffff,1.0,0.0,0.0,0.0
8475861ffffffff,6.0,0.0,0.0,0.0
8475863ffffffff,2.0,0.0,0.0,0.0
847586dffffffff,2.0,0.0,0.0,0.0
8475a07ffffffff,1.0,0.0,0.0,0.0
8475a19ffffffff,2.0,0.0,0.0,0.0
8475b01ffffffff,3.0,0.0,0.0,0.0
8475b0dffffffff,4.0,0.0,0.0,0.0
8475b37ffffffff,1.0,0.0,0.0,0.0
8475b5dffffffff,2.0,0.0,0.0,0.0
