cell_id,Thraupis episcopus,Thraupis episcopus [cana Group],Thraupis episcopus [episcopus Group]
824507fffffffff,601.0,24.0,0.0
82450ffffffffff,3099.0,0.0,0.0
82451ffffffffff,11.0,0.0,0.0
824527fffffffff,9117.0,137.0,0.0
82452ffffffffff,11168.0,537.0,0.0
824537fffffffff,2026.0,0.0,0.0
824577fffffffff,234.0,12.0,0.0
8248a7fffffffff,28.0,0.0,0.0
8248b7fffffffff,3.0,0.0,0.0
824997fffffffff,4454.0,214.0,0.0
82499ffffffffff,135.0,0.0,0.0
8249b7fffffffff,7.0,3.0,0.0
825f07fffffffff,116.0,0.0,0.0
825f0ffffffffff,983.0,0.0,0.0
825f17fffffffff,357.0,0.0,0.0
825f1ffffffffff,395.0,0.0,0.0
825f27fffffffff,2.0,0.0,0.0
825f2ffffffffff,1552.0,0.0,0.0
825f47fffffffff,323.0,1.0,0.0
825f4ffffffffff,507.0,1.0,0.0
825f57fffffffff,53.0,0.0,0.0
825f5ffffffffff,5343.0,0.0,0.0
825f67fffffffff,8.0,0.0,0.0
825f6ffffffffff,45.0,0.0,0.0
825f77fffffffff,301.0,1.0,0.0
826607fffffffff,1933.0,2.0,0.0
82660ffffffffff,8205.0,72.0,0.0
826617fffffffff,8010.0,0.0,0.0
82661ffffffffff,23995.0,488.0,0.0
826627fffffffff,6227.0,278.0,0.0
82662ffffffffff,1319.0,25.0,0.0
826637fffffffff,920.0,3.0,0.0
826647fffffffff,1154.0,0.0,150.0
82664ffffffffff,26.0,0.0,0.0
826657fffffffff,2124.0,0.0,4.0
82665ffffffffff,1198.0,0.0,171.0
826667fffffffff,299.0,1.0,0.0
82666ffffffffff,23.0,0.0,0.0
826677fffffffff,834.0,11.0,0.0
826687fffffffff,38.0,0.0,0.0
8266a7fffffffff,24653.0,0.0,0.0
8266affffffffff,1.0,0.0,0.0
8266b7fffffffff,38385.0,0.0,0.0
8266c7fffffffff,9774.0,56.0,219.0
8266cffffffffff,254.0,0.0,12.0
8266d7fffffffff,18109.0,1890.0,7.0
8266dffffffffff,9553.0,0.0,2193.0
8266e7fffffffff,34710.0,423.0,80.0
8266effffffffff,1874.0,0.0,34.0
8266f7fffffffff,18584.0,250.0,0.0
826747fffffffff,2309.0,37.0,0.0
82674ffffffffff,11225.0,160.0,0.0
826757fffffffff,5392.0,11.0,0.0
82675ffffffffff,3014.0,9.0,0.0
82676ffffffffff,3.0,0.0,0.0
826797fffffffff,576.0,0.0,0.0
82679ffffffffff,4716.0,0.0,0.0
8267b7fffffffff,31.0,0.0,0.0
826d07fffffffff,261.0,49.0,0.0
826d17fffffffff,83.0,3.0,0.0
826d27fffffffff,1084.0,82.0,0.0
826d2ffffffffff,5871.0,298.0,0.0
826d37fffffffff,4097.0,156.0,0.0
826d67fffffffff,6069.0,0.0,0.0
826d6ffffffffff,61857.0,0.0,0.0
826d77fffffffff,1431.0,0.0,0.0
828007fffffffff,1.0,0.0,0.0
82800ffffffffff,17.0,0.0,2.0
828047fffffffff,517.0,0.0,1.0
82804ffffffffff,81.0,0.0,0.0
828057fffffffff,63.0,0.0,0.0
828067fffffffff,82.0,0.0,0.0
82806ffffffffff,68.0,0.0,1.0
828077fffffffff,42.0,0.0,0.0
828147fffffffff,17.0,0.0,0.0
82814ffffffffff,514.0,0.0,1.0
828157fffffffff,1.0,0.0,0.0
82815ffffffffff,109.0,0.0,1.0
828a07fffffffff,177.0,0.0,12.0
828a17fffffffff,25.0,0.0,2.0
