cell_id,Chloris sinica,Chloris sinica [sinica Group],Chloris sinica kittlitzi
831650fffffffff,2.0,0.0,0.0
83246cfffffffff,5.0,0.0,0.0
8324c6fffffffff,3.0,0.0,0.0
832802fffffffff,2.0,0.0,0.0
83281bfffffffff,21.0,0.0,0.0
832e0cfffffffff,2.0,0.0,0.0
832e13fffffffff,1.0,1.0,0.0
832f5afffffffff,3.0,1.0,0.0
832f5bfffffffff,1.0,1.0,0.0
833030fffffffff,7.0,0.0,0.0
83309bfffffffff,6.0,0.0,0.0
83309dfffffffff,3.0,0.0,0.0
833134fffffffff,2.0,0.0,0.0
83316efffffffff,2.0,0.0,0.0
833185fffffffff,3.0,0.0,0.0
833190fffffffff,2.0,2.0,0.0
8331a3fffffffff,2.0,0.0,0.0
8331aafffffffff,8.0,8.0,0.0
834034fffffffff,1.0,0.0,0.0
83408efffffffff,2.0,2.0,0.0
8340e3fffffffff,4.0,4.0,0.0
834103fffffffff,4.0,0.0,0.0
8341a4fffffffff,9.0,0.0,0.0
8341a5fffffffff,4.0,0.0,0.0
8341b4fffffffff,4.0,0.0,0.0
8341b5fffffffff,2.0,0.0,0.0
834b75fffffffff,14.0,2.0,0.0
834ba1fffffffff,3.0,0.0,0.0
834ba2fffffffff,4.0,0.0,0.0
836491fffffffff,3.0,0.0,0.0
