cell_id,Milvus migrans,Milvus migrans [migrans Group],Milvus migrans lineatus/formosanus,Milvus migrans aegyptius/parasitus
820887fffffffff,1.0,1.0,0.0,0.0
8208a7fffffffff,1.0,0.0,0.0,0.0
8208b7fffffffff,4.0,0.0,0.0,0.0
820997fffffffff,5.0,2.0,0.0,0.0
82159ffffffffff,1.0,0.0,0.0,0.0
82184ffffffffff,94.0,23.0,0.0,0.0
82185ffffffffff,18.0,2.0,0.0,0.0
821877fffffffff,3.0,0.0,0.0,0.0
821947fffffffff,3.0,1.0,1.0,0.0
82194ffffffffff,24.0,1.0,0.0,0.0
82195ffffffffff,2.0,0.0,0.0,0.0
82196ffffffffff,1.0,0.0,0.0,0.0
821e07fffffffff,37.0,0.0,0.0,0.0
821e0ffffffffff,6.0,0.0,0.0,0.0
821e17fffffffff,8.0,0.0,0.0,0.0
821e1ffffffffff,2.0,0.0,0.0,0.0
821e2ffffffffff,9.0,0.0,0.0,0.0
821e37fffffffff,76.0,0.0,0.0,0.0
821e5ffffffffff,2.0,0.0,2.0,0.0
821e6ffffffffff,2.0,0.0,0.0,0.0
821ea7fffffffff,4.0,0.0,0.0,0.0
821ecffffffffff,38.0,5.0,3.0,0.0
821edffffffffff,7.0,0.0,0.0,0.0
821eeffffffffff,4.0,0.0,0.0,0.0
821f07fffffffff,25.0,0.0,0.0,0.0
821f17fffffffff,1.0,0.0,0.0,0.0
821f1ffffffffff,5.0,2.0,0.0,0.0
821f27fffffffff,4.0,2.0,0.0,0.0
821f2ffffffffff,2.0,0.0,0.0,0.0
821f57fffffffff,2.0,0.0,0.0,0.0
821f87fffffffff,12.0,0.0,0.0,0.0
821f8ffffffffff,9.0,0.0,0.0,0.0
821f97fffffffff,4.0,2.0,0.0,0.0
821f9ffffffffff,2.0,0.0,0.0,0.0
821fa7fffffffff,24.0,0.0,0.0,0.0
821faffffffffff,3.0,3.0,0.0,0.0
82201ffffffffff,8.0,0.0,0.0,0.0
822037fffffffff,2.0,0.0,0.0,0.0
822087fffffffff,3.0,3.0,0.0,0.0
82209ffffffffff,3.0,0.0,0.0,0.0
8220a7fffffffff,3.0,0.0,1.0,0.0
8220affffffffff,2.0,0.0,0.0,0.0
8220b7fffffffff,13.0,0.0,1.0,0.0
8220e7fffffffff,7.0,0.0,2.0,0.0
8220f7fffffffff,1.0,0.0,0.0,0.0
822157fffffffff,2.0,0.0,0.0,0.0
82240ffffffffff,2.0,0.0,0.0,0.0
82242ffffffffff,1.0,0.0,0.0,0.0
822457fffffffff,3.0,0.0,0.0,0.0
822467fffffffff,5.0,0.0,3.0,0.0
822557fffffffff,1.0,0.0,1.0,0.0
82255ffffffffff,4.0,0.0,2.0,0.0
822c07fffffffff,1.0,0.0,0.0,0.0
822c0ffffffffff,6.0,0.0,1.0,0.0
822c27fffffffff,162.0,158.0,0.0,0.0
822c2ffffffffff,58.0,58.0,0.0,0.0
822c57fffffffff,3.0,0.0,1.0,0.0
822c97fffffffff,54.0,6.0,40.0,0.0
822c9ffffffffff,3.0,0.0,3.0,0.0
822cc7fffffffff,2.0,0.0,0.0,0.0
822cf7fffffffff,5.0,0.0,2.0,0.0
822d57fffffffff,1.0,0.0,0.0,0.0
822d67fffffffff,1.0,0.0,0.0,0.0
822d77fffffffff,2.0,0.0,0.0,0.0
822d87fffffffff,3.0,0.0,0.0,0.0
822da7fffffffff,2.0,0.0,0.0,0.0
