cell_id,Chlorodrepanis virens,Chlorodrepanis virens wilsoni,Chlorodrepanis virens virens
845d103ffffffff,73.0,0.0,27.0
845d107ffffffff,4.0,0.0,4.0
845d139ffffffff,2.0,0.0,0.0
845d13dffffffff,2.0,0.0,2.0
845d147ffffffff,19.0,17.0,0.0
