cell_id,Chroicocephalus novaehollandiae,Chroicocephalus novaehollandiae novaehollandiae/forsteri,Chroicocephalus novaehollandiae scopulinus
824117fffffffff,4.0,4.0,0.0
829457fffffffff,1.0,1.0,0.0
829c27fffffffff,2.0,0.0,0.0
829cc7fffffffff,2.0,2.0,0.0
829d27fffffffff,1.0,0.0,0.0
829e37fffffffff,1.0,1.0,0.0
82a617fffffffff,2.0,2.0,0.0
82b887fffffffff,7.0,0.0,0.0
82bb0ffffffffff,4.0,0.0,4.0
82bb2ffffffffff,21.0,0.0,18.0
82bb37fffffffff,2.0,0.0,2.0
82bb57fffffffff,14.0,0.0,10.0
82bb5ffffffffff,3.0,0.0,3.0
82be0ffffffffff,22.0,21.0,0.0
82be1ffffffffff,1.0,0.0,0.0
82be47fffffffff,6.0,2.0,0.0
82be4ffffffffff,3.0,0.0,0.0
82be5ffffffffff,1.0,0.0,0.0
82be67fffffffff,27.0,19.0,0.0
82be6ffffffffff,10.0,8.0,0.0
82be77fffffffff,131.0,130.0,0.0
82be8ffffffffff,8.0,7.0,0.0
82beaffffffffff,6.0,2.0,0.0
82bf4ffffffffff,4.0,3.0,0.0
82da87fffffffff,26.0,0.0,19.0
82da97fffffffff,14.0,0.0,4.0
82daaffffffffff,2.0,0.0,0.0
