cell_id,Ramphastos tucanus,Ramphastos tucanus tucanus,Ramphastos tucanus cuvieri/inca
845f4bdffffffff,2.0,0.0,0.0
846619bffffffff,3.0,0.0,0.0
8466415ffffffff,3.0,0.0,3.0
846641dffffffff,5.0,0.0,5.0
8466c21ffffffff,3.0,0.0,0.0
8466c27ffffffff,3.0,0.0,0.0
8466c2bffffffff,1.0,0.0,0.0
8466d1bffffffff,5.0,0.0,0.0
8466dadffffffff,7.0,0.0,7.0
8466dc3ffffffff,5.0,0.0,0.0
8466dcbffffffff,1.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0
8466de3ffffffff,2.0,0.0,0.0
8466debffffffff,6.0,0.0,6.0
84814a9ffffffff,1.0,1.0,0.0
848a05dffffffff,1.0,0.0,0.0
848a4e5ffffffff,1.0,0.0,0.0
848af2dffffffff,1.0,1.0,0.0
848af61ffffffff,4.0,4.0,0.0
848b44bffffffff,3.0,0.0,3.0
848b5cdffffffff,6.0,0.0,6.0
848b617ffffffff,6.0,0.0,6.0
848b63bffffffff,3.0,0.0,3.0
848b693ffffffff,4.0,0.0,0.0
848b9d5ffffffff,1.0,0.0,1.0
848f72bffffffff,1.0,0.0,0.0
