cell_id,Edolisoma erythropygium,Edolisoma erythropygium ultimum,Edolisoma erythropygium erythropygium/saturatius,Edolisoma erythropygium nisorium
827687fffffffff,5.0,0.0,0.0,0.0
829edffffffffff,1.0,0.0,0.0,0.0
