cell_id,Pipreola frontalis,Pipreola frontalis squamipectus,Pipreola frontalis frontalis
8266dffffffffff,3.0,0.0,2.0
828b67fffffffff,8.0,0.0,4.0
828f47fffffffff,3.0,0.0,2.0
828f4ffffffffff,4.0,0.0,3.0
828f77fffffffff,3.0,1.0,0.0
