cell_id,Bocagia minuta,Bocagia minuta minuta,Bocagia minuta anchietae/reichenowi
8254cffffffffff,1.0,0.0,0.0
825897fffffffff,13.0,0.0,0.0
8258cffffffffff,1.0,0.0,0.0
8258dffffffffff,3.0,0.0,0.0
82599ffffffffff,1.0,0.0,0.0
826ac7fffffffff,189.0,0.0,0.0
826acffffffffff,49.0,0.0,0.0
826adffffffffff,5.0,0.0,0.0
826ae7fffffffff,1.0,0.0,0.0
826aeffffffffff,140.0,0.0,0.0
826b8ffffffffff,1.0,0.0,0.0
82750ffffffffff,120.0,15.0,0.0
82752ffffffffff,58.0,3.0,0.0
827a4ffffffffff,26.0,0.0,0.0
827a6ffffffffff,9.0,0.0,0.0
827b4ffffffffff,1.0,0.0,0.0
8282a7fffffffff,7.0,0.0,0.0
828317fffffffff,8.0,0.0,0.0
828327fffffffff,3.0,0.0,0.0
828337fffffffff,1.0,0.0,0.0
8283a7fffffffff,3.0,0.0,0.0
829607fffffffff,15.0,0.0,12.0
82960ffffffffff,10.0,0.0,4.0
829617fffffffff,3.0,0.0,3.0
82961ffffffffff,6.0,0.0,2.0
829637fffffffff,1.0,0.0,0.0
8296b7fffffffff,4.0,0.0,0.0
829717fffffffff,5.0,0.0,1.0
82971ffffffffff,29.0,0.0,9.0
82978ffffffffff,4.0,0.0,0.0
