cell_id,Turdus ruficeps,Turdus ruficeps layardi,Turdus ruficeps ruficeps,Turdus ruficeps vitiensis,Turdus ruficeps hades,Turdus ruficeps tempesti
849b41bffffffff,79.0,0.0,0.0,0.0,0.0,0.0
849b427ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849b437ffffffff,31.0,0.0,0.0,0.0,0.0,0.0
849b4c1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849b4c9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
849b4cbffffffff,3.0,0.0,0.0,0.0,0.0,0.0
849b4cdffffffff,7.0,0.0,0.0,0.0,0.0,0.0
849b4e1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849b4e5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849b4ebffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849b5d9ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
849b6a1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849b6a3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
849b6a7ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
849b6b5ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
849b6e7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
