cell_id,Turdus iliacus,Turdus iliacus coburni,Turdus iliacus iliacus
8401351ffffffff,7.0,0.0,7.0
8407455ffffffff,1.0,0.0,0.0
840745dffffffff,2.0,0.0,0.0
84075d9ffffffff,2.0,2.0,0.0
8407731ffffffff,2.0,0.0,2.0
8407733ffffffff,2.0,0.0,2.0
8407739ffffffff,2.0,0.0,2.0
8408193ffffffff,4.0,0.0,4.0
8408a0bffffffff,2.0,0.0,2.0
8408a53ffffffff,2.0,0.0,2.0
8408c8bffffffff,2.0,0.0,2.0
8409b1bffffffff,4.0,0.0,0.0
840bb03ffffffff,2.0,0.0,2.0
840c42dffffffff,6.0,0.0,2.0
840d039ffffffff,6.0,0.0,0.0
8418215ffffffff,2.0,2.0,0.0
8418235ffffffff,4.0,4.0,0.0
841823dffffffff,2.0,2.0,0.0
84182e5ffffffff,17.0,0.0,6.0
8418469ffffffff,2.0,0.0,0.0
841846dffffffff,4.0,0.0,0.0
8418495ffffffff,6.0,0.0,0.0
84184b1ffffffff,2.0,0.0,0.0
84184b5ffffffff,3.0,0.0,0.0
84184b7ffffffff,8.0,0.0,0.0
84184bbffffffff,2.0,0.0,0.0
84185b3ffffffff,1.0,0.0,1.0
84185b5ffffffff,2.0,0.0,0.0
84185bbffffffff,4.0,0.0,0.0
84186e1ffffffff,1.0,0.0,0.0
841873bffffffff,4.0,2.0,0.0
8419013ffffffff,3.0,3.0,0.0
841901bffffffff,1.0,1.0,0.0
84190e9ffffffff,1.0,1.0,0.0
84192b5ffffffff,9.0,4.0,4.0
84192b7ffffffff,1.0,0.0,0.0
84192cbffffffff,2.0,0.0,0.0
8419401ffffffff,4.0,2.0,0.0
841940dffffffff,2.0,2.0,0.0
8419413ffffffff,1.0,0.0,0.0
8419425ffffffff,1.0,1.0,0.0
8419427ffffffff,2.0,0.0,0.0
841942dffffffff,2.0,0.0,0.0
84194c5ffffffff,4.0,0.0,0.0
84194e9ffffffff,2.0,0.0,0.0
8419507ffffffff,4.0,0.0,0.0
8419519ffffffff,2.0,0.0,0.0
8419559ffffffff,1.0,0.0,1.0
8419591ffffffff,2.0,0.0,0.0
841aa07ffffffff,17.0,2.0,0.0
841aa23ffffffff,1.0,0.0,0.0
841aa35ffffffff,1.0,0.0,0.0
841aa3dffffffff,4.0,0.0,0.0
841aa6bffffffff,5.0,0.0,0.0
841e005ffffffff,3.0,0.0,0.0
841e01dffffffff,1.0,0.0,0.0
841e02dffffffff,1.0,0.0,0.0
841e049ffffffff,1.0,0.0,0.0
841e057ffffffff,4.0,0.0,0.0
841e05bffffffff,1.0,0.0,0.0
841e12dffffffff,2.0,0.0,0.0
841e23dffffffff,4.0,0.0,0.0
841e265ffffffff,1.0,0.0,0.0
841e287ffffffff,1.0,0.0,0.0
841e329ffffffff,2.0,0.0,0.0
841e32bffffffff,2.0,0.0,0.0
841e5c9ffffffff,2.0,0.0,0.0
841e745ffffffff,2.0,0.0,0.0
841e83bffffffff,2.0,0.0,0.0
841ea09ffffffff,1.0,0.0,0.0
841ec09ffffffff,2.0,0.0,0.0
841ec47ffffffff,4.0,0.0,0.0
841ec97ffffffff,2.0,0.0,0.0
841eca1ffffffff,6.0,0.0,0.0
841eea3ffffffff,1.0,0.0,0.0
841f08bffffffff,1.0,0.0,0.0
841f1a5ffffffff,2.0,0.0,2.0
841f2a3ffffffff,2.0,0.0,2.0
841f2a9ffffffff,2.0,0.0,2.0
841f33dffffffff,4.0,0.0,0.0
841f357ffffffff,3.0,0.0,0.0
841f715ffffffff,1.0,0.0,0.0
841f823ffffffff,1.0,0.0,1.0
841f83bffffffff,2.0,0.0,0.0
841f8e1ffffffff,2.0,0.0,0.0
841f8edffffffff,2.0,0.0,0.0
841f985ffffffff,2.0,0.0,0.0
84255a7ffffffff,2.0,0.0,0.0
8428d1bffffffff,104.0,0.0,0.0
8428d59ffffffff,13.0,0.0,0.0
842a32bffffffff,19.0,0.0,0.0
842a345ffffffff,236.0,15.0,0.0
842b013ffffffff,4.0,0.0,0.0
842b03bffffffff,5.0,0.0,0.0
842b0a1ffffffff,4.0,0.0,0.0
842b0a5ffffffff,6.0,0.0,0.0
842b0c5ffffffff,12.0,0.0,0.0
842b24bffffffff,12.0,0.0,0.0
842b369ffffffff,2.0,0.0,0.0
842bacdffffffff,2.0,0.0,0.0
842c191ffffffff,1.0,0.0,1.0
842c903ffffffff,3.0,0.0,0.0
842cc6bffffffff,2.0,0.0,0.0
842d227ffffffff,4.0,0.0,0.0
842db11ffffffff,4.0,0.0,0.0
842db1dffffffff,5.0,0.0,0.0
842eac3ffffffff,1.0,0.0,0.0
8431aa5ffffffff,19.0,0.0,0.0
8431aa9ffffffff,2.0,0.0,0.0
8431aadffffffff,2.0,0.0,0.0
84346bbffffffff,4.0,0.0,0.0
8435ae3ffffffff,2.0,0.0,0.0
8438625ffffffff,2.0,0.0,0.0
8438753ffffffff,3.0,0.0,0.0
843900bffffffff,2.0,0.0,0.0
8439019ffffffff,3.0,0.0,0.0
8439029ffffffff,2.0,0.0,0.0
8439041ffffffff,3.0,0.0,0.0
8439043ffffffff,2.0,0.0,0.0
8439047ffffffff,5.0,0.0,0.0
8439053ffffffff,2.0,0.0,0.0
8439057ffffffff,9.0,0.0,0.0
8439063ffffffff,7.0,0.0,0.0
843906dffffffff,5.0,0.0,0.0
8439101ffffffff,39.0,0.0,0.0
8439103ffffffff,2.0,0.0,0.0
8439115ffffffff,11.0,0.0,0.0
843911dffffffff,2.0,0.0,0.0
8439155ffffffff,1.0,0.0,0.0
843915dffffffff,2.0,0.0,0.0
8439181ffffffff,11.0,0.0,0.0
8439185ffffffff,2.0,0.0,0.0
8439205ffffffff,2.0,0.0,0.0
843921bffffffff,4.0,0.0,0.0
8439221ffffffff,10.0,0.0,0.0
8439223ffffffff,1.0,0.0,0.0
8439227ffffffff,14.0,0.0,0.0
8439239ffffffff,3.0,0.0,0.0
843923dffffffff,8.0,0.0,0.0
8439243ffffffff,10.0,0.0,0.0
8439251ffffffff,1.0,0.0,0.0
8439255ffffffff,3.0,0.0,0.0
8439259ffffffff,8.0,0.0,0.0
843925bffffffff,1.0,0.0,0.0
843925dffffffff,2.0,0.0,0.0
8439285ffffffff,2.0,0.0,0.0
8439297ffffffff,2.0,0.0,0.0
8439299ffffffff,4.0,0.0,0.0
843929bffffffff,3.0,0.0,0.0
84392a7ffffffff,2.0,0.0,0.0
84392a9ffffffff,1.0,0.0,0.0
84392adffffffff,2.0,0.0,0.0
84392b1ffffffff,2.0,0.0,0.0
84392c3ffffffff,2.0,0.0,0.0
84392cbffffffff,3.0,0.0,0.0
8439311ffffffff,4.0,0.0,0.0
8439313ffffffff,9.0,0.0,0.0
843931bffffffff,5.0,0.0,0.0
8439333ffffffff,2.0,0.0,0.0
8439337ffffffff,12.0,0.0,0.0
843933bffffffff,3.0,0.0,0.0
8439423ffffffff,22.0,0.0,0.0
8439433ffffffff,5.0,0.0,0.0
8439435ffffffff,1.0,0.0,0.0
8439563ffffffff,4.0,0.0,0.0
84395c1ffffffff,12.0,0.0,0.0
