cell_id,Psilopogon haemacephalus,Psilopogon haemacephalus indicus/delicus,Psilopogon haemacephalus roseus,Psilopogon haemacephalus [haemacephalus Group],Psilopogon haemacephalus [intermedius Group]
823c17fffffffff,2.0,0.0,0.0,0.0,0.0
823c1ffffffffff,10.0,0.0,0.0,0.0,0.0
823c87fffffffff,3.0,0.0,0.0,0.0,0.0
823c8ffffffffff,9.0,0.0,0.0,0.0,0.0
823caffffffffff,7.0,0.0,0.0,0.0,0.0
823cc7fffffffff,1.0,0.0,0.0,0.0,0.0
823cd7fffffffff,4.0,0.0,0.0,0.0,0.0
823ce7fffffffff,5.0,0.0,0.0,0.0,0.0
823cf7fffffffff,38.0,0.0,0.0,0.0,0.0
823d17fffffffff,17.0,0.0,0.0,0.0,0.0
823d87fffffffff,4.0,0.0,0.0,0.0,0.0
823d8ffffffffff,1.0,0.0,0.0,0.0,0.0
823d9ffffffffff,5.0,0.0,0.0,0.0,0.0
823daffffffffff,10.0,0.0,0.0,0.0,0.0
823db7fffffffff,4.0,0.0,0.0,0.0,0.0
82425ffffffffff,1.0,0.0,0.0,0.0,0.0
8242c7fffffffff,12.0,0.0,0.0,0.0,0.0
8242cffffffffff,5.0,0.0,0.0,0.0,0.0
8242dffffffffff,3.0,0.0,0.0,0.0,0.0
826007fffffffff,67.0,0.0,0.0,0.0,0.0
826017fffffffff,981.0,0.0,0.0,0.0,0.0
82601ffffffffff,2.0,0.0,0.0,0.0,0.0
826027fffffffff,80.0,0.0,0.0,0.0,0.0
826037fffffffff,274.0,0.0,0.0,0.0,0.0
82608ffffffffff,15.0,0.0,0.0,0.0,0.0
826097fffffffff,1.0,0.0,0.0,0.0,0.0
82609ffffffffff,14.0,0.0,0.0,0.0,0.0
8260a7fffffffff,7.0,0.0,0.0,0.0,0.0
8260affffffffff,949.0,0.0,0.0,0.0,0.0
8260b7fffffffff,15.0,0.0,0.0,0.0,0.0
82618ffffffffff,54.0,0.0,0.0,0.0,0.0
82619ffffffffff,5.0,0.0,0.0,0.0,0.0
8261affffffffff,2.0,0.0,0.0,0.0,0.0
826427fffffffff,5.0,0.0,0.0,0.0,0.0
826437fffffffff,2.0,0.0,0.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0,0.0,0.0
8264a7fffffffff,5.0,0.0,0.0,0.0,0.0
8264b7fffffffff,1.0,0.0,0.0,0.0,0.0
826507fffffffff,90.0,0.0,0.0,0.0,0.0
82651ffffffffff,152.0,0.0,0.0,0.0,0.0
826527fffffffff,36.0,0.0,0.0,0.0,0.0
82658ffffffffff,3.0,0.0,0.0,0.0,0.0
8265b7fffffffff,2.0,0.0,0.0,0.0,0.0
82684ffffffffff,1.0,0.0,0.0,0.0,0.0
82685ffffffffff,5.0,0.0,0.0,0.0,0.0
