cell_id,Cinnyris ornatus,Cinnyris ornatus [ornatus Group],Cinnyris ornatus rhizophorae
823ccffffffffff,21.0,0.0,0.0
823cdffffffffff,33.0,0.0,0.0
82402ffffffffff,28.0,0.0,2.0
82404ffffffffff,2.0,0.0,0.0
824067fffffffff,14.0,0.0,0.0
82406ffffffffff,1.0,0.0,0.0
824147fffffffff,84.0,0.0,0.0
82414ffffffffff,20.0,0.0,0.0
824157fffffffff,18.0,0.0,0.0
82415ffffffffff,28.0,0.0,3.0
824167fffffffff,36.0,3.0,0.0
82416ffffffffff,146.0,0.0,0.0
824177fffffffff,146.0,0.0,24.0
82640ffffffffff,2530.0,0.0,0.0
826417fffffffff,1135.0,9.0,0.0
82641ffffffffff,164.0,0.0,0.0
826427fffffffff,181.0,8.0,0.0
82642ffffffffff,350.0,0.0,0.0
826437fffffffff,812.0,16.0,0.0
826487fffffffff,1301.0,10.0,0.0
82648ffffffffff,128.0,0.0,0.0
826497fffffffff,362.0,4.0,0.0
82649ffffffffff,7.0,0.0,0.0
8264a7fffffffff,3773.0,55.0,0.0
8264affffffffff,14.0,0.0,0.0
8264b7fffffffff,657.0,4.0,0.0
8264e7fffffffff,1083.0,0.0,0.0
826507fffffffff,388.0,1.0,0.0
82650ffffffffff,30.0,0.0,0.0
826517fffffffff,2.0,0.0,0.0
82651ffffffffff,430.0,2.0,0.0
826527fffffffff,4098.0,0.0,0.0
82652ffffffffff,1.0,0.0,0.0
826537fffffffff,1.0,0.0,0.0
826557fffffffff,22.0,0.0,0.0
826577fffffffff,4.0,0.0,0.0
826587fffffffff,1387.0,0.0,0.0
82658ffffffffff,3543.0,44.0,0.0
826597fffffffff,517.0,1.0,0.0
82659ffffffffff,1328.0,11.0,0.0
8265a7fffffffff,30.0,0.0,0.0
8265affffffffff,3.0,0.0,0.0
8265b7fffffffff,696.0,0.0,0.0
826807fffffffff,96.0,0.0,0.0
826817fffffffff,918.0,2.0,0.0
82681ffffffffff,514.0,2.0,0.0
826897fffffffff,2.0,0.0,0.0
8268a7fffffffff,21.0,1.0,0.0
826917fffffffff,6.0,0.0,0.0
826937fffffffff,13.0,0.0,0.0
828c17fffffffff,266.0,4.0,0.0
828c1ffffffffff,3.0,0.0,0.0
828c8ffffffffff,9.0,0.0,0.0
828c97fffffffff,54.0,0.0,0.0
828c9ffffffffff,2.0,0.0,0.0
828caffffffffff,64.0,2.0,0.0
828cd7fffffffff,5.0,0.0,0.0
828cdffffffffff,3.0,0.0,0.0
828ce7fffffffff,12.0,0.0,0.0
828cf7fffffffff,1.0,0.0,0.0
828d87fffffffff,30.0,0.0,0.0
828d8ffffffffff,78.0,0.0,0.0
828d97fffffffff,4.0,0.0,0.0
828da7fffffffff,125.0,4.0,0.0
828daffffffffff,3.0,0.0,0.0
828db7fffffffff,526.0,5.0,0.0
829427fffffffff,4.0,0.0,0.0
829517fffffffff,5.0,0.0,0.0
82951ffffffffff,212.0,0.0,0.0
8295a7fffffffff,601.0,4.0,0.0
8295affffffffff,10.0,0.0,0.0
