cell_id,Tyrannus melancholicus,Tyrannus melancholicus occidentalis,Tyrannus melancholicus satrapa,Tyrannus melancholicus melancholicus/despotes
8212b7fffffffff,18.0,0.0,0.0,0.0
821d27fffffffff,3.0,0.0,0.0,0.0
82262ffffffffff,20.0,0.0,0.0,0.0
822647fffffffff,2.0,0.0,0.0,0.0
82268ffffffffff,55.0,0.0,0.0,0.0
822697fffffffff,7.0,0.0,0.0,0.0
82269ffffffffff,4.0,0.0,0.0,0.0
8226cffffffffff,1.0,0.0,0.0,0.0
822757fffffffff,5.0,0.0,0.0,0.0
822767fffffffff,16.0,0.0,0.0,0.0
82276ffffffffff,2.0,0.0,0.0,0.0
822777fffffffff,2.0,0.0,0.0,0.0
822807fffffffff,275.0,0.0,0.0,0.0
82281ffffffffff,105.0,0.0,0.0,0.0
822837fffffffff,1745.0,0.0,0.0,0.0
8228c7fffffffff,509.0,0.0,0.0,0.0
8228d7fffffffff,169.0,0.0,0.0,0.0
8228dffffffffff,143.0,0.0,0.0,0.0
8228f7fffffffff,112.0,0.0,0.0,0.0
822917fffffffff,370.0,0.0,0.0,0.0
82291ffffffffff,229.0,0.0,0.0,0.0
822987fffffffff,8.0,0.0,0.0,0.0
82298ffffffffff,9.0,0.0,0.0,0.0
822997fffffffff,2.0,0.0,0.0,0.0
8229a7fffffffff,1432.0,0.0,0.0,0.0
8229affffffffff,330.0,0.0,0.0,0.0
8229b7fffffffff,402.0,0.0,0.0,0.0
822a17fffffffff,46.0,0.0,0.0,0.0
822a37fffffffff,184.0,0.0,0.0,0.0
822aaffffffffff,207.0,0.0,0.0,0.0
822ab7fffffffff,199.0,0.0,0.0,0.0
822ad7fffffffff,5.0,0.0,0.0,0.0
822af7fffffffff,42.0,0.0,0.0,0.0
822b07fffffffff,8.0,0.0,0.0,0.0
822b0ffffffffff,2.0,0.0,0.0,0.0
822b17fffffffff,1.0,0.0,0.0,0.0
822b1ffffffffff,2.0,0.0,0.0,0.0
822b37fffffffff,57.0,0.0,0.0,0.0
822b97fffffffff,1.0,0.0,0.0,0.0
822baffffffffff,15.0,0.0,0.0,0.0
824417fffffffff,5.0,0.0,0.0,0.0
82441ffffffffff,290.0,0.0,0.0,0.0
824447fffffffff,138.0,0.0,0.0,0.0
82444ffffffffff,56.0,0.0,0.0,0.0
824457fffffffff,73.0,0.0,0.0,0.0
824467fffffffff,3.0,0.0,0.0,0.0
82446ffffffffff,80.0,0.0,0.0,0.0
824477fffffffff,5.0,0.0,0.0,0.0
8244a7fffffffff,575.0,0.0,0.0,0.0
8244affffffffff,654.0,0.0,0.0,0.0
8244c7fffffffff,5.0,0.0,0.0,0.0
8244d7fffffffff,7.0,0.0,0.0,0.0
8244e7fffffffff,48.0,0.0,0.0,0.0
8244f7fffffffff,12.0,0.0,0.0,0.0
824507fffffffff,4.0,0.0,0.0,0.0
82450ffffffffff,3.0,0.0,0.0,0.0
824527fffffffff,14.0,0.0,0.0,0.0
82452ffffffffff,9.0,0.0,0.0,0.0
824577fffffffff,1.0,0.0,0.0,0.0
824827fffffffff,28.0,0.0,0.0,0.0
82482ffffffffff,86.0,0.0,0.0,0.0
824837fffffffff,31.0,0.0,0.0,0.0
824847fffffffff,39.0,0.0,0.0,0.0
82484ffffffffff,16.0,0.0,0.0,0.0
824857fffffffff,6.0,0.0,0.0,0.0
82485ffffffffff,66.0,0.0,0.0,0.0
824877fffffffff,41.0,0.0,0.0,0.0
824887fffffffff,89.0,0.0,0.0,0.0
82488ffffffffff,46.0,0.0,0.0,0.0
824897fffffffff,242.0,0.0,0.0,0.0
82489ffffffffff,2.0,0.0,0.0,0.0
8248b7fffffffff,90.0,0.0,0.0,0.0
8248c7fffffffff,46.0,0.0,0.0,0.0
8248d7fffffffff,11.0,0.0,0.0,0.0
8248dffffffffff,20.0,0.0,0.0,0.0
8248e7fffffffff,5.0,0.0,0.0,0.0
8248effffffffff,1525.0,0.0,0.0,0.0
8248f7fffffffff,3.0,0.0,0.0,0.0
824987fffffffff,5.0,0.0,0.0,0.0
824997fffffffff,73.0,0.0,0.0,0.0
82499ffffffffff,12.0,0.0,0.0,0.0
8249affffffffff,2.0,0.0,0.0,0.0
825f4ffffffffff,11.0,0.0,0.0,0.0
825f5ffffffffff,20.0,0.0,0.0,0.0
82660ffffffffff,24.0,0.0,0.0,0.0
826617fffffffff,9.0,0.0,0.0,0.0
82661ffffffffff,6.0,0.0,0.0,0.0
826627fffffffff,6.0,0.0,0.0,0.0
826657fffffffff,3.0,0.0,0.0,0.0
8266a7fffffffff,5.0,0.0,0.0,0.0
8266b7fffffffff,42.0,0.0,0.0,0.0
8266c7fffffffff,1.0,0.0,0.0,0.0
8266d7fffffffff,7.0,0.0,0.0,0.0
8266dffffffffff,23.0,0.0,0.0,0.0
8266e7fffffffff,10.0,0.0,0.0,0.0
8266f7fffffffff,5.0,0.0,0.0,0.0
826747fffffffff,146.0,0.0,0.0,0.0
82674ffffffffff,1143.0,0.0,0.0,0.0
826757fffffffff,159.0,0.0,0.0,0.0
82675ffffffffff,27.0,0.0,0.0,0.0
826777fffffffff,35.0,0.0,0.0,0.0
826787fffffffff,11.0,0.0,0.0,0.0
82679ffffffffff,8.0,0.0,0.0,0.0
826d07fffffffff,3.0,0.0,0.0,0.0
826d17fffffffff,12.0,0.0,0.0,0.0
826d27fffffffff,16.0,0.0,0.0,0.0
826d2ffffffffff,20.0,0.0,0.0,0.0
826d37fffffffff,21.0,0.0,0.0,0.0
826d67fffffffff,2.0,0.0,0.0,0.0
826d6ffffffffff,62.0,0.0,0.0,0.0
826d77fffffffff,3.0,0.0,0.0,0.0
828a27fffffffff,1.0,0.0,0.0,0.0
828a47fffffffff,7.0,0.0,0.0,0.0
828a6ffffffffff,2.0,0.0,0.0,0.0
828a8ffffffffff,1.0,0.0,0.0,0.0
828af7fffffffff,2.0,0.0,0.0,0.0
828b0ffffffffff,2.0,0.0,0.0,0.0
828b67fffffffff,14.0,0.0,0.0,0.0
828b6ffffffffff,4.0,0.0,0.0,0.0
828e47fffffffff,4.0,0.0,0.0,0.0
828e67fffffffff,6.0,0.0,0.0,0.0
828f2ffffffffff,3.0,0.0,0.0,0.0
828f47fffffffff,1.0,0.0,0.0,0.0
828f4ffffffffff,8.0,0.0,0.0,0.0
828f77fffffffff,1.0,0.0,0.0,0.0
82a80ffffffffff,1.0,0.0,0.0,0.0
82a817fffffffff,5.0,0.0,0.0,0.0
82a81ffffffffff,54.0,0.0,0.0,0.0
82a827fffffffff,1.0,0.0,0.0,0.0
82a837fffffffff,5.0,0.0,0.0,0.0
82a907fffffffff,2.0,0.0,0.0,0.0
82a91ffffffffff,7.0,0.0,0.0,0.0
82a92ffffffffff,4.0,0.0,0.0,0.0
82a947fffffffff,44.0,0.0,0.0,0.0
82a94ffffffffff,9.0,0.0,0.0,0.0
82a957fffffffff,14.0,0.0,0.0,0.0
82a967fffffffff,107.0,0.0,0.0,0.0
82a96ffffffffff,75.0,0.0,0.0,0.0
82b21ffffffffff,4.0,0.0,0.0,0.0
82b247fffffffff,3.0,0.0,0.0,0.0
82b24ffffffffff,298.0,0.0,0.0,0.0
82b25ffffffffff,2.0,0.0,0.0,0.0
82b267fffffffff,12.0,0.0,0.0,0.0
82b26ffffffffff,122.0,0.0,0.0,0.0
82b277fffffffff,2.0,0.0,0.0,0.0
82b2c7fffffffff,11.0,0.0,0.0,0.0
82b2effffffffff,9.0,0.0,0.0,0.0
82b307fffffffff,10.0,0.0,0.0,0.0
82b347fffffffff,20.0,0.0,0.0,0.0
82b357fffffffff,2.0,0.0,0.0,0.0
82b35ffffffffff,45.0,0.0,0.0,0.0
82b377fffffffff,5.0,0.0,0.0,0.0
82c2c7fffffffff,7.0,0.0,0.0,0.0
82c2cffffffffff,191.0,0.0,0.0,0.0
82c2d7fffffffff,1.0,0.0,0.0,0.0
82c2dffffffffff,1.0,0.0,0.0,0.0
82c2e7fffffffff,25.0,0.0,0.0,0.0
82c2effffffffff,49.0,0.0,0.0,0.0
82c2f7fffffffff,29.0,0.0,0.0,0.0
82c34ffffffffff,9.0,0.0,0.0,0.0
82c367fffffffff,2.0,0.0,0.0,0.0
82ce87fffffffff,2.0,0.0,0.0,0.0
82ce97fffffffff,10.0,0.0,0.0,0.0
82ceb7fffffffff,3.0,0.0,0.0,0.0
