cell_id,Percnostola rufifrons,Percnostola rufifrons minor/jensoni,Percnostola rufifrons rufifrons/subcristata
825f07fffffffff,217.0,0.0,0.0
825f0ffffffffff,37.0,0.0,0.0
825f17fffffffff,101.0,0.0,0.0
825f1ffffffffff,16.0,0.0,0.0
825f2ffffffffff,30.0,0.0,0.0
82664ffffffffff,5.0,0.0,0.0
82665ffffffffff,202.0,24.0,0.0
8266cffffffffff,18.0,0.0,0.0
8266effffffffff,13.0,0.0,0.0
82804ffffffffff,40.0,0.0,6.0
82806ffffffffff,12.0,0.0,0.0
828a47fffffffff,22.0,5.0,0.0
828a5ffffffffff,1.0,0.0,0.0
828a6ffffffffff,14.0,3.0,0.0
828a8ffffffffff,4.0,0.0,0.0
828aaffffffffff,1.0,0.0,1.0
828adffffffffff,67.0,0.0,35.0
828af7fffffffff,814.0,0.0,230.0
