cell_id,Pitta maxima,Pitta maxima maxima,Pitta maxima morotaiensis
8473901ffffffff,60.0,9.0,0.0
8473905ffffffff,59.0,1.0,0.0
8473907ffffffff,56.0,1.0,0.0
8473909ffffffff,3.0,0.0,0.0
847390bffffffff,133.0,12.0,0.0
847390dffffffff,52.0,6.0,0.0
8473955ffffffff,1.0,0.0,0.0
847395bffffffff,7.0,0.0,1.0
