cell_id,Turdus rubrocanus,Turdus rubrocanus rubrocanus,Turdus rubrocanus gouldii
82209ffffffffff,13.0,0.0,0.0
82248ffffffffff,94.0,0.0,0.0
8224d7fffffffff,32.0,0.0,0.0
8224dffffffffff,4.0,0.0,0.0
823c07fffffffff,19.0,0.0,0.0
823c0ffffffffff,21.0,0.0,0.0
823c1ffffffffff,5.0,0.0,0.0
823c37fffffffff,13.0,0.0,0.0
823c47fffffffff,4.0,0.0,0.0
823c5ffffffffff,59.0,0.0,0.0
823c6ffffffffff,3.0,0.0,0.0
823cdffffffffff,2.0,0.0,0.0
823ce7fffffffff,4.0,0.0,0.0
823ceffffffffff,5.0,0.0,0.0
823d17fffffffff,56.0,0.0,0.0
823d1ffffffffff,23.0,0.0,0.0
823d37fffffffff,186.0,0.0,0.0
823daffffffffff,157.0,0.0,0.0
824047fffffffff,28.0,0.0,0.0
82404ffffffffff,42.0,0.0,0.0
82405ffffffffff,31.0,0.0,0.0
824077fffffffff,4.0,0.0,0.0
824087fffffffff,1.0,0.0,0.0
82408ffffffffff,7.0,0.0,0.0
8240affffffffff,12.0,0.0,0.0
8240c7fffffffff,408.0,0.0,3.0
8240cffffffffff,5.0,0.0,0.0
8240d7fffffffff,26.0,0.0,0.0
8240dffffffffff,20.0,0.0,0.0
8240e7fffffffff,63.0,0.0,3.0
8240effffffffff,238.0,0.0,1.0
82426ffffffffff,15.0,0.0,0.0
