cell_id,Daphoenositta chrysoptera,Daphoenositta chrysoptera leucoptera,Daphoenositta chrysoptera striata,Daphoenositta chrysoptera leucocephala,Daphoenositta chrysoptera chrysoptera,Daphoenositta chrysoptera pileata
84941b1ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
84941bdffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849443dffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8494511ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8494515ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8494517ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
849453bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8494551ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84945a5ffffffff,100.0,38.0,0.0,0.0,0.0,0.0
84945a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84945adffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84945e3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84945e5ffffffff,35.0,3.0,0.0,0.0,0.0,0.0
8494803ffffffff,10.0,5.0,0.0,0.0,0.0,0.0
849480bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8494811ffffffff,33.0,17.0,0.0,0.0,0.0,0.0
8494815ffffffff,20.0,10.0,0.0,0.0,0.0,0.0
849481dffffffff,42.0,12.0,0.0,0.0,0.0,0.0
849483bffffffff,6.0,4.0,0.0,0.0,0.0,0.0
8494855ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
849485bffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84948d9ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
84948edffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8494aadffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8494ab3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8494ae3ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8494c49ffffffff,4.0,2.0,0.0,0.0,0.0,0.0
8494c5bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8494c61ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8494c91ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8494e21ffffffff,3.0,1.0,0.0,0.0,0.0,0.0
8494e23ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8494e29ffffffff,3.0,3.0,0.0,0.0,0.0,0.0
8494e2bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8494e35ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8494e3dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8494e81ffffffff,40.0,5.0,0.0,0.0,0.0,0.0
8494e87ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8494e8bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8494e93ffffffff,4.0,2.0,0.0,0.0,0.0,0.0
8494e95ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8494e9dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8494eb5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8494ed1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8494ed3ffffffff,17.0,6.0,0.0,0.0,0.0,0.0
8494ed7ffffffff,15.0,12.0,0.0,0.0,0.0,0.0
8494edbffffffff,13.0,8.0,0.0,0.0,0.0,0.0
