cell_id,Dendrocopos leucotos,Dendrocopos leucotos lilfordi,Dendrocopos leucotos [leucotos Group],Dendrocopos leucotos owstoni
830833fffffffff,1.0,0.0,0.0,0.0
830888fffffffff,11.0,0.0,0.0,0.0
830898fffffffff,6.0,0.0,0.0,0.0
830899fffffffff,16.0,0.0,0.0,0.0
83089afffffffff,26.0,0.0,0.0,0.0
83089bfffffffff,1.0,0.0,0.0,0.0
83089dfffffffff,8.0,0.0,0.0,0.0
8308d0fffffffff,1.0,0.0,0.0,0.0
8308d5fffffffff,3.0,0.0,0.0,0.0
83098dfffffffff,2.0,0.0,0.0,0.0
830991fffffffff,3.0,0.0,0.0,0.0
830bb0fffffffff,4.0,0.0,0.0,0.0
8310a2fffffffff,1.0,0.0,0.0,0.0
8310b3fffffffff,2.0,0.0,0.0,0.0
8310c2fffffffff,20.0,0.0,0.0,0.0
8310c3fffffffff,6.0,0.0,0.0,0.0
8310c6fffffffff,2.0,0.0,0.0,0.0
8310dcfffffffff,1.0,0.0,0.0,0.0
8310eefffffffff,1.0,0.0,0.0,0.0
831101fffffffff,1.0,0.0,0.0,0.0
831102fffffffff,2.0,0.0,0.0,0.0
831103fffffffff,8.0,0.0,0.0,0.0
831104fffffffff,2.0,0.0,0.0,0.0
831105fffffffff,8.0,0.0,2.0,0.0
831106fffffffff,70.0,0.0,0.0,0.0
831116fffffffff,5.0,0.0,0.0,0.0
831122fffffffff,2.0,0.0,0.0,0.0
831123fffffffff,1.0,0.0,0.0,0.0
831124fffffffff,1.0,0.0,0.0,0.0
831126fffffffff,33.0,0.0,13.0,0.0
831128fffffffff,3.0,0.0,0.0,0.0
83112efffffffff,11.0,0.0,1.0,0.0
831130fffffffff,2.0,0.0,0.0,0.0
831131fffffffff,2.0,0.0,0.0,0.0
831133fffffffff,3.0,0.0,0.0,0.0
831134fffffffff,40.0,0.0,0.0,0.0
831135fffffffff,8.0,0.0,0.0,0.0
831136fffffffff,11.0,0.0,0.0,0.0
831154fffffffff,2.0,0.0,0.0,0.0
831181fffffffff,19.0,0.0,0.0,0.0
83118afffffffff,13.0,0.0,0.0,0.0
83118cfffffffff,24.0,0.0,0.0,0.0
83118efffffffff,16.0,0.0,3.0,0.0
8311a4fffffffff,1.0,0.0,0.0,0.0
8311a6fffffffff,2.0,0.0,0.0,0.0
8311aafffffffff,188.0,0.0,0.0,0.0
8311abfffffffff,8.0,0.0,0.0,0.0
8311aefffffffff,47.0,0.0,10.0,0.0
8311b4fffffffff,7.0,0.0,0.0,0.0
83148cfffffffff,18.0,0.0,0.0,0.0
83149afffffffff,12.0,0.0,0.0,0.0
83149efffffffff,14.0,0.0,0.0,0.0
8314a8fffffffff,2.0,0.0,0.0,0.0
8314aefffffffff,117.0,0.0,0.0,0.0
831598fffffffff,9.0,0.0,0.0,0.0
831599fffffffff,1.0,0.0,0.0,0.0
831849fffffffff,125.0,4.0,0.0,0.0
831e00fffffffff,3.0,0.0,0.0,0.0
831e01fffffffff,13.0,0.0,0.0,0.0
831e02fffffffff,2.0,0.0,0.0,0.0
831e03fffffffff,9.0,0.0,0.0,0.0
831e05fffffffff,10.0,0.0,0.0,0.0
831e06fffffffff,3.0,0.0,0.0,0.0
831e0bfffffffff,1.0,0.0,0.0,0.0
831e0cfffffffff,8.0,0.0,0.0,0.0
831e0dfffffffff,3.0,0.0,0.0,0.0
831e0efffffffff,19.0,0.0,0.0,0.0
831e11fffffffff,2.0,0.0,0.0,0.0
831e12fffffffff,9.0,0.0,0.0,0.0
831e14fffffffff,3.0,0.0,0.0,0.0
831e15fffffffff,10.0,0.0,0.0,0.0
831e16fffffffff,2.0,0.0,0.0,0.0
831e1afffffffff,5.0,0.0,0.0,0.0
831e1dfffffffff,2.0,0.0,0.0,0.0
831e1efffffffff,1.0,0.0,0.0,0.0
831e2afffffffff,23.0,0.0,0.0,0.0
831e2bfffffffff,12.0,0.0,0.0,0.0
831e50fffffffff,1.0,0.0,0.0,0.0
831e52fffffffff,8.0,0.0,0.0,0.0
831e60fffffffff,1.0,0.0,0.0,0.0
831e61fffffffff,1.0,0.0,0.0,0.0
831e64fffffffff,4.0,0.0,0.0,0.0
831e66fffffffff,1.0,0.0,0.0,0.0
831e75fffffffff,3.0,0.0,0.0,0.0
831e76fffffffff,1.0,0.0,0.0,0.0
831eacfffffffff,19.0,0.0,0.0,0.0
831ec0fffffffff,8.0,0.0,0.0,0.0
831ec1fffffffff,2.0,0.0,0.0,0.0
831ec2fffffffff,8.0,1.0,0.0,0.0
831ec3fffffffff,5.0,0.0,0.0,0.0
831ec5fffffffff,6.0,0.0,0.0,0.0
831ec6fffffffff,3.0,0.0,0.0,0.0
831ec8fffffffff,2.0,0.0,0.0,0.0
831ec9fffffffff,1.0,0.0,0.0,0.0
831ecafffffffff,6.0,0.0,0.0,0.0
831ecbfffffffff,57.0,0.0,0.0,0.0
831ecdfffffffff,26.0,4.0,0.0,0.0
831ecefffffffff,1.0,1.0,0.0,0.0
831ed0fffffffff,2.0,0.0,0.0,0.0
831ed1fffffffff,7.0,0.0,0.0,0.0
831ed3fffffffff,2.0,0.0,0.0,0.0
831ed4fffffffff,2.0,0.0,0.0,0.0
831ed5fffffffff,1.0,0.0,0.0,0.0
831edcfffffffff,2.0,2.0,0.0,0.0
831edefffffffff,4.0,0.0,0.0,0.0
831ee0fffffffff,1.0,0.0,0.0,0.0
831ee2fffffffff,2.0,0.0,0.0,0.0
831ee5fffffffff,2.0,0.0,0.0,0.0
831eeafffffffff,2.0,0.0,0.0,0.0
831ef0fffffffff,4.0,0.0,0.0,0.0
831ef2fffffffff,3.0,0.0,0.0,0.0
831f40fffffffff,2.0,0.0,0.0,0.0
831f45fffffffff,4.0,0.0,0.0,0.0
831f4afffffffff,2.0,0.0,0.0,0.0
831f4efffffffff,5.0,0.0,0.0,0.0
831f51fffffffff,8.0,0.0,0.0,0.0
831f59fffffffff,9.0,0.0,0.0,0.0
831f5afffffffff,10.0,0.0,0.0,0.0
831f5bfffffffff,1.0,0.0,0.0,0.0
831f5cfffffffff,29.0,0.0,0.0,0.0
831f5dfffffffff,2.0,0.0,0.0,0.0
831f5efffffffff,105.0,0.0,0.0,0.0
831f60fffffffff,4.0,0.0,0.0,0.0
831f61fffffffff,8.0,0.0,6.0,0.0
831f63fffffffff,3.0,0.0,0.0,0.0
831f65fffffffff,17.0,0.0,0.0,0.0
831f68fffffffff,3.0,0.0,0.0,0.0
831f6bfffffffff,1.0,0.0,0.0,0.0
831f6cfffffffff,4.0,0.0,0.0,0.0
831f6efffffffff,2.0,0.0,0.0,0.0
831f75fffffffff,4.0,0.0,0.0,0.0
831f88fffffffff,23.0,0.0,2.0,0.0
831f89fffffffff,14.0,0.0,0.0,0.0
83204afffffffff,41.0,0.0,0.0,0.0
83204bfffffffff,1.0,0.0,0.0,0.0
83214bfffffffff,1.0,0.0,0.0,0.0
832405fffffffff,2.0,0.0,0.0,0.0
832425fffffffff,7.0,0.0,0.0,0.0
83242efffffffff,1.0,0.0,0.0,0.0
832464fffffffff,2.0,0.0,0.0,0.0
832540fffffffff,2.0,0.0,0.0,0.0
832546fffffffff,36.0,0.0,0.0,0.0
