cell_id,Henicorhina leucophrys,Henicorhina leucophrys [mexicana Group],Henicorhina leucophrys brunneiceps,Henicorhina leucophrys bangsi,Henicorhina leucophrys manastarae,Henicorhina leucophrys meridana,Henicorhina leucophrys venezuelensis,Henicorhina leucophrys hilaris,Henicorhina leucophrys leucophrys/boliviana
8445201ffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445203ffffffff,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445205ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445207ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844520bffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844520dffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844521dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445225ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844522dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445241ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445243ffffffff,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445245ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445247ffffffff,96.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844524bffffffff,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445251ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445253ffffffff,44.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445257ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844525bffffffff,199.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844525dffffffff,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445263ffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445269ffffffff,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844526bffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844836dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449801ffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449861ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449863ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844986dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449901ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449903ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449905ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844990bffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844990dffffffff,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449911ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449913ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449917ffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844991dffffffff,45.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449945ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449961ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449963ffffffff,655.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449969ffffffff,110.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844996bffffffff,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449981ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84499c5ffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84499c7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84499c9ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84499cdffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449a81ffffffff,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449a83ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449a85ffffffff,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449a91ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449a93ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449aa9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449ab9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449b0bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449b19ffffffff,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449b1dffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449b57ffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449b67ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846601bffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466063ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466081ffffffff,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466083ffffffff,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466085ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466087ffffffff,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466089ffffffff,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846608bffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846608dffffffff,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466097ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846609dffffffff,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660a3ffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660a7ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660abffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b3ffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b5ffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b7ffffffff,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b9ffffffff,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660bbffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660bdffffffff,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660c1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660c3ffffffff,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660c7ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660cbffffffff,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660cdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660d3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660ddffffffff,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
