cell_id,Stelgidopteryx serripennis,Stelgidopteryx serripennis [serripennis Group],Stelgidopteryx serripennis ridgwayi/stuarti
82481ffffffffff,115.0,0.0,0.0
824827fffffffff,239.0,0.0,0.0
82482ffffffffff,419.0,0.0,0.0
824837fffffffff,6704.0,163.0,0.0
824847fffffffff,22.0,0.0,0.0
82484ffffffffff,42.0,0.0,0.0
824857fffffffff,378.0,16.0,0.0
82485ffffffffff,2497.0,16.0,0.0
824877fffffffff,96.0,0.0,0.0
824887fffffffff,1515.0,0.0,0.0
82488ffffffffff,770.0,0.0,0.0
824897fffffffff,4517.0,0.0,0.0
82489ffffffffff,3492.0,0.0,0.0
8248a7fffffffff,895.0,0.0,0.0
8248affffffffff,1111.0,0.0,0.0
8248b7fffffffff,11114.0,0.0,0.0
8248c7fffffffff,3445.0,0.0,0.0
8248cffffffffff,1764.0,86.0,0.0
8248d7fffffffff,700.0,0.0,0.0
8248dffffffffff,4123.0,0.0,0.0
8248e7fffffffff,222.0,6.0,0.0
8248effffffffff,29896.0,13.0,0.0
8248f7fffffffff,244.0,0.0,0.0
82491ffffffffff,2.0,2.0,0.0
824987fffffffff,1104.0,48.0,0.0
82498ffffffffff,122.0,0.0,0.0
824997fffffffff,7110.0,668.0,6.0
82499ffffffffff,281.0,0.0,0.0
8249a7fffffffff,124.0,6.0,0.0
8249affffffffff,3925.0,246.0,0.0
8249b7fffffffff,1122.0,70.0,0.0
824c8ffffffffff,2.0,0.0,0.0
824c9ffffffffff,2.0,0.0,0.0
824cc7fffffffff,11.0,0.0,0.0
824cd7fffffffff,8.0,0.0,0.0
824cf7fffffffff,16.0,0.0,0.0
826617fffffffff,16.0,0.0,0.0
8266a7fffffffff,525.0,33.0,0.0
8266b7fffffffff,3753.0,0.0,0.0
826727fffffffff,7.0,0.0,0.0
826737fffffffff,15.0,0.0,0.0
826797fffffffff,50.0,0.0,0.0
82679ffffffffff,644.0,0.0,0.0
826d07fffffffff,279.0,38.0,0.0
826d17fffffffff,105.0,3.0,0.0
826d27fffffffff,1597.0,79.0,91.0
826d2ffffffffff,6287.0,776.0,19.0
826d37fffffffff,8309.0,530.0,29.0
826d67fffffffff,2562.0,0.0,0.0
826d6ffffffffff,11495.0,0.0,0.0
826d77fffffffff,1830.0,31.0,0.0
