cell_id,Cossyphicula roberti,Cossyphicula roberti roberti,Cossyphicula roberti rufescentior
8258d7fffffffff,42.0,38.0,0.0
8258dffffffffff,4.0,3.0,0.0
826ac7fffffffff,9.0,0.0,0.0
826adffffffffff,300.0,0.0,0.0
827a4ffffffffff,1.0,0.0,0.0
8282d7fffffffff,59.0,22.0,0.0
8296d7fffffffff,3.0,0.0,0.0
