cell_id,Fulmarus glacialis,Fulmarus glacialis glacialis/auduboni,Fulmarus glacialis rodgersii
830029fffffffff,2.0,2.0,0.0
83002dfffffffff,3.0,2.0,0.0
830150fffffffff,2.0,2.0,0.0
830151fffffffff,17.0,17.0,0.0
830152fffffffff,2.0,2.0,0.0
830153fffffffff,9.0,9.0,0.0
830156fffffffff,2.0,2.0,0.0
830158fffffffff,8.0,8.0,0.0
83015afffffffff,61.0,61.0,0.0
83015efffffffff,128.0,126.0,0.0
83024cfffffffff,10.0,0.0,0.0
830250fffffffff,1.0,1.0,0.0
830293fffffffff,1.0,0.0,0.0
830626fffffffff,1.0,0.0,0.0
830688fffffffff,1.0,0.0,0.0
830689fffffffff,6.0,6.0,0.0
830696fffffffff,1.0,0.0,0.0
8306d1fffffffff,1.0,1.0,0.0
8306d4fffffffff,3.0,3.0,0.0
8306d6fffffffff,2.0,1.0,0.0
8306f2fffffffff,1.0,1.0,0.0
830704fffffffff,3.0,0.0,0.0
830705fffffffff,2.0,0.0,0.0
830746fffffffff,16.0,14.0,0.0
830755fffffffff,5.0,4.0,0.0
830758fffffffff,2.0,2.0,0.0
83075dfffffffff,2.0,0.0,0.0
830771fffffffff,1.0,1.0,0.0
830773fffffffff,31.0,31.0,0.0
830998fffffffff,1.0,0.0,0.0
83099afffffffff,1.0,1.0,0.0
83099bfffffffff,2.0,0.0,0.0
830c41fffffffff,5.0,0.0,0.0
830c42fffffffff,2.0,0.0,2.0
830c43fffffffff,17.0,0.0,17.0
830c50fffffffff,2.0,0.0,0.0
830c51fffffffff,2.0,0.0,0.0
830c53fffffffff,2.0,0.0,0.0
830c5afffffffff,8.0,0.0,0.0
830c5efffffffff,2.0,0.0,0.0
830c68fffffffff,5.0,0.0,2.0
830c6bfffffffff,1.0,0.0,1.0
830ca4fffffffff,53.0,0.0,1.0
830cccfffffffff,2.0,0.0,0.0
830d03fffffffff,17.0,0.0,0.0
830d11fffffffff,2.0,0.0,0.0
830d66fffffffff,2.0,0.0,0.0
830d88fffffffff,5.0,0.0,0.0
830d89fffffffff,3.0,0.0,0.0
830d8dfffffffff,1.0,0.0,0.0
830da8fffffffff,4.0,0.0,0.0
830dabfffffffff,1.0,0.0,0.0
830e49fffffffff,58.0,0.0,0.0
830eccfffffffff,6.0,0.0,0.0
