cell_id,Pionus menstruus,Pionus menstruus menstruus/rubrigularis,Pionus menstruus reichenowi
845f00dffffffff,2.0,0.0,0.0
845f011ffffffff,6.0,0.0,0.0
845f013ffffffff,1.0,0.0,0.0
845f017ffffffff,2.0,0.0,0.0
845f01bffffffff,3.0,0.0,0.0
845f025ffffffff,2.0,0.0,0.0
845f02bffffffff,4.0,0.0,0.0
845f031ffffffff,3.0,0.0,0.0
845f035ffffffff,62.0,0.0,0.0
845f037ffffffff,2.0,0.0,0.0
845f03dffffffff,111.0,5.0,0.0
845f089ffffffff,3.0,0.0,0.0
845f08bffffffff,2.0,0.0,0.0
845f091ffffffff,1.0,0.0,0.0
845f095ffffffff,8.0,0.0,0.0
845f0d7ffffffff,14.0,0.0,0.0
845f105ffffffff,2.0,0.0,0.0
845f10dffffffff,1.0,0.0,0.0
845f129ffffffff,18.0,0.0,0.0
845f12bffffffff,2.0,0.0,0.0
845f139ffffffff,5.0,0.0,0.0
845f13dffffffff,4.0,0.0,0.0
845f143ffffffff,32.0,0.0,0.0
845f161ffffffff,26.0,0.0,0.0
845f163ffffffff,10.0,0.0,0.0
845f1c3ffffffff,2.0,0.0,0.0
845f1c9ffffffff,1.0,0.0,0.0
845f1cbffffffff,29.0,0.0,0.0
845f1e9ffffffff,1.0,0.0,0.0
845f283ffffffff,2.0,0.0,0.0
845f293ffffffff,2.0,0.0,0.0
845f295ffffffff,43.0,0.0,0.0
845f2b1ffffffff,78.0,0.0,0.0
845f2b3ffffffff,507.0,0.0,0.0
845f2b9ffffffff,3.0,0.0,0.0
845f2bbffffffff,651.0,0.0,0.0
845f2d3ffffffff,7.0,0.0,0.0
845f2d7ffffffff,2.0,0.0,0.0
845f403ffffffff,11.0,0.0,0.0
845f407ffffffff,27.0,0.0,0.0
845f40dffffffff,1.0,0.0,0.0
845f415ffffffff,3.0,0.0,0.0
845f42bffffffff,66.0,2.0,0.0
845f445ffffffff,2.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0
845f463ffffffff,2.0,0.0,0.0
845f46bffffffff,11.0,0.0,0.0
845f487ffffffff,7.0,0.0,0.0
845f4a7ffffffff,1.0,0.0,0.0
845f4a9ffffffff,6.0,0.0,0.0
845f4abffffffff,3.0,0.0,0.0
845f4b9ffffffff,4.0,0.0,0.0
845f4bdffffffff,5.0,0.0,0.0
845f549ffffffff,33.0,0.0,0.0
845f581ffffffff,6.0,0.0,0.0
845f583ffffffff,446.0,0.0,0.0
845f587ffffffff,1.0,0.0,0.0
845f5b9ffffffff,46.0,0.0,0.0
845f665ffffffff,1.0,0.0,0.0
845f683ffffffff,26.0,0.0,0.0
845f689ffffffff,5.0,0.0,0.0
845f68bffffffff,27.0,0.0,0.0
845f703ffffffff,2.0,0.0,0.0
845f709ffffffff,2.0,1.0,0.0
845f711ffffffff,35.0,0.0,0.0
845f713ffffffff,30.0,0.0,0.0
845f717ffffffff,6.0,0.0,0.0
845f755ffffffff,9.0,1.0,0.0
845f757ffffffff,1.0,0.0,0.0
845f759ffffffff,71.0,0.0,0.0
845f75dffffffff,14.0,0.0,0.0
845f767ffffffff,1.0,0.0,0.0
846600dffffffff,2.0,0.0,0.0
8466017ffffffff,2.0,0.0,0.0
846601bffffffff,5.0,0.0,0.0
8466021ffffffff,39.0,0.0,0.0
8466023ffffffff,63.0,0.0,0.0
8466025ffffffff,16.0,0.0,0.0
8466027ffffffff,33.0,0.0,0.0
846602bffffffff,7.0,0.0,0.0
846602dffffffff,2.0,0.0,0.0
8466033ffffffff,2.0,0.0,0.0
8466035ffffffff,4.0,0.0,0.0
8466037ffffffff,2.0,0.0,0.0
846603dffffffff,8.0,0.0,0.0
8466045ffffffff,90.0,0.0,0.0
8466061ffffffff,10.0,0.0,0.0
8466063ffffffff,12.0,0.0,0.0
8466067ffffffff,91.0,0.0,0.0
8466069ffffffff,10.0,0.0,0.0
846606bffffffff,11.0,0.0,0.0
8466081ffffffff,21.0,0.0,0.0
8466085ffffffff,4.0,0.0,0.0
846608dffffffff,1826.0,10.0,0.0
8466093ffffffff,2.0,0.0,0.0
8466099ffffffff,2.0,0.0,0.0
84660a1ffffffff,31.0,0.0,0.0
84660a5ffffffff,80.0,0.0,0.0
84660a7ffffffff,832.0,9.0,0.0
84660a9ffffffff,5.0,0.0,0.0
84660abffffffff,2.0,0.0,0.0
84660adffffffff,26.0,0.0,0.0
84660b3ffffffff,4.0,0.0,0.0
84660c5ffffffff,15.0,0.0,0.0
84660c7ffffffff,10.0,0.0,0.0
84660d1ffffffff,37.0,0.0,0.0
84660d3ffffffff,25.0,0.0,0.0
84660d9ffffffff,6.0,0.0,0.0
84660dbffffffff,4.0,0.0,0.0
84660e1ffffffff,2.0,0.0,0.0
84660e3ffffffff,3.0,0.0,0.0
84660e5ffffffff,5.0,0.0,0.0
84660e7ffffffff,19.0,0.0,0.0
84660ebffffffff,3.0,0.0,0.0
8466101ffffffff,5.0,0.0,0.0
8466103ffffffff,5.0,0.0,0.0
8466105ffffffff,63.0,0.0,0.0
8466107ffffffff,1707.0,0.0,0.0
846610bffffffff,7.0,0.0,0.0
846610dffffffff,8.0,0.0,0.0
8466111ffffffff,3.0,0.0,0.0
8466113ffffffff,75.0,0.0,0.0
8466117ffffffff,24.0,0.0,0.0
8466119ffffffff,82.0,0.0,0.0
846611bffffffff,3.0,0.0,0.0
846611dffffffff,2.0,0.0,0.0
8466121ffffffff,4.0,0.0,0.0
8466129ffffffff,34.0,0.0,0.0
8466131ffffffff,127.0,0.0,0.0
8466139ffffffff,1428.0,0.0,0.0
846613bffffffff,17.0,0.0,0.0
846613dffffffff,71.0,0.0,0.0
8466153ffffffff,8.0,0.0,0.0
8466161ffffffff,3.0,0.0,0.0
8466163ffffffff,356.0,0.0,0.0
8466165ffffffff,259.0,0.0,0.0
8466167ffffffff,47.0,0.0,0.0
8466181ffffffff,2.0,0.0,0.0
8466183ffffffff,119.0,5.0,0.0
8466185ffffffff,1.0,0.0,0.0
8466189ffffffff,1.0,0.0,0.0
846618bffffffff,94.0,2.0,0.0
8466191ffffffff,40.0,2.0,0.0
8466193ffffffff,1066.0,11.0,0.0
8466195ffffffff,95.0,2.0,0.0
8466197ffffffff,31.0,0.0,0.0
8466199ffffffff,75.0,0.0,0.0
846619bffffffff,1198.0,40.0,0.0
846619dffffffff,8.0,0.0,0.0
84661a1ffffffff,2.0,2.0,0.0
84661a3ffffffff,5.0,0.0,0.0
84661a5ffffffff,262.0,6.0,0.0
84661a7ffffffff,38.0,0.0,0.0
84661adffffffff,125.0,1.0,0.0
84661b1ffffffff,157.0,4.0,0.0
84661b3ffffffff,751.0,18.0,0.0
84661b5ffffffff,10.0,0.0,0.0
84661b7ffffffff,32.0,0.0,0.0
84661b9ffffffff,105.0,1.0,0.0
84661bbffffffff,334.0,0.0,0.0
84661bdffffffff,43.0,1.0,0.0
84661c1ffffffff,16.0,0.0,0.0
84661c3ffffffff,1.0,0.0,0.0
84661c7ffffffff,2.0,0.0,0.0
84661c9ffffffff,40.0,0.0,0.0
84661cbffffffff,17.0,0.0,0.0
84661cdffffffff,133.0,4.0,0.0
84661d1ffffffff,16.0,0.0,0.0
84661d3ffffffff,53.0,0.0,0.0
84661d7ffffffff,13.0,1.0,0.0
84661dbffffffff,10.0,0.0,0.0
84661ddffffffff,7.0,0.0,0.0
84661ebffffffff,517.0,2.0,0.0
8466201ffffffff,149.0,7.0,0.0
8466203ffffffff,105.0,16.0,0.0
8466205ffffffff,298.0,26.0,0.0
8466207ffffffff,15.0,0.0,0.0
846620bffffffff,124.0,8.0,0.0
8466211ffffffff,7.0,0.0,0.0
8466213ffffffff,12.0,0.0,0.0
8466215ffffffff,1.0,0.0,0.0
8466217ffffffff,237.0,0.0,0.0
8466219ffffffff,50.0,3.0,0.0
846621bffffffff,11.0,0.0,0.0
846621dffffffff,4.0,0.0,0.0
8466221ffffffff,19.0,1.0,0.0
8466225ffffffff,3.0,0.0,0.0
8466227ffffffff,2.0,0.0,0.0
