cell_id,Psittacella picta,Psittacella picta lorentzi,Psittacella picta picta/excelsa
82728ffffffffff,107.0,36.0,0.0
8272dffffffffff,54.0,0.0,0.0
829c87fffffffff,4.0,0.0,0.0
829c8ffffffffff,2.0,0.0,0.0
829cd7fffffffff,8.0,0.0,1.0
