cell_id,Geothlypis trichas,Geothlypis trichas [arizela Group],Geothlypis trichas [melanops Group],Geothlypis trichas [trichas Group],Geothlypis trichas insperata,Geothlypis trichas chapalensis
840c64bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c65bffffffff,9.0,0.0,0.0,0.0,0.0,0.0
840c65dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840d483ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d485ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d499ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
840d49bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840d49dffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840d6cdffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e481ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
840e483ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e485ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e487ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e48dffffffff,23.0,0.0,0.0,0.0,0.0,0.0
840e491ffffffff,65.0,0.0,0.0,0.0,0.0,0.0
840e493ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
840e495ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e497ffffffff,221.0,0.0,0.0,0.0,0.0,0.0
840e499ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
840e49bffffffff,156.0,0.0,0.0,0.0,0.0,0.0
840e49dffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840e4a1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840e4a5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840e4a9ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
840e4abffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e4b1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e4b3ffffffff,68.0,0.0,0.0,0.0,0.0,0.0
840e4bbffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840e4d1ffffffff,39.0,0.0,0.0,0.0,0.0,0.0
840e4d3ffffffff,45.0,0.0,0.0,0.0,0.0,0.0
840e4d5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e4d7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e4dbffffffff,574.0,0.0,0.0,0.0,0.0,0.0
840e51dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e523ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840e531ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840e535ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e53dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e583ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
840e59dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e5abffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e5adffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840e5b3ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
840e5b7ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
840e5b9ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
840e5bdffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840e603ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e6b1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e6cdffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e805ffffffff,28.0,0.0,0.0,0.0,0.0,0.0
840e835ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e89bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e8e1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840e963ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e9a7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
