cell_id,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax [pyrrhocorax Group],Pyrrhocorax pyrrhocorax baileyi
8418013ffffffff,1.0,1.0,0.0
8418053ffffffff,7.0,0.0,0.0
8418259ffffffff,2.0,0.0,0.0
8418493ffffffff,1.0,0.0,0.0
84184b1ffffffff,2.0,0.0,0.0
84184b3ffffffff,4.0,0.0,0.0
8418597ffffffff,2.0,0.0,0.0
84185b3ffffffff,13.0,4.0,0.0
8418629ffffffff,22.0,2.0,0.0
841870dffffffff,2.0,0.0,0.0
84190b1ffffffff,6.0,0.0,0.0
84190b3ffffffff,8.0,0.0,0.0
84190b9ffffffff,2.0,0.0,0.0
84190bbffffffff,6.0,0.0,0.0
8419485ffffffff,3.0,0.0,0.0
8419531ffffffff,2.0,2.0,0.0
8419565ffffffff,19.0,0.0,0.0
8419587ffffffff,1.0,0.0,0.0
841e80bffffffff,6.0,0.0,0.0
841ed07ffffffff,3.0,0.0,0.0
841f9a7ffffffff,2.0,0.0,0.0
841f9adffffffff,1.0,0.0,0.0
841f9c1ffffffff,3.0,0.0,0.0
841f9c3ffffffff,7.0,0.0,0.0
841f9cbffffffff,2.0,0.0,0.0
841f9e3ffffffff,3.0,0.0,0.0
841f9e7ffffffff,2.0,0.0,0.0
84201abffffffff,2.0,0.0,0.0
8420499ffffffff,2.0,2.0,0.0
842049bffffffff,2.0,2.0,0.0
8420999ffffffff,2.0,0.0,0.0
8420e61ffffffff,1.0,0.0,0.0
8420f5dffffffff,2.0,0.0,0.0
84240adffffffff,4.0,0.0,0.0
842460dffffffff,2.0,0.0,0.0
8424647ffffffff,1.0,0.0,0.0
8425129ffffffff,1.0,1.0,0.0
8425135ffffffff,1.0,1.0,0.0
84255a3ffffffff,1.0,1.0,0.0
84255b7ffffffff,1.0,1.0,0.0
8425ac5ffffffff,1.0,1.0,0.0
8425ad5ffffffff,1.0,1.0,0.0
842c043ffffffff,1.0,0.0,0.0
842c089ffffffff,2.0,0.0,0.0
842c0b7ffffffff,6.0,0.0,0.0
842ccb1ffffffff,2.0,0.0,0.0
842ce59ffffffff,3.0,0.0,0.0
842cf33ffffffff,2.0,0.0,0.0
842d12bffffffff,1.0,1.0,0.0
8430995ffffffff,3.0,0.0,0.0
8434415ffffffff,2.0,0.0,0.0
843824dffffffff,2.0,0.0,0.0
8438751ffffffff,2.0,0.0,0.0
8439015ffffffff,2.0,0.0,0.0
8439019ffffffff,6.0,0.0,0.0
843901bffffffff,4.0,0.0,0.0
843901dffffffff,3.0,0.0,0.0
8439029ffffffff,2.0,0.0,0.0
8439031ffffffff,3.0,3.0,0.0
8439033ffffffff,2.0,0.0,0.0
8439035ffffffff,1.0,1.0,0.0
8439041ffffffff,60.0,0.0,0.0
8439055ffffffff,2.0,0.0,0.0
8439063ffffffff,5.0,0.0,0.0
843906dffffffff,5.0,0.0,0.0
84390b5ffffffff,2.0,0.0,0.0
84390c1ffffffff,5.0,0.0,0.0
84390c7ffffffff,2.0,0.0,0.0
84390e7ffffffff,2.0,0.0,0.0
8439101ffffffff,16.0,0.0,0.0
843915dffffffff,1.0,0.0,0.0
8439181ffffffff,24.0,1.0,0.0
8439183ffffffff,3.0,0.0,0.0
8439193ffffffff,4.0,0.0,0.0
843919dffffffff,4.0,0.0,0.0
84391abffffffff,2.0,0.0,0.0
84391d1ffffffff,2.0,0.0,0.0
8439207ffffffff,15.0,0.0,0.0
8439215ffffffff,3.0,0.0,0.0
8439219ffffffff,21.0,0.0,0.0
843921dffffffff,3.0,0.0,0.0
8439223ffffffff,9.0,0.0,0.0
843923dffffffff,1.0,0.0,0.0
8439241ffffffff,3.0,0.0,0.0
8439253ffffffff,16.0,0.0,0.0
8439259ffffffff,4.0,0.0,0.0
843925bffffffff,2.0,0.0,0.0
8439285ffffffff,4.0,0.0,0.0
8439287ffffffff,11.0,0.0,0.0
8439291ffffffff,1.0,0.0,0.0
843929dffffffff,5.0,0.0,0.0
84392a3ffffffff,2.0,0.0,0.0
84392a7ffffffff,13.0,0.0,0.0
84392bdffffffff,2.0,2.0,0.0
84392c5ffffffff,1.0,0.0,0.0
84392c9ffffffff,2.0,0.0,0.0
84392cbffffffff,5.0,3.0,0.0
84392d1ffffffff,8.0,0.0,0.0
84392d3ffffffff,2.0,0.0,0.0
84392d5ffffffff,9.0,0.0,0.0
84392d7ffffffff,2.0,0.0,0.0
84392dbffffffff,3.0,0.0,0.0
84392ddffffffff,10.0,0.0,0.0
8439313ffffffff,3.0,0.0,0.0
8439337ffffffff,1.0,0.0,0.0
8439569ffffffff,1.0,0.0,0.0
8439621ffffffff,2.0,2.0,0.0
8439627ffffffff,2.0,2.0,0.0
843969bffffffff,1.0,0.0,0.0
8439705ffffffff,4.0,0.0,0.0
8439707ffffffff,1.0,0.0,0.0
843970bffffffff,2.0,0.0,0.0
843970dffffffff,1.0,0.0,0.0
8439711ffffffff,5.0,2.0,0.0
843971dffffffff,2.0,2.0,0.0
8439721ffffffff,21.0,0.0,0.0
8439723ffffffff,2.0,0.0,0.0
8439727ffffffff,2.0,0.0,0.0
8439729ffffffff,49.0,0.0,0.0
843972bffffffff,4.0,0.0,0.0
843972dffffffff,5.0,0.0,0.0
8439731ffffffff,2.0,0.0,0.0
8439739ffffffff,18.0,0.0,0.0
843973dffffffff,8.0,0.0,0.0
8439741ffffffff,2.0,0.0,0.0
8439747ffffffff,1.0,0.0,0.0
8439749ffffffff,4.0,0.0,0.0
843974bffffffff,20.0,0.0,0.0
8439755ffffffff,2.0,0.0,0.0
