cell_id,Ptilinopus ornatus,Ptilinopus ornatus ornatus,Ptilinopus ornatus gestroi
8372d2fffffffff,1.0,0.0,0.0
839c8bfffffffff,6.0,0.0,0.0
839c9dfffffffff,2.0,0.0,1.0
839cd2fffffffff,1.0,0.0,0.0
839cd3fffffffff,5.0,0.0,1.0
