cell_id,Onychorhynchus coronatus,Onychorhynchus coronatus mexicanus/fraterculus,Onychorhynchus coronatus occidentalis,Onychorhynchus coronatus coronatus/castelnaui
824507fffffffff,8.0,0.0,0.0,0.0
82450ffffffffff,414.0,44.0,0.0,0.0
824527fffffffff,574.0,37.0,0.0,0.0
82452ffffffffff,3469.0,516.0,0.0,0.0
824537fffffffff,157.0,5.0,0.0,0.0
824577fffffffff,1.0,0.0,0.0,0.0
825f17fffffffff,5.0,0.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0,0.0
825f2ffffffffff,10.0,0.0,0.0,0.0
825f47fffffffff,1.0,0.0,0.0,0.0
825f57fffffffff,4.0,0.0,0.0,0.0
825f77fffffffff,6.0,0.0,0.0,0.0
82660ffffffffff,19.0,0.0,0.0,0.0
826617fffffffff,892.0,118.0,0.0,0.0
82661ffffffffff,23.0,0.0,0.0,0.0
826627fffffffff,16.0,6.0,0.0,0.0
82662ffffffffff,5.0,0.0,0.0,0.0
826647fffffffff,44.0,0.0,0.0,0.0
82664ffffffffff,4.0,0.0,0.0,4.0
82665ffffffffff,25.0,0.0,0.0,9.0
82666ffffffffff,2.0,0.0,0.0,0.0
8266a7fffffffff,288.0,29.0,0.0,0.0
8266b7fffffffff,348.0,2.0,0.0,0.0
8266dffffffffff,36.0,0.0,0.0,11.0
8266effffffffff,17.0,0.0,0.0,5.0
826797fffffffff,33.0,0.0,0.0,0.0
82679ffffffffff,102.0,2.0,0.0,0.0
826d07fffffffff,11.0,4.0,0.0,0.0
826d27fffffffff,184.0,25.0,0.0,0.0
826d2ffffffffff,218.0,80.0,0.0,0.0
826d37fffffffff,41.0,3.0,0.0,0.0
826d67fffffffff,11.0,0.0,0.0,0.0
826d6ffffffffff,2516.0,0.0,0.0,0.0
828047fffffffff,26.0,0.0,0.0,14.0
82804ffffffffff,1.0,0.0,0.0,1.0
828067fffffffff,16.0,0.0,0.0,10.0
828077fffffffff,6.0,0.0,0.0,0.0
828147fffffffff,4.0,0.0,0.0,1.0
82814ffffffffff,92.0,0.0,0.0,33.0
82815ffffffffff,45.0,0.0,0.0,12.0
828167fffffffff,1.0,0.0,0.0,0.0
828a07fffffffff,4.0,0.0,0.0,4.0
828a17fffffffff,17.0,0.0,0.0,3.0
828a1ffffffffff,5.0,0.0,0.0,5.0
828a27fffffffff,4.0,0.0,0.0,0.0
828a2ffffffffff,2.0,0.0,0.0,2.0
828a37fffffffff,5.0,0.0,0.0,0.0
828a47fffffffff,33.0,0.0,0.0,8.0
828a57fffffffff,2.0,0.0,0.0,2.0
828a5ffffffffff,1.0,0.0,0.0,1.0
828a6ffffffffff,55.0,0.0,0.0,0.0
828a77fffffffff,4.0,0.0,0.0,0.0
828a87fffffffff,7.0,0.0,0.0,5.0
828a97fffffffff,1.0,0.0,0.0,0.0
828a9ffffffffff,10.0,0.0,0.0,4.0
828aaffffffffff,6.0,0.0,0.0,0.0
828af7fffffffff,27.0,0.0,0.0,2.0
828b07fffffffff,1.0,0.0,0.0,0.0
828b0ffffffffff,2.0,0.0,0.0,0.0
828b1ffffffffff,4.0,0.0,0.0,0.0
828b27fffffffff,2.0,0.0,0.0,0.0
828b47fffffffff,129.0,0.0,0.0,18.0
828b4ffffffffff,10.0,0.0,0.0,3.0
828b57fffffffff,6.0,0.0,0.0,0.0
828b5ffffffffff,2.0,0.0,0.0,2.0
828b67fffffffff,35.0,0.0,0.0,3.0
828b6ffffffffff,7.0,0.0,0.0,0.0
828b77fffffffff,8.0,0.0,0.0,3.0
828b87fffffffff,5.0,0.0,0.0,2.0
828b8ffffffffff,1.0,0.0,0.0,1.0
828b9ffffffffff,89.0,0.0,0.0,48.0
828f0ffffffffff,110.0,0.0,67.0,0.0
828f2ffffffffff,269.0,0.0,175.0,0.0
828f47fffffffff,3.0,0.0,0.0,0.0
828f4ffffffffff,7.0,0.0,0.0,0.0
828f67fffffffff,12.0,0.0,0.0,0.0
828f6ffffffffff,3.0,0.0,0.0,0.0
828f77fffffffff,8.0,0.0,0.0,0.0
