cell_id,Upucerthia validirostris,Upucerthia validirostris jelskii/saturata,Upucerthia validirostris validirostris
828b27fffffffff,2.0,1.0,0.0
828b2ffffffffff,37.0,20.0,0.0
828b67fffffffff,57.0,15.0,0.0
828b6ffffffffff,2.0,2.0,0.0
828e67fffffffff,509.0,254.0,0.0
828e6ffffffffff,27.0,9.0,0.0
828f5ffffffffff,100.0,26.0,0.0
82b20ffffffffff,15.0,0.0,0.0
82b22ffffffffff,4.0,0.0,0.0
82b277fffffffff,6.0,0.0,0.0
82b2e7fffffffff,5.0,0.0,0.0
82b2effffffffff,4.0,0.0,1.0
82b307fffffffff,488.0,150.0,0.0
82b30ffffffffff,10.0,5.0,0.0
82b327fffffffff,91.0,24.0,0.0
82b32ffffffffff,15.0,9.0,0.0
82b337fffffffff,171.0,30.0,0.0
82b347fffffffff,38.0,0.0,0.0
82b357fffffffff,208.0,0.0,6.0
82b35ffffffffff,278.0,0.0,18.0
82b377fffffffff,186.0,0.0,9.0
