cell_id,Centropus sinensis,Centropus sinensis [sinensis Group],Centropus sinensis parroti
82209ffffffffff,2.0,0.0,0.0
823c07fffffffff,386.0,8.0,0.0
823c17fffffffff,300.0,11.0,0.0
823c1ffffffffff,1069.0,9.0,0.0
823c37fffffffff,290.0,0.0,0.0
823c57fffffffff,34.0,0.0,0.0
823c5ffffffffff,276.0,0.0,0.0
823c87fffffffff,512.0,0.0,0.0
823c8ffffffffff,1508.0,10.0,0.0
823c97fffffffff,1217.0,0.0,0.0
823c9ffffffffff,268.0,0.0,0.0
823ca7fffffffff,386.0,0.0,0.0
823caffffffffff,859.0,0.0,0.0
823cb7fffffffff,7706.0,0.0,0.0
823cc7fffffffff,668.0,0.0,0.0
823ccffffffffff,33.0,0.0,0.0
823cd7fffffffff,59.0,0.0,0.0
823cdffffffffff,98.0,12.0,0.0
823ce7fffffffff,739.0,0.0,0.0
823ceffffffffff,786.0,0.0,0.0
823cf7fffffffff,4759.0,93.0,0.0
823d17fffffffff,6118.0,79.0,0.0
823d37fffffffff,616.0,3.0,0.0
823d87fffffffff,2831.0,0.0,0.0
823d8ffffffffff,1459.0,0.0,0.0
823d97fffffffff,1547.0,0.0,0.0
823d9ffffffffff,2555.0,0.0,0.0
823da7fffffffff,6304.0,0.0,0.0
823daffffffffff,1489.0,80.0,0.0
823db7fffffffff,1496.0,0.0,0.0
824027fffffffff,13.0,0.0,0.0
82402ffffffffff,172.0,2.0,0.0
82404ffffffffff,165.0,13.0,0.0
824067fffffffff,68.0,3.0,0.0
82406ffffffffff,22.0,7.0,0.0
824077fffffffff,11.0,0.0,0.0
8240a7fffffffff,4.0,0.0,0.0
824107fffffffff,137.0,16.0,0.0
82410ffffffffff,47.0,4.0,0.0
824117fffffffff,32.0,1.0,0.0
82411ffffffffff,2303.0,305.0,0.0
824147fffffffff,97.0,17.0,0.0
82414ffffffffff,159.0,0.0,0.0
824157fffffffff,35.0,6.0,0.0
82415ffffffffff,98.0,12.0,0.0
824167fffffffff,74.0,8.0,0.0
82416ffffffffff,219.0,27.0,0.0
824177fffffffff,178.0,42.0,0.0
8241a7fffffffff,5256.0,2521.0,0.0
8241b7fffffffff,311.0,45.0,0.0
824247fffffffff,1.0,0.0,0.0
82424ffffffffff,428.0,19.0,0.0
824257fffffffff,23.0,0.0,0.0
82425ffffffffff,157.0,0.0,0.0
82426ffffffffff,368.0,0.0,0.0
8242c7fffffffff,2255.0,0.0,0.0
8242cffffffffff,4442.0,0.0,0.0
8242d7fffffffff,27.0,0.0,0.0
8242dffffffffff,2416.0,0.0,138.0
8242e7fffffffff,115.0,0.0,0.0
8242effffffffff,285.0,0.0,0.0
826007fffffffff,18877.0,0.0,1393.0
826017fffffffff,43453.0,0.0,1743.0
82601ffffffffff,5767.0,0.0,547.0
826027fffffffff,11423.0,0.0,171.0
826037fffffffff,40336.0,0.0,4123.0
826087fffffffff,616.0,0.0,0.0
82608ffffffffff,15834.0,0.0,2173.0
826097fffffffff,2419.0,0.0,0.0
82609ffffffffff,1759.0,0.0,0.0
8260a7fffffffff,1766.0,0.0,0.0
8260affffffffff,5831.0,0.0,1662.0
8260b7fffffffff,3587.0,0.0,0.0
8260f7fffffffff,16.0,0.0,0.0
826107fffffffff,1884.0,0.0,329.0
826117fffffffff,454.0,0.0,73.0
82611ffffffffff,2551.0,0.0,167.0
82618ffffffffff,9498.0,0.0,1138.0
82619ffffffffff,353.0,0.0,0.0
8261affffffffff,1018.0,0.0,241.0
826417fffffffff,1143.0,410.0,0.0
826427fffffffff,187.0,41.0,0.0
826437fffffffff,1283.0,663.0,0.0
826487fffffffff,1992.0,873.0,0.0
82648ffffffffff,105.0,12.0,0.0
826497fffffffff,1666.0,652.0,0.0
82649ffffffffff,117.0,20.0,0.0
8264a7fffffffff,3085.0,1615.0,0.0
8264affffffffff,7.0,0.0,0.0
8264b7fffffffff,821.0,259.0,0.0
826507fffffffff,606.0,9.0,0.0
82650ffffffffff,11.0,0.0,0.0
82651ffffffffff,770.0,242.0,0.0
826527fffffffff,329.0,0.0,0.0
82652ffffffffff,7.0,0.0,0.0
826557fffffffff,2.0,0.0,0.0
826587fffffffff,2033.0,193.0,0.0
82658ffffffffff,3102.0,1045.0,0.0
826597fffffffff,800.0,139.0,0.0
82659ffffffffff,1395.0,470.0,0.0
8265a7fffffffff,33.0,0.0,0.0
8265b7fffffffff,1019.0,111.0,0.0
826807fffffffff,34.0,0.0,0.0
826817fffffffff,249.0,56.0,0.0
82681ffffffffff,1456.0,278.0,0.0
82682ffffffffff,269.0,12.0,0.0
82688ffffffffff,2.0,0.0,0.0
826897fffffffff,11.0,0.0,0.0
82689ffffffffff,1.0,0.0,0.0
8268a7fffffffff,8.0,1.0,0.0
8268affffffffff,5.0,0.0,0.0
826917fffffffff,1.0,0.0,0.0
826937fffffffff,34.0,10.0,0.0
828c17fffffffff,32.0,3.0,0.0
828c1ffffffffff,3.0,0.0,0.0
828c97fffffffff,37.0,4.0,0.0
828caffffffffff,61.0,0.0,0.0
828cb7fffffffff,2.0,0.0,0.0
828cd7fffffffff,14.0,0.0,0.0
828cdffffffffff,9.0,0.0,0.0
828d87fffffffff,4.0,0.0,0.0
828d8ffffffffff,2.0,0.0,0.0
828da7fffffffff,52.0,1.0,0.0
828db7fffffffff,112.0,1.0,0.0
82951ffffffffff,1.0,0.0,0.0
8295a7fffffffff,89.0,1.0,0.0
