cell_id,Cincloramphus macrurus,Cincloramphus macrurus interscapularis/mayri,Cincloramphus macrurus [macrurus Group]
8472895ffffffff,4.0,0.0,0.0
84728b9ffffffff,72.0,0.0,1.0
84728bbffffffff,1.0,0.0,0.0
84728e1ffffffff,1.0,0.0,0.0
8472a23ffffffff,7.0,0.0,0.0
8472a2bffffffff,6.0,0.0,0.0
8472d23ffffffff,3.0,0.0,0.0
8472d6dffffffff,2.0,0.0,0.0
8472da1ffffffff,188.0,0.0,6.0
8472da3ffffffff,39.0,0.0,1.0
8472da5ffffffff,2.0,0.0,0.0
8472da9ffffffff,2.0,0.0,0.0
8472dabffffffff,1.0,0.0,0.0
8472dadffffffff,1.0,0.0,0.0
8472db3ffffffff,7.0,0.0,0.0
8472db5ffffffff,1.0,0.0,0.0
8472db7ffffffff,1.0,0.0,0.0
8472de7ffffffff,1.0,0.0,0.0
849c851ffffffff,7.0,0.0,1.0
849c85bffffffff,4.0,0.0,0.0
849c8a5ffffffff,2.0,0.0,0.0
849c8a7ffffffff,1.0,0.0,0.0
849c8b5ffffffff,2.0,0.0,0.0
849c901ffffffff,46.0,8.0,0.0
849c9d5ffffffff,1.0,0.0,0.0
849c9d9ffffffff,1.0,0.0,0.0
849c9ddffffffff,5.0,0.0,0.0
849ca65ffffffff,2.0,0.0,0.0
849cd25ffffffff,7.0,0.0,0.0
849cd2dffffffff,136.0,0.0,7.0
849cd33ffffffff,1.0,0.0,0.0
