cell_id,Podargus ocellatus,Podargus ocellatus [ocellatus Group],Podargus ocellatus plumiferus
829c1ffffffffff,6.0,2.0,0.0
829c8ffffffffff,5.0,0.0,0.0
829cc7fffffffff,1.0,0.0,0.0
829cd7fffffffff,3.0,1.0,0.0
829cf7fffffffff,4.0,0.0,0.0
829d9ffffffffff,1.0,0.0,0.0
82be8ffffffffff,3.0,0.0,2.0
82beaffffffffff,17.0,0.0,3.0
