cell_id,Pternistis afer,Pternistis afer cranchii/harterti,Pternistis afer [leucoparaeus Group],Pternistis afer afer,Pternistis afer castaneiventer
846a5a9ffffffff,3.0,0.0,0.0,0.0,0.0
846ac15ffffffff,5.0,0.0,0.0,0.0,0.0
846ac31ffffffff,43.0,6.0,0.0,0.0,0.0
846ac33ffffffff,4.0,0.0,0.0,0.0,0.0
846ac35ffffffff,71.0,3.0,0.0,0.0,0.0
846ac37ffffffff,1.0,0.0,0.0,0.0,0.0
846ac39ffffffff,15.0,0.0,0.0,0.0,0.0
846ac3dffffffff,671.0,70.0,0.0,0.0,0.0
846ac89ffffffff,10.0,0.0,0.0,0.0,0.0
846ac93ffffffff,30.0,0.0,0.0,0.0,0.0
846ace5ffffffff,741.0,52.0,0.0,0.0,0.0
846ad81ffffffff,2.0,0.0,0.0,0.0,0.0
846ad89ffffffff,1.0,0.0,0.0,0.0,0.0
846ad8bffffffff,96.0,0.0,0.0,0.0,0.0
846ad9dffffffff,2.0,0.0,0.0,0.0,0.0
846adc1ffffffff,15.0,0.0,0.0,0.0,0.0
846adc3ffffffff,2.0,0.0,0.0,0.0,0.0
846adc9ffffffff,179.0,15.0,0.0,0.0,0.0
846add3ffffffff,2.0,0.0,0.0,0.0,0.0
846add5ffffffff,15.0,0.0,0.0,0.0,0.0
846add7ffffffff,39.0,0.0,0.0,0.0,0.0
846ade7ffffffff,1.0,0.0,0.0,0.0,0.0
846ae85ffffffff,17.0,0.0,0.0,0.0,0.0
846aea1ffffffff,13.0,0.0,0.0,0.0,0.0
846aea9ffffffff,3.0,0.0,0.0,0.0,0.0
846aeabffffffff,2.0,0.0,0.0,0.0,0.0
846aeb5ffffffff,1.0,0.0,0.0,0.0,0.0
846aee3ffffffff,30.0,0.0,0.0,0.0,0.0
847a4d1ffffffff,1.0,0.0,0.0,0.0,0.0
847a681ffffffff,178.0,0.0,0.0,0.0,0.0
847a683ffffffff,409.0,0.0,0.0,0.0,0.0
847a687ffffffff,9.0,0.0,0.0,0.0,0.0
