cell_id,Geokichla sibirica,Geokichla sibirica sibirica,Geokichla sibirica davisoni
820a37fffffffff,18.0,0.0,0.0
82148ffffffffff,6.0,0.0,0.0
82149ffffffffff,11.0,0.0,0.0
8214affffffffff,6.0,0.0,0.0
82158ffffffffff,2.0,0.0,0.0
822427fffffffff,1.0,0.0,0.0
822457fffffffff,16.0,0.0,0.0
82246ffffffffff,3.0,0.0,0.0
822547fffffffff,49.0,0.0,0.0
822e0ffffffffff,3.0,0.0,0.0
822e1ffffffffff,3.0,0.0,0.0
822e6ffffffffff,2.0,0.0,0.0
822e77fffffffff,6.0,0.0,0.0
822e8ffffffffff,3.0,0.0,0.0
822eaffffffffff,1.0,0.0,0.0
822ec7fffffffff,1.0,0.0,0.0
822ecffffffffff,3.0,0.0,0.0
822edffffffffff,2.0,0.0,0.0
822ef7fffffffff,2.0,0.0,0.0
822f5ffffffffff,1.0,0.0,0.0
82301ffffffffff,10.0,0.0,0.0
823027fffffffff,1.0,0.0,0.0
823037fffffffff,20.0,0.0,0.0
823087fffffffff,28.0,0.0,0.0
82309ffffffffff,156.0,0.0,0.0
8230affffffffff,3.0,0.0,0.0
8230dffffffffff,1.0,0.0,0.0
8230e7fffffffff,11.0,0.0,0.0
823147fffffffff,1.0,0.0,0.0
82318ffffffffff,56.0,0.0,0.0
8231affffffffff,9.0,0.0,0.0
824047fffffffff,2.0,0.0,0.0
82404ffffffffff,3.0,0.0,0.0
82411ffffffffff,20.0,0.0,0.0
824147fffffffff,6.0,0.0,0.0
82414ffffffffff,7.0,0.0,0.0
82415ffffffffff,9.0,0.0,0.0
824167fffffffff,14.0,0.0,0.0
824177fffffffff,4.0,0.0,0.0
8241b7fffffffff,21.0,0.0,0.0
824b37fffffffff,1.0,0.0,0.0
824b77fffffffff,1.0,0.0,0.0
824ba7fffffffff,34.0,0.0,0.0
826417fffffffff,2.0,0.0,0.0
826437fffffffff,1.0,0.0,0.0
826487fffffffff,3.0,0.0,0.0
826497fffffffff,5.0,0.0,0.0
8264a7fffffffff,16.0,0.0,0.0
8264b7fffffffff,1.0,0.0,0.0
826507fffffffff,66.0,0.0,0.0
82650ffffffffff,3.0,0.0,0.0
82651ffffffffff,2.0,0.0,0.0
826527fffffffff,8.0,0.0,0.0
82652ffffffffff,2.0,0.0,0.0
826557fffffffff,5.0,0.0,0.0
82658ffffffffff,13.0,0.0,0.0
8265b7fffffffff,61.0,0.0,0.0
826937fffffffff,3.0,0.0,0.0
828c17fffffffff,29.0,0.0,0.0
828caffffffffff,2.0,0.0,0.0
828cd7fffffffff,9.0,0.0,0.0
828da7fffffffff,1.0,0.0,0.0
828db7fffffffff,15.0,0.0,0.0
