cell_id,Symposiachrus trivirgatus,Symposiachrus trivirgatus [trivirgatus Group],Symposiachrus trivirgatus gouldii/melanorrhous
8494159ffffffff,20.0,0.0,0.0
8495533ffffffff,3.0,3.0,0.0
849ce9bffffffff,6.0,0.0,2.0
84be089ffffffff,10.0,0.0,0.0
84be0c3ffffffff,2.0,0.0,0.0
84be18dffffffff,2.0,0.0,0.0
84be74dffffffff,12.0,0.0,8.0
84be89bffffffff,2.0,0.0,0.0
84be8d1ffffffff,1.0,0.0,0.0
84bea91ffffffff,1.0,1.0,0.0
84beabbffffffff,8.0,0.0,2.0
84bef61ffffffff,2.0,0.0,0.0
