cell_id,Pampa curvipennis,Pampa curvipennis curvipennis,Pampa curvipennis pampa,Pampa curvipennis excellens
83450efffffffff,2.0,0.0,2.0,0.0
834521fffffffff,10.0,0.0,0.0,0.0
83452afffffffff,14.0,0.0,2.0,0.0
83452cfffffffff,5.0,0.0,1.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0
83452efffffffff,16.0,0.0,0.0,0.0
834530fffffffff,5.0,0.0,0.0,0.0
834534fffffffff,10.0,0.0,0.0,0.0
834990fffffffff,2.0,2.0,0.0,0.0
834996fffffffff,19.0,9.0,0.0,0.0
834998fffffffff,1.0,1.0,0.0,0.0
836d21fffffffff,5.0,0.0,0.0,0.0
836d23fffffffff,6.0,0.0,0.0,6.0
836d30fffffffff,2.0,1.0,0.0,0.0
836d31fffffffff,2.0,0.0,0.0,2.0
