cell_id,Hypsipetes leucocephalus,Hypsipetes leucocephalus [psaroides Group],Hypsipetes leucocephalus sinensis/ambiens,Hypsipetes leucocephalus [leucocephalus Group],Hypsipetes leucocephalus perniger,Hypsipetes leucocephalus nigerrimus
82309ffffffffff,12.0,0.0,0.0,3.0,0.0,0.0
823c07fffffffff,16.0,7.0,0.0,0.0,0.0,0.0
823c0ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
823c1ffffffffff,48.0,0.0,0.0,0.0,0.0,0.0
823c5ffffffffff,5.0,2.0,0.0,3.0,0.0,0.0
823cc7fffffffff,5.0,0.0,0.0,3.0,0.0,0.0
823ccffffffffff,2.0,0.0,0.0,2.0,0.0,0.0
823cdffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
823ce7fffffffff,16.0,4.0,0.0,0.0,0.0,0.0
823ceffffffffff,16.0,0.0,0.0,2.0,0.0,0.0
823d17fffffffff,67.0,0.0,0.0,0.0,0.0,0.0
823d37fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
823daffffffffff,20.0,18.0,0.0,0.0,0.0,0.0
82402ffffffffff,8.0,0.0,0.0,4.0,0.0,0.0
824047fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82404ffffffffff,24.0,5.0,3.0,15.0,0.0,0.0
824057fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8240affffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8240b7fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8240e7fffffffff,8.0,0.0,0.0,8.0,0.0,0.0
8240effffffffff,2.0,0.0,0.0,2.0,0.0,0.0
824107fffffffff,17.0,0.0,0.0,3.0,0.0,0.0
82411ffffffffff,23.0,0.0,0.0,0.0,0.0,0.0
82414ffffffffff,2.0,0.0,0.0,2.0,0.0,0.0
82415ffffffffff,1.0,0.0,1.0,0.0,0.0,0.0
824167fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82416ffffffffff,4.0,0.0,0.0,4.0,0.0,0.0
824197fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8241a7fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8241b7fffffffff,48.0,0.0,0.0,11.0,0.0,0.0
82426ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
824b87fffffffff,25.0,0.0,0.0,0.0,0.0,4.0
824ba7fffffffff,205.0,0.0,0.0,1.0,0.0,4.0
824bb7fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8264b7fffffffff,1.0,0.0,1.0,0.0,0.0,0.0
82659ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8265b7fffffffff,4.0,2.0,0.0,2.0,0.0,0.0
826937fffffffff,14.0,0.0,0.0,14.0,0.0,0.0
