cell_id,Phaethornis mexicanus,Phaethornis mexicanus griseoventer,Phaethornis mexicanus mexicanus
834836fffffffff,290.0,62.0,0.0
8349a8fffffffff,37.0,0.0,0.0
8349a9fffffffff,278.0,51.0,0.0
8349aafffffffff,2.0,0.0,0.0
8349b0fffffffff,2.0,0.0,1.0
8349b1fffffffff,20.0,0.0,11.0
8349b5fffffffff,57.0,0.0,7.0
8349b6fffffffff,1.0,0.0,0.0
836d14fffffffff,5.0,0.0,0.0
836d15fffffffff,1.0,0.0,0.0
836d33fffffffff,201.0,0.0,55.0
