cell_id,Malaconotus monteiri,Malaconotus monteiri perspicillatus,Malaconotus monteiri monteiri
828317fffffffff,38.0,0.0,4.0
82831ffffffffff,12.0,0.0,0.0
8283affffffffff,1.0,0.0,0.0
