cell_id,Pachysylvia decurtata,Pachysylvia decurtata decurtata/darienensis,Pachysylvia decurtata minor
834424fffffffff,7.0,0.0,0.0
834501fffffffff,286.0,2.0,0.0
834505fffffffff,279.0,0.0,0.0
834508fffffffff,158.0,0.0,0.0
834509fffffffff,2.0,0.0,0.0
83450afffffffff,629.0,46.0,0.0
83450bfffffffff,107.0,0.0,0.0
83450cfffffffff,186.0,18.0,0.0
83450dfffffffff,137.0,0.0,0.0
83450efffffffff,575.0,56.0,0.0
834520fffffffff,829.0,11.0,0.0
834521fffffffff,2002.0,10.0,0.0
834522fffffffff,1466.0,0.0,0.0
834523fffffffff,1364.0,0.0,0.0
834524fffffffff,24.0,0.0,0.0
834525fffffffff,140.0,2.0,0.0
834526fffffffff,487.0,0.0,0.0
834528fffffffff,1459.0,91.0,0.0
834529fffffffff,15.0,4.0,0.0
83452afffffffff,2927.0,20.0,0.0
83452bfffffffff,291.0,42.0,0.0
83452cfffffffff,1429.0,134.0,0.0
83452dfffffffff,552.0,114.0,0.0
83452efffffffff,12109.0,333.0,0.0
834530fffffffff,28.0,0.0,0.0
834531fffffffff,189.0,0.0,0.0
834532fffffffff,77.0,0.0,0.0
834534fffffffff,138.0,0.0,0.0
834535fffffffff,40.0,0.0,0.0
834536fffffffff,190.0,0.0,0.0
834564fffffffff,53.0,7.0,0.0
834572fffffffff,2.0,0.0,0.0
834576fffffffff,9.0,5.0,0.0
834990fffffffff,6.0,0.0,0.0
834991fffffffff,4.0,0.0,0.0
834996fffffffff,111.0,18.0,0.0
836608fffffffff,56.0,0.0,0.0
83660afffffffff,22.0,0.0,0.0
83660cfffffffff,2.0,0.0,0.0
83660efffffffff,1.0,0.0,0.0
836610fffffffff,243.0,22.0,0.0
836611fffffffff,22.0,0.0,0.0
836612fffffffff,52.0,1.0,0.0
836613fffffffff,353.0,19.0,0.0
836616fffffffff,710.0,85.0,0.0
836618fffffffff,2.0,0.0,0.0
836619fffffffff,81.0,0.0,0.0
83661afffffffff,108.0,4.0,0.0
83661bfffffffff,3.0,0.0,0.0
83661cfffffffff,85.0,0.0,0.0
83661dfffffffff,24.0,0.0,0.0
83661efffffffff,29.0,0.0,0.0
8366a0fffffffff,1044.0,36.0,0.0
8366a1fffffffff,38.0,2.0,0.0
8366a2fffffffff,40.0,0.0,0.0
8366a3fffffffff,133.0,12.0,0.0
8366a5fffffffff,7965.0,562.0,0.0
8366a6fffffffff,743.0,33.0,0.0
8366a9fffffffff,2.0,0.0,0.0
8366aefffffffff,4.0,0.0,0.0
8366b0fffffffff,2019.0,0.0,0.0
8366b1fffffffff,23.0,3.0,0.0
8366b4fffffffff,5110.0,0.0,0.0
8366b5fffffffff,3183.0,32.0,0.0
8366b6fffffffff,244.0,0.0,0.0
8366d0fffffffff,188.0,0.0,29.0
8366d2fffffffff,114.0,0.0,15.0
8366d3fffffffff,1966.0,0.0,245.0
8366d4fffffffff,3.0,0.0,0.0
8366d5fffffffff,16.0,0.0,0.0
8366e4fffffffff,11.0,0.0,0.0
8366e6fffffffff,5.0,0.0,0.0
8366f0fffffffff,156.0,7.0,0.0
8366f1fffffffff,15.0,0.0,0.0
8366f3fffffffff,18.0,0.0,0.0
83678bfffffffff,8.0,0.0,0.0
836790fffffffff,11.0,0.0,0.0
836791fffffffff,3.0,0.0,0.0
836792fffffffff,31.0,0.0,0.0
836793fffffffff,28.0,0.0,0.0
836794fffffffff,30.0,0.0,0.0
836796fffffffff,268.0,0.0,0.0
83679afffffffff,4198.0,0.0,0.0
83679bfffffffff,1670.0,12.0,0.0
8367b2fffffffff,11.0,0.0,0.0
836d04fffffffff,31.0,7.0,0.0
836d05fffffffff,357.0,176.0,0.0
836d20fffffffff,71.0,0.0,0.0
836d21fffffffff,298.0,56.0,0.0
836d22fffffffff,64.0,4.0,0.0
836d23fffffffff,496.0,126.0,0.0
836d24fffffffff,4.0,0.0,0.0
836d25fffffffff,2.0,0.0,0.0
836d28fffffffff,4.0,0.0,0.0
836d29fffffffff,93.0,0.0,0.0
836d2afffffffff,30.0,0.0,0.0
836d2bfffffffff,675.0,0.0,0.0
836d2cfffffffff,472.0,118.0,0.0
836d2dfffffffff,371.0,130.0,0.0
836d2efffffffff,9.0,0.0,0.0
836d30fffffffff,361.0,51.0,0.0
836d31fffffffff,202.0,71.0,0.0
836d34fffffffff,40.0,14.0,0.0
836d35fffffffff,182.0,23.0,0.0
836d36fffffffff,13.0,0.0,0.0
836d60fffffffff,210.0,0.0,0.0
836d61fffffffff,505.0,0.0,0.0
836d63fffffffff,16.0,0.0,0.0
836d64fffffffff,6.0,0.0,0.0
836d65fffffffff,1214.0,0.0,0.0
836d66fffffffff,6.0,0.0,0.0
836d68fffffffff,3410.0,0.0,0.0
836d69fffffffff,17276.0,0.0,0.0
836d6afffffffff,30.0,0.0,0.0
836d6bfffffffff,1356.0,0.0,0.0
836d6cfffffffff,38.0,0.0,0.0
836d6dfffffffff,1940.0,0.0,0.0
836d6efffffffff,373.0,0.0,0.0
836d74fffffffff,165.0,0.0,0.0
836d75fffffffff,8.0,0.0,0.0
838f08fffffffff,2.0,0.0,0.0
838f0dfffffffff,618.0,0.0,79.0
838f28fffffffff,11.0,0.0,2.0
838f29fffffffff,106.0,0.0,2.0
838f2afffffffff,226.0,0.0,34.0
838f2bfffffffff,192.0,0.0,21.0
838f2cfffffffff,288.0,0.0,9.0
838f2efffffffff,11.0,0.0,6.0
838f76fffffffff,3.0,0.0,0.0
