cell_id,Myiopagis olallai,Myiopagis olallai coopmansi,Myiopagis olallai incognita,Myiopagis olallai olallai
8366dafffffffff,11.0,0.0,0.0,1.0
8366defffffffff,250.0,0.0,0.0,23.0
838f70fffffffff,4.0,0.0,0.0,0.0
838f72fffffffff,210.0,0.0,0.0,15.0
838f74fffffffff,3.0,0.0,0.0,0.0
