cell_id,Poecile gambeli,Poecile gambeli [gambeli Group],Poecile gambeli [baileyae Group]
831283fffffffff,1.0,0.0,0.0
831289fffffffff,3.0,0.0,0.0
83128efffffffff,19.0,0.0,0.0
8312adfffffffff,10.0,0.0,0.0
8312c1fffffffff,19.0,0.0,0.0
8312c9fffffffff,3.0,0.0,0.0
8312cafffffffff,5.0,3.0,0.0
8312cbfffffffff,7.0,7.0,0.0
8312ccfffffffff,21.0,0.0,0.0
8312d3fffffffff,2.0,0.0,0.0
8312d8fffffffff,2.0,0.0,0.0
8312ddfffffffff,7.0,0.0,0.0
8312defffffffff,2.0,0.0,0.0
8312e1fffffffff,23.0,5.0,0.0
8312eafffffffff,3.0,0.0,0.0
831382fffffffff,135.0,0.0,0.0
831383fffffffff,70.0,0.0,0.0
831386fffffffff,199.0,0.0,0.0
83139cfffffffff,23.0,0.0,0.0
8313b2fffffffff,2.0,0.0,0.0
832612fffffffff,2.0,2.0,0.0
83261efffffffff,12.0,0.0,0.0
832680fffffffff,27.0,13.0,0.0
832681fffffffff,240.0,2.0,0.0
832682fffffffff,1.0,0.0,0.0
832683fffffffff,4.0,0.0,0.0
832685fffffffff,12.0,0.0,0.0
832688fffffffff,21.0,2.0,0.0
832689fffffffff,32.0,4.0,0.0
83268afffffffff,8.0,0.0,0.0
83268bfffffffff,3.0,1.0,0.0
83268cfffffffff,103.0,6.0,0.0
83268dfffffffff,21.0,3.0,0.0
83268efffffffff,18.0,6.0,0.0
832690fffffffff,2.0,0.0,0.0
832694fffffffff,4.0,0.0,0.0
832696fffffffff,379.0,0.0,0.0
832698fffffffff,16.0,2.0,0.0
832699fffffffff,3.0,0.0,0.0
83269afffffffff,1.0,0.0,0.0
83269bfffffffff,3.0,0.0,0.0
83269cfffffffff,16.0,9.0,0.0
83269dfffffffff,12.0,0.0,0.0
8326a1fffffffff,2.0,0.0,0.0
8326a8fffffffff,8.0,0.0,0.0
8326aafffffffff,71.0,0.0,0.0
8326abfffffffff,10.0,0.0,0.0
8326acfffffffff,17.0,0.0,0.0
8326aefffffffff,17.0,0.0,0.0
8326b6fffffffff,1.0,1.0,0.0
8326d0fffffffff,2.0,0.0,0.0
8326d2fffffffff,2.0,0.0,0.0
8326d3fffffffff,7.0,0.0,0.0
8326d4fffffffff,21.0,2.0,0.0
8326d6fffffffff,26.0,0.0,0.0
8326f0fffffffff,6.0,0.0,0.0
8326f2fffffffff,19.0,4.0,0.0
8326f3fffffffff,4.0,0.0,0.0
8326f4fffffffff,17.0,0.0,0.0
8326f6fffffffff,6.0,0.0,0.0
83278bfffffffff,4.0,0.0,0.0
832795fffffffff,19.0,2.0,0.0
832796fffffffff,5.0,0.0,0.0
832799fffffffff,3.0,3.0,0.0
83279afffffffff,3.0,3.0,0.0
83279bfffffffff,4.0,4.0,0.0
832802fffffffff,6.0,0.0,0.0
832806fffffffff,2.0,0.0,0.0
832810fffffffff,107.0,0.0,5.0
832811fffffffff,6.0,0.0,4.0
832812fffffffff,1.0,0.0,1.0
832814fffffffff,210.0,0.0,191.0
832815fffffffff,37.0,0.0,2.0
832818fffffffff,2.0,0.0,0.0
83281afffffffff,181.0,0.0,0.0
83281bfffffffff,21.0,0.0,0.0
83281cfffffffff,14.0,0.0,0.0
83281efffffffff,36.0,0.0,1.0
832830fffffffff,1.0,0.0,0.0
832832fffffffff,338.0,0.0,327.0
832833fffffffff,2.0,0.0,0.0
832834fffffffff,1.0,0.0,0.0
832880fffffffff,12.0,0.0,0.0
832884fffffffff,78.0,0.0,0.0
832886fffffffff,17.0,0.0,0.0
832888fffffffff,3.0,0.0,0.0
83288afffffffff,4.0,0.0,0.0
83288cfffffffff,1.0,0.0,0.0
83288dfffffffff,8.0,0.0,0.0
83288efffffffff,1.0,0.0,0.0
832890fffffffff,5.0,1.0,0.0
832891fffffffff,2.0,0.0,0.0
832892fffffffff,31.0,21.0,0.0
832896fffffffff,3.0,0.0,0.0
832898fffffffff,3.0,0.0,0.0
83289afffffffff,2.0,2.0,0.0
83289bfffffffff,8.0,6.0,0.0
83289cfffffffff,1.0,1.0,0.0
83289efffffffff,2.0,0.0,0.0
8328a3fffffffff,2.0,0.0,0.0
8328a9fffffffff,69.0,0.0,2.0
8328adfffffffff,1.0,0.0,0.0
8328b0fffffffff,3.0,0.0,0.0
8328b5fffffffff,21.0,3.0,0.0
8328c6fffffffff,2.0,0.0,0.0
8328d0fffffffff,10.0,0.0,0.0
8328d1fffffffff,8.0,0.0,0.0
8328d2fffffffff,82.0,0.0,0.0
8328d3fffffffff,64.0,0.0,1.0
8328d4fffffffff,29.0,0.0,0.0
8328d5fffffffff,12.0,0.0,0.0
8328d8fffffffff,2.0,0.0,0.0
8328d9fffffffff,5.0,0.0,0.0
8328defffffffff,25.0,0.0,0.0
8328f0fffffffff,70.0,0.0,0.0
8328f2fffffffff,3.0,0.0,0.0
8328f3fffffffff,2.0,0.0,0.0
8328f4fffffffff,13.0,0.0,0.0
8328f5fffffffff,17.0,0.0,0.0
8328f6fffffffff,5.0,0.0,0.0
832912fffffffff,2.0,0.0,0.0
83291afffffffff,7.0,0.0,0.0
832989fffffffff,928.0,0.0,922.0
83298cfffffffff,5.0,0.0,1.0
83298dfffffffff,15.0,0.0,13.0
832990fffffffff,13.0,4.0,0.0
832993fffffffff,1.0,0.0,0.0
832994fffffffff,1.0,1.0,0.0
83299bfffffffff,1.0,1.0,0.0
8329a0fffffffff,75.0,0.0,0.0
8329a1fffffffff,35.0,0.0,2.0
8329a2fffffffff,3.0,0.0,0.0
8329a3fffffffff,4.0,0.0,0.0
8329a4fffffffff,250.0,0.0,0.0
8329a5fffffffff,46.0,0.0,0.0
8329a6fffffffff,10.0,0.0,0.0
8329aafffffffff,4.0,0.0,4.0
8329abfffffffff,7.0,0.0,7.0
8329acfffffffff,10.0,0.0,0.0
8329aefffffffff,5.0,0.0,4.0
8329b0fffffffff,4.0,0.0,0.0
8329b2fffffffff,2.0,2.0,0.0
8329b5fffffffff,2.0,0.0,0.0
8329b6fffffffff,48.0,0.0,0.0
834859fffffffff,19.0,0.0,0.0
83485bfffffffff,3.0,0.0,0.0
83485dfffffffff,69.0,0.0,0.0
8348abfffffffff,2.0,0.0,0.0
8348c0fffffffff,3.0,0.0,0.0
8348c1fffffffff,2.0,0.0,0.0
