cell_id,Myrmecocichla arnotti,Myrmecocichla arnotti harterti,Myrmecocichla arnotti arnotti,Myrmecocichla arnotti collaris
826adffffffffff,229.0,0.0,0.0,192.0
827b4ffffffffff,1.0,0.0,0.0,0.0
829607fffffffff,36.0,0.0,0.0,0.0
82960ffffffffff,18.0,0.0,0.0,0.0
829617fffffffff,5.0,0.0,0.0,0.0
82961ffffffffff,1.0,0.0,0.0,0.0
829627fffffffff,93.0,0.0,0.0,0.0
82962ffffffffff,109.0,0.0,2.0,0.0
829637fffffffff,7.0,0.0,0.0,0.0
829677fffffffff,7.0,0.0,0.0,0.0
829687fffffffff,1.0,0.0,0.0,1.0
82968ffffffffff,3.0,0.0,0.0,0.0
8296a7fffffffff,15.0,0.0,0.0,0.0
8296affffffffff,4.0,0.0,0.0,1.0
8296b7fffffffff,55.0,0.0,0.0,16.0
829707fffffffff,7.0,0.0,0.0,0.0
829717fffffffff,10.0,0.0,0.0,0.0
82971ffffffffff,1.0,0.0,0.0,0.0
82972ffffffffff,56.0,0.0,10.0,0.0
829747fffffffff,85.0,0.0,6.0,0.0
82974ffffffffff,18.0,0.0,2.0,0.0
829757fffffffff,69.0,0.0,7.0,0.0
82975ffffffffff,73.0,0.0,0.0,0.0
829787fffffffff,2.0,0.0,0.0,0.0
82978ffffffffff,5.0,0.0,0.0,0.0
82979ffffffffff,2.0,0.0,0.0,0.0
8297affffffffff,40.0,0.0,0.0,0.0
82ac97fffffffff,4.0,0.0,0.0,0.0
