cell_id,Aegithalos caudatus,Aegithalos caudatus caudatus,Aegithalos caudatus [europaeus Group],Aegithalos caudatus [alpinus Group]
830886fffffffff,4.0,4.0,0.0,0.0
8308b3fffffffff,1.0,1.0,0.0,0.0
831181fffffffff,15.0,15.0,0.0,0.0
83118cfffffffff,2.0,2.0,0.0,0.0
83118efffffffff,8.0,8.0,0.0,0.0
8311aafffffffff,2.0,2.0,0.0,0.0
8311abfffffffff,10.0,10.0,0.0,0.0
8311aefffffffff,30.0,30.0,0.0,0.0
831588fffffffff,6.0,0.0,0.0,0.0
83182cfffffffff,2.0,0.0,0.0,0.0
83182efffffffff,4.0,0.0,4.0,0.0
831849fffffffff,5.0,0.0,0.0,0.0
83184bfffffffff,15.0,0.0,4.0,0.0
831859fffffffff,2.0,0.0,0.0,0.0
83185bfffffffff,20.0,0.0,6.0,0.0
831870fffffffff,1.0,0.0,0.0,0.0
831876fffffffff,2.0,0.0,0.0,0.0
831942fffffffff,18.0,0.0,4.0,0.0
831943fffffffff,2.0,0.0,2.0,0.0
83194cfffffffff,1.0,1.0,0.0,0.0
83194dfffffffff,7.0,1.0,6.0,0.0
83194efffffffff,1.0,0.0,0.0,0.0
831959fffffffff,2.0,0.0,0.0,0.0
83195cfffffffff,4.0,0.0,0.0,0.0
83196dfffffffff,2.0,2.0,0.0,0.0
831e03fffffffff,3.0,0.0,3.0,0.0
831e04fffffffff,4.0,0.0,0.0,0.0
831e05fffffffff,2.0,0.0,0.0,0.0
831e06fffffffff,2.0,2.0,0.0,0.0
831e08fffffffff,2.0,0.0,0.0,0.0
831e0afffffffff,1.0,0.0,0.0,0.0
831e0bfffffffff,5.0,1.0,4.0,0.0
831e13fffffffff,2.0,0.0,2.0,0.0
831e1bfffffffff,4.0,0.0,2.0,0.0
831e25fffffffff,1.0,0.0,1.0,0.0
831e26fffffffff,1.0,0.0,1.0,0.0
831e2efffffffff,1.0,0.0,1.0,0.0
831e31fffffffff,3.0,0.0,0.0,0.0
831e33fffffffff,3.0,0.0,0.0,0.0
831e35fffffffff,8.0,0.0,0.0,0.0
831e36fffffffff,1.0,1.0,0.0,0.0
831e52fffffffff,3.0,0.0,3.0,0.0
831e58fffffffff,2.0,0.0,2.0,0.0
831e5afffffffff,3.0,0.0,3.0,0.0
831e5efffffffff,3.0,0.0,3.0,0.0
831e6bfffffffff,1.0,0.0,0.0,0.0
831e80fffffffff,3.0,0.0,0.0,3.0
831ea0fffffffff,5.0,0.0,0.0,0.0
831ea4fffffffff,1.0,0.0,1.0,0.0
831ec0fffffffff,3.0,0.0,0.0,0.0
831ec1fffffffff,2.0,0.0,0.0,0.0
831eeafffffffff,2.0,0.0,0.0,0.0
831eebfffffffff,1.0,0.0,0.0,0.0
831eecfffffffff,1.0,1.0,0.0,0.0
831f05fffffffff,2.0,0.0,2.0,0.0
831f13fffffffff,4.0,4.0,0.0,0.0
831f14fffffffff,1.0,1.0,0.0,0.0
831f23fffffffff,2.0,0.0,0.0,0.0
831f2afffffffff,1.0,1.0,0.0,0.0
831f52fffffffff,3.0,3.0,0.0,0.0
831f71fffffffff,5.0,0.0,0.0,0.0
831f89fffffffff,2.0,2.0,0.0,0.0
831f8cfffffffff,2.0,2.0,0.0,0.0
831f8dfffffffff,2.0,2.0,0.0,0.0
831f8efffffffff,4.0,4.0,0.0,0.0
831fa1fffffffff,2.0,2.0,0.0,0.0
831fa4fffffffff,4.0,2.0,2.0,0.0
831fa9fffffffff,1.0,1.0,0.0,0.0
831faafffffffff,3.0,3.0,0.0,0.0
831faefffffffff,3.0,1.0,0.0,0.0
83255afffffffff,1.0,0.0,0.0,0.0
832c09fffffffff,2.0,0.0,0.0,2.0
832c19fffffffff,1.0,0.0,0.0,1.0
832c2afffffffff,1.0,0.0,0.0,1.0
832e1bfffffffff,2.0,0.0,0.0,0.0
832f5afffffffff,3.0,0.0,0.0,0.0
832f5bfffffffff,6.0,0.0,0.0,0.0
833019fffffffff,4.0,4.0,0.0,0.0
8330e0fffffffff,1.0,1.0,0.0,0.0
8330e1fffffffff,4.0,4.0,0.0,0.0
833126fffffffff,2.0,0.0,0.0,0.0
83316cfffffffff,2.0,0.0,2.0,0.0
83316efffffffff,2.0,0.0,0.0,0.0
833185fffffffff,5.0,0.0,0.0,0.0
83318cfffffffff,1.0,0.0,0.0,0.0
83318dfffffffff,1.0,0.0,0.0,0.0
8331aafffffffff,19.0,2.0,0.0,0.0
833900fffffffff,25.0,0.0,6.0,0.0
833901fffffffff,33.0,0.0,18.0,0.0
833902fffffffff,3.0,0.0,0.0,0.0
833903fffffffff,10.0,0.0,5.0,0.0
833904fffffffff,6.0,0.0,0.0,0.0
833905fffffffff,2.0,0.0,0.0,0.0
833906fffffffff,4.0,0.0,0.0,0.0
833909fffffffff,1.0,0.0,0.0,0.0
83390afffffffff,3.0,0.0,0.0,1.0
83390bfffffffff,2.0,0.0,0.0,0.0
83390cfffffffff,3.0,0.0,3.0,0.0
83390dfffffffff,1.0,0.0,0.0,0.0
833910fffffffff,1.0,0.0,0.0,0.0
833911fffffffff,9.0,0.0,0.0,0.0
833915fffffffff,4.0,0.0,2.0,0.0
833918fffffffff,3.0,0.0,0.0,1.0
83391dfffffffff,3.0,0.0,0.0,0.0
833920fffffffff,4.0,0.0,4.0,0.0
833921fffffffff,6.0,0.0,0.0,0.0
833922fffffffff,16.0,0.0,3.0,0.0
833923fffffffff,3.0,0.0,0.0,0.0
833924fffffffff,2.0,0.0,0.0,0.0
833925fffffffff,2.0,0.0,0.0,0.0
833928fffffffff,3.0,0.0,0.0,0.0
833929fffffffff,2.0,0.0,0.0,0.0
83392afffffffff,5.0,0.0,2.0,0.0
83392cfffffffff,13.0,0.0,0.0,0.0
83392dfffffffff,2.0,0.0,0.0,0.0
83392efffffffff,3.0,0.0,0.0,0.0
833931fffffffff,2.0,0.0,0.0,0.0
833933fffffffff,9.0,0.0,6.0,0.0
833942fffffffff,11.0,0.0,0.0,0.0
833972fffffffff,46.0,0.0,0.0,0.0
833973fffffffff,16.0,0.0,0.0,0.0
833976fffffffff,2.0,0.0,0.0,0.0
833f6efffffffff,2.0,0.0,0.0,0.0
83411cfffffffff,2.0,0.0,0.0,0.0
