cell_id,Myrmotherula axillaris,Myrmotherula axillaris [axillaris Group],Myrmotherula axillaris luctuosa
834530fffffffff,8.0,0.0,0.0
834532fffffffff,22.0,0.0,0.0
834536fffffffff,44.0,0.0,0.0
835f00fffffffff,16.0,0.0,0.0
835f01fffffffff,15.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0
835f03fffffffff,109.0,2.0,0.0
835f06fffffffff,2.0,0.0,0.0
835f08fffffffff,2.0,0.0,0.0
835f09fffffffff,5.0,0.0,0.0
835f0dfffffffff,7.0,0.0,0.0
835f10fffffffff,23.0,0.0,0.0
835f11fffffffff,2.0,0.0,0.0
835f12fffffffff,26.0,0.0,0.0
835f13fffffffff,5.0,0.0,0.0
835f14fffffffff,31.0,0.0,0.0
835f15fffffffff,1.0,0.0,0.0
835f16fffffffff,3.0,0.0,0.0
835f1cfffffffff,29.0,0.0,0.0
835f29fffffffff,59.0,0.0,0.0
835f2bfffffffff,365.0,0.0,0.0
835f2dfffffffff,7.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f40fffffffff,2.0,0.0,0.0
835f42fffffffff,3.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f4afffffffff,9.0,0.0,0.0
835f50fffffffff,31.0,0.0,0.0
835f54fffffffff,53.0,0.0,0.0
835f58fffffffff,584.0,0.0,0.0
835f59fffffffff,18.0,0.0,0.0
835f5bfffffffff,68.0,0.0,0.0
835f5dfffffffff,4.0,0.0,0.0
835f68fffffffff,27.0,0.0,0.0
835f71fffffffff,26.0,0.0,0.0
835f76fffffffff,10.0,0.0,0.0
836602fffffffff,4.0,0.0,0.0
836606fffffffff,15.0,0.0,0.0
836608fffffffff,62.0,0.0,0.0
836609fffffffff,6.0,0.0,0.0
83660afffffffff,41.0,0.0,0.0
83660cfffffffff,13.0,0.0,0.0
83660dfffffffff,17.0,0.0,0.0
836610fffffffff,418.0,34.0,0.0
836611fffffffff,55.0,0.0,0.0
836612fffffffff,11.0,0.0,0.0
836613fffffffff,402.0,54.0,0.0
836616fffffffff,399.0,38.0,0.0
836618fffffffff,1.0,0.0,0.0
836619fffffffff,181.0,2.0,0.0
83661afffffffff,106.0,0.0,0.0
83661bfffffffff,6.0,0.0,0.0
83661cfffffffff,141.0,0.0,0.0
83661dfffffffff,23.0,0.0,0.0
83661efffffffff,17.0,0.0,0.0
836620fffffffff,1.0,0.0,0.0
836621fffffffff,1.0,0.0,0.0
836622fffffffff,4.0,0.0,0.0
836629fffffffff,7.0,0.0,0.0
83662dfffffffff,2.0,0.0,0.0
83662efffffffff,3.0,0.0,0.0
836631fffffffff,9.0,0.0,0.0
836640fffffffff,2.0,0.0,0.0
836641fffffffff,398.0,20.0,0.0
836643fffffffff,3.0,0.0,0.0
836644fffffffff,9.0,0.0,0.0
836645fffffffff,7.0,0.0,0.0
836648fffffffff,1.0,0.0,0.0
83664efffffffff,2.0,0.0,0.0
836650fffffffff,2.0,0.0,0.0
836652fffffffff,7.0,0.0,0.0
836653fffffffff,8.0,0.0,0.0
836654fffffffff,3.0,0.0,0.0
836656fffffffff,18.0,0.0,0.0
83665afffffffff,177.0,2.0,0.0
83665bfffffffff,127.0,2.0,0.0
83665efffffffff,6.0,0.0,0.0
836663fffffffff,26.0,0.0,0.0
83666afffffffff,6.0,0.0,0.0
83666bfffffffff,8.0,0.0,0.0
83666cfffffffff,2.0,0.0,0.0
83666efffffffff,26.0,0.0,0.0
836670fffffffff,4.0,0.0,0.0
836672fffffffff,8.0,0.0,0.0
836675fffffffff,1.0,0.0,0.0
8366a0fffffffff,481.0,19.0,0.0
8366a5fffffffff,3155.0,282.0,0.0
8366a6fffffffff,353.0,6.0,0.0
8366adfffffffff,1.0,0.0,0.0
8366b4fffffffff,20.0,0.0,0.0
8366b5fffffffff,7.0,0.0,0.0
8366c0fffffffff,30.0,0.0,0.0
8366c1fffffffff,8.0,0.0,0.0
8366c2fffffffff,102.0,0.0,0.0
8366c3fffffffff,3.0,0.0,0.0
8366c5fffffffff,35.0,0.0,0.0
8366c9fffffffff,6.0,0.0,0.0
8366cdfffffffff,5.0,0.0,0.0
8366cefffffffff,71.0,0.0,0.0
8366d0fffffffff,182.0,18.0,0.0
8366d1fffffffff,106.0,0.0,0.0
8366d2fffffffff,134.0,5.0,0.0
8366d3fffffffff,415.0,46.0,0.0
8366d5fffffffff,29.0,0.0,0.0
8366d6fffffffff,2.0,0.0,0.0
8366d8fffffffff,88.0,8.0,0.0
8366dafffffffff,1.0,0.0,0.0
8366dbfffffffff,12.0,2.0,0.0
8366dcfffffffff,435.0,61.0,0.0
8366ddfffffffff,47.0,12.0,0.0
8366defffffffff,71.0,7.0,0.0
8366e0fffffffff,17.0,0.0,0.0
8366e1fffffffff,40.0,0.0,0.0
8366e3fffffffff,59.0,0.0,0.0
8366e4fffffffff,10.0,0.0,0.0
8366e5fffffffff,40.0,0.0,0.0
8366e6fffffffff,5.0,0.0,0.0
8366e8fffffffff,8.0,0.0,0.0
8366e9fffffffff,6.0,0.0,0.0
8366eafffffffff,32.0,0.0,0.0
8366ecfffffffff,460.0,0.0,0.0
8366eefffffffff,190.0,2.0,0.0
8366f0fffffffff,334.0,17.0,0.0
8366f3fffffffff,25.0,0.0,0.0
8366f5fffffffff,4.0,0.0,0.0
836793fffffffff,2.0,0.0,0.0
836794fffffffff,2.0,0.0,0.0
