cell_id,Phibalura flavirostris,Phibalura flavirostris boliviana,Phibalura flavirostris flavirostris
848b74bffffffff,46.0,36.0,0.0
848b75dffffffff,1.0,1.0,0.0
84a8057ffffffff,2.0,0.0,0.0
84a8065ffffffff,8.0,0.0,0.0
84a8067ffffffff,92.0,0.0,28.0
84a8107ffffffff,1.0,0.0,0.0
84a810bffffffff,3.0,0.0,0.0
84a810dffffffff,2.0,0.0,0.0
84a8123ffffffff,12.0,0.0,0.0
84a8125ffffffff,44.0,0.0,1.0
84a8127ffffffff,55.0,0.0,12.0
84a8129ffffffff,2.0,0.0,0.0
84a812dffffffff,2.0,0.0,0.0
84a813bffffffff,1.0,0.0,1.0
84a815bffffffff,54.0,0.0,4.0
84a8225ffffffff,2.0,0.0,0.0
84a8267ffffffff,1.0,0.0,0.0
84a835bffffffff,1.0,0.0,0.0
84a8805ffffffff,1.0,0.0,0.0
84a8811ffffffff,65.0,0.0,2.0
84a8819ffffffff,5.0,0.0,0.0
84a881bffffffff,9.0,0.0,0.0
84a882dffffffff,50.0,0.0,2.0
84a8849ffffffff,69.0,0.0,0.0
84a884dffffffff,4.0,0.0,0.0
84a8867ffffffff,1.0,0.0,0.0
84a88cdffffffff,1.0,0.0,0.0
84a8953ffffffff,1.0,0.0,0.0
84a8a11ffffffff,10.0,0.0,0.0
84a8a13ffffffff,122.0,0.0,8.0
84a8a17ffffffff,1.0,0.0,0.0
84a8a19ffffffff,18.0,0.0,1.0
84a8a23ffffffff,89.0,0.0,14.0
84a8a27ffffffff,29.0,0.0,1.0
84a8a35ffffffff,4.0,0.0,0.0
84a8a3dffffffff,4.0,0.0,0.0
84a8a53ffffffff,2.0,0.0,0.0
84a8aa7ffffffff,1.0,0.0,0.0
84a8ac9ffffffff,10.0,0.0,1.0
84a8acdffffffff,11.0,0.0,0.0
84a8ae9ffffffff,5.0,0.0,0.0
84a90a7ffffffff,2.0,0.0,0.0
84a90e5ffffffff,24.0,0.0,2.0
