cell_id,Agelaius phoeniceus,Agelaius phoeniceus [phoeniceus Group],Agelaius phoeniceus californicus/mailliardorum,Agelaius phoeniceus gubernator
822b2ffffffffff,2.0,0.0,0.0,0.0
822b37fffffffff,28.0,0.0,0.0,0.0
822b87fffffffff,382.0,13.0,0.0,0.0
822b8ffffffffff,1790.0,316.0,0.0,0.0
822b97fffffffff,35.0,0.0,0.0,0.0
822b9ffffffffff,1720.0,108.0,0.0,0.0
822ba7fffffffff,165.0,0.0,0.0,0.0
822baffffffffff,926.0,389.0,0.0,0.0
822bb7fffffffff,49.0,4.0,0.0,0.0
824417fffffffff,9.0,0.0,0.0,0.0
82441ffffffffff,51.0,23.0,0.0,0.0
824447fffffffff,87.0,0.0,0.0,0.0
82444ffffffffff,42.0,0.0,0.0,0.0
824457fffffffff,34.0,0.0,0.0,0.0
82445ffffffffff,3.0,0.0,0.0,0.0
82446ffffffffff,47.0,8.0,0.0,0.0
824487fffffffff,24.0,16.0,0.0,0.0
8244a7fffffffff,19.0,3.0,0.0,0.0
8244affffffffff,49.0,28.0,0.0,0.0
8244b7fffffffff,5.0,0.0,0.0,0.0
8244c7fffffffff,167.0,4.0,0.0,0.0
8244cffffffffff,62.0,10.0,0.0,0.0
8244d7fffffffff,28.0,2.0,0.0,0.0
8244dffffffffff,67.0,4.0,0.0,0.0
8244e7fffffffff,84.0,13.0,0.0,0.0
8244effffffffff,1.0,0.0,0.0,0.0
8244f7fffffffff,128.0,10.0,0.0,0.0
824507fffffffff,15.0,0.0,0.0,0.0
82450ffffffffff,10.0,0.0,0.0,0.0
82451ffffffffff,1.0,1.0,0.0,0.0
824527fffffffff,70.0,0.0,0.0,0.0
82452ffffffffff,122.0,14.0,0.0,0.0
824577fffffffff,6.0,6.0,0.0,0.0
824807fffffffff,3.0,0.0,0.0,0.0
82480ffffffffff,24.0,0.0,0.0,0.0
824827fffffffff,10.0,0.0,0.0,0.0
82482ffffffffff,293.0,0.0,0.0,0.0
824837fffffffff,12.0,0.0,0.0,0.0
824847fffffffff,109.0,3.0,0.0,0.0
824857fffffffff,21.0,0.0,0.0,0.0
82485ffffffffff,89.0,4.0,0.0,0.0
824877fffffffff,3.0,0.0,0.0,0.0
824887fffffffff,2.0,0.0,0.0,0.0
824897fffffffff,63.0,0.0,0.0,0.0
82489ffffffffff,14.0,2.0,0.0,0.0
8248a7fffffffff,20.0,0.0,0.0,0.0
8248affffffffff,2.0,0.0,0.0,0.0
8248b7fffffffff,51.0,6.0,0.0,0.0
8248c7fffffffff,34.0,4.0,0.0,0.0
8248cffffffffff,16.0,3.0,0.0,0.0
8248d7fffffffff,8.0,0.0,0.0,0.0
8248dffffffffff,27.0,4.0,0.0,0.0
8248effffffffff,275.0,27.0,0.0,0.0
8248f7fffffffff,11.0,2.0,0.0,0.0
824987fffffffff,8.0,0.0,0.0,1.0
824997fffffffff,54.0,2.0,0.0,9.0
8249b7fffffffff,3.0,0.0,0.0,0.0
8266b7fffffffff,42.0,2.0,0.0,0.0
82679ffffffffff,72.0,0.0,0.0,0.0
826d27fffffffff,16.0,6.0,0.0,0.0
826d2ffffffffff,35.0,0.0,0.0,0.0
826d37fffffffff,22.0,2.0,0.0,0.0
826d67fffffffff,257.0,0.0,0.0,0.0
826d6ffffffffff,39.0,21.0,0.0,0.0
826d77fffffffff,13.0,0.0,0.0,0.0
