cell_id,Megascops cooperi,Megascops cooperi lambi,Megascops cooperi cooperi
8445249ffffffff,10.0,0.0,0.0
844524bffffffff,2.0,0.0,0.0
8466b69ffffffff,5.0,0.0,0.0
8467925ffffffff,1.0,0.0,0.0
846d043ffffffff,24.0,0.0,3.0
846d049ffffffff,1.0,0.0,0.0
846d04bffffffff,24.0,0.0,0.0
846d04dffffffff,4.0,0.0,0.0
846d051ffffffff,3.0,0.0,0.0
846d053ffffffff,61.0,0.0,11.0
846d05bffffffff,10.0,0.0,2.0
846d06dffffffff,2.0,0.0,0.0
846d159ffffffff,267.0,23.0,0.0
846d2a1ffffffff,11.0,0.0,0.0
846d2a3ffffffff,35.0,0.0,0.0
846d2adffffffff,3.0,0.0,0.0
846d2bbffffffff,1.0,0.0,0.0
846d2bdffffffff,1.0,0.0,0.0
846d313ffffffff,18.0,0.0,0.0
846d317ffffffff,7.0,0.0,0.0
846d333ffffffff,2.0,0.0,0.0
846d601ffffffff,2.0,0.0,0.0
846d605ffffffff,18.0,0.0,0.0
846d607ffffffff,2.0,0.0,0.0
846d609ffffffff,3.0,0.0,0.0
846d60dffffffff,13.0,0.0,0.0
846d611ffffffff,2.0,0.0,0.0
846d613ffffffff,72.0,0.0,0.0
846d615ffffffff,3.0,0.0,0.0
846d617ffffffff,204.0,0.0,0.0
846d639ffffffff,1.0,0.0,0.0
846d63bffffffff,3.0,0.0,0.0
846d651ffffffff,1.0,0.0,0.0
846d663ffffffff,2.0,0.0,0.0
846d665ffffffff,3.0,0.0,0.0
846d667ffffffff,2.0,0.0,0.0
846d681ffffffff,144.0,0.0,0.0
846d683ffffffff,306.0,0.0,0.0
846d685ffffffff,67.0,0.0,0.0
846d687ffffffff,123.0,0.0,0.0
846d689ffffffff,11.0,0.0,0.0
846d68bffffffff,1140.0,0.0,0.0
846d68dffffffff,80.0,0.0,0.0
846d691ffffffff,23.0,0.0,0.0
846d693ffffffff,61.0,0.0,0.0
846d695ffffffff,509.0,0.0,0.0
846d697ffffffff,484.0,0.0,0.0
846d69dffffffff,99.0,0.0,0.0
846d6abffffffff,32.0,0.0,0.0
846d6b1ffffffff,4.0,0.0,0.0
846d6b3ffffffff,1.0,0.0,0.0
846d6b9ffffffff,44.0,0.0,0.0
846d6bbffffffff,250.0,0.0,0.0
846d6bdffffffff,21.0,0.0,0.0
846d6c5ffffffff,2.0,0.0,0.0
846d6c7ffffffff,16.0,0.0,0.0
846d6c9ffffffff,2.0,0.0,0.0
846d6d5ffffffff,181.0,0.0,0.0
846d6d7ffffffff,3.0,0.0,0.0
846d6e1ffffffff,1.0,0.0,0.0
846d6e9ffffffff,227.0,0.0,0.0
846d6ebffffffff,30.0,0.0,0.0
846d6edffffffff,15.0,0.0,0.0
846d741ffffffff,6.0,0.0,0.0
846d743ffffffff,1.0,0.0,0.0
846d745ffffffff,7.0,0.0,0.0
846d747ffffffff,6.0,0.0,0.0
846d749ffffffff,5.0,0.0,0.0
846d74bffffffff,17.0,0.0,0.0
846d751ffffffff,4.0,0.0,0.0
846d75bffffffff,13.0,0.0,0.0
846d75dffffffff,4.0,0.0,0.0
846d769ffffffff,1.0,0.0,0.0
846d76dffffffff,3.0,0.0,0.0
