cell_id,Anthracothorax nigricollis,Anthracothorax nigricollis nigricollis,Anthracothorax nigricollis iridescens
845f00dffffffff,6.0,0.0,0.0
845f02bffffffff,2.0,0.0,0.0
845f031ffffffff,1.0,0.0,0.0
845f03dffffffff,42.0,0.0,0.0
845f083ffffffff,25.0,0.0,0.0
845f08bffffffff,2.0,0.0,0.0
845f095ffffffff,58.0,0.0,0.0
845f0d7ffffffff,2.0,0.0,0.0
845f0e1ffffffff,1.0,0.0,0.0
845f105ffffffff,2.0,0.0,0.0
845f107ffffffff,1.0,0.0,0.0
845f12bffffffff,4.0,0.0,0.0
845f13dffffffff,2.0,0.0,0.0
845f143ffffffff,9.0,0.0,0.0
845f161ffffffff,1.0,0.0,0.0
845f1c3ffffffff,33.0,0.0,0.0
845f1cbffffffff,30.0,0.0,0.0
845f1e9ffffffff,4.0,0.0,0.0
845f1edffffffff,2.0,0.0,0.0
845f223ffffffff,1.0,0.0,0.0
845f291ffffffff,6.0,0.0,0.0
845f295ffffffff,26.0,0.0,0.0
845f299ffffffff,16.0,0.0,0.0
845f29dffffffff,19.0,0.0,0.0
845f2b1ffffffff,2.0,0.0,0.0
845f2b3ffffffff,31.0,0.0,0.0
845f2bbffffffff,36.0,0.0,0.0
845f2d1ffffffff,6.0,0.0,0.0
845f2d3ffffffff,3.0,0.0,0.0
845f2d5ffffffff,1.0,0.0,0.0
845f2d7ffffffff,6.0,0.0,0.0
845f407ffffffff,9.0,0.0,0.0
845f40dffffffff,1.0,0.0,0.0
845f415ffffffff,1.0,0.0,0.0
845f42bffffffff,7.0,0.0,0.0
845f437ffffffff,1.0,0.0,0.0
845f439ffffffff,1.0,0.0,0.0
845f445ffffffff,1.0,0.0,0.0
845f485ffffffff,4.0,0.0,0.0
845f487ffffffff,9.0,0.0,0.0
845f4a3ffffffff,16.0,0.0,0.0
845f4a7ffffffff,12.0,0.0,0.0
845f4a9ffffffff,24.0,0.0,0.0
845f4abffffffff,2.0,0.0,0.0
845f4bdffffffff,11.0,0.0,0.0
845f4e7ffffffff,3.0,0.0,0.0
845f50bffffffff,9.0,0.0,0.0
845f581ffffffff,16.0,0.0,0.0
845f583ffffffff,1739.0,0.0,0.0
845f587ffffffff,18.0,0.0,0.0
845f58bffffffff,22.0,0.0,0.0
845f595ffffffff,31.0,0.0,0.0
845f5abffffffff,1.0,0.0,0.0
845f5b5ffffffff,500.0,0.0,0.0
845f5b9ffffffff,106.0,0.0,0.0
845f5bdffffffff,49.0,0.0,0.0
845f5d7ffffffff,3.0,0.0,0.0
845f665ffffffff,1.0,0.0,0.0
845f683ffffffff,3.0,0.0,0.0
845f689ffffffff,5.0,0.0,0.0
