cell_id,Colibri cyanotus,Colibri cyanotus cabanidis,Colibri cyanotus cyanotus/crissalis
825f4ffffffffff,4.0,0.0,0.0
82660ffffffffff,4.0,0.0,0.0
82661ffffffffff,5.0,0.0,3.0
826627fffffffff,14.0,0.0,6.0
8266a7fffffffff,2.0,0.0,0.0
8266b7fffffffff,591.0,579.0,0.0
8266d7fffffffff,69.0,0.0,8.0
8266dffffffffff,5.0,0.0,2.0
8266e7fffffffff,10.0,0.0,3.0
82674ffffffffff,34.0,0.0,6.0
826d6ffffffffff,234.0,221.0,0.0
828b67fffffffff,5.0,0.0,5.0
828b6ffffffffff,3.0,0.0,1.0
828e67fffffffff,1.0,0.0,1.0
828f2ffffffffff,2.0,0.0,0.0
828f47fffffffff,4.0,0.0,0.0
828f4ffffffffff,4.0,0.0,0.0
828f57fffffffff,1.0,0.0,0.0
828f5ffffffffff,6.0,0.0,6.0
