cell_id,Galbula ruficauda,Galbula ruficauda melanogenia,Galbula ruficauda [ruficauda Group],Galbula ruficauda rufoviridis/heterogyna
836755fffffffff,41.0,0.0,2.0,0.0
836758fffffffff,14.0,0.0,0.0,0.0
836759fffffffff,57.0,0.0,4.0,0.0
83675afffffffff,142.0,0.0,0.0,0.0
83675bfffffffff,9.0,0.0,0.0,0.0
83675cfffffffff,642.0,0.0,0.0,0.0
83675dfffffffff,27.0,0.0,0.0,0.0
83675efffffffff,22.0,0.0,0.0,0.0
83676bfffffffff,1.0,0.0,0.0,0.0
836790fffffffff,11.0,0.0,0.0,0.0
836792fffffffff,1.0,0.0,0.0,0.0
836794fffffffff,6.0,0.0,0.0,0.0
836796fffffffff,23.0,0.0,0.0,0.0
83679afffffffff,2701.0,0.0,0.0,0.0
83679bfffffffff,23.0,0.0,0.0,0.0
836d20fffffffff,55.0,0.0,0.0,0.0
836d21fffffffff,53.0,9.0,0.0,0.0
836d2cfffffffff,510.0,115.0,0.0,0.0
836d2dfffffffff,117.0,0.0,0.0,0.0
836d30fffffffff,34.0,9.0,0.0,0.0
836d65fffffffff,127.0,0.0,0.0,0.0
836d68fffffffff,590.0,0.0,0.0,0.0
836d69fffffffff,8332.0,0.0,0.0,0.0
836d6dfffffffff,77.0,0.0,0.0,0.0
838002fffffffff,5.0,0.0,0.0,0.0
838005fffffffff,13.0,0.0,0.0,2.0
838006fffffffff,4.0,0.0,0.0,0.0
83800cfffffffff,10.0,0.0,0.0,0.0
838010fffffffff,187.0,0.0,0.0,5.0
838011fffffffff,3.0,0.0,0.0,0.0
838014fffffffff,2.0,0.0,0.0,0.0
838016fffffffff,5.0,0.0,0.0,0.0
83801cfffffffff,2.0,0.0,0.0,0.0
83802cfffffffff,2.0,0.0,0.0,0.0
838030fffffffff,89.0,0.0,0.0,3.0
838032fffffffff,2.0,0.0,0.0,0.0
838036fffffffff,92.0,0.0,0.0,3.0
838044fffffffff,1.0,0.0,0.0,0.0
838046fffffffff,2.0,0.0,0.0,0.0
838061fffffffff,7.0,0.0,0.0,0.0
838065fffffffff,19.0,0.0,0.0,0.0
838066fffffffff,4.0,0.0,0.0,0.0
838072fffffffff,1.0,0.0,0.0,0.0
838073fffffffff,3.0,0.0,0.0,0.0
838074fffffffff,11.0,0.0,0.0,0.0
838100fffffffff,10.0,0.0,0.0,0.0
838102fffffffff,147.0,0.0,0.0,6.0
838104fffffffff,2.0,0.0,0.0,0.0
838106fffffffff,18.0,0.0,0.0,2.0
838109fffffffff,7.0,0.0,0.0,0.0
838110fffffffff,4.0,0.0,0.0,0.0
838112fffffffff,7.0,0.0,0.0,2.0
838114fffffffff,11.0,0.0,0.0,0.0
838116fffffffff,43.0,0.0,0.0,1.0
83811efffffffff,7.0,0.0,0.0,0.0
838121fffffffff,38.0,0.0,0.0,2.0
838124fffffffff,183.0,0.0,0.0,18.0
838129fffffffff,2.0,0.0,0.0,0.0
83812bfffffffff,3.0,0.0,0.0,0.0
83812cfffffffff,2.0,0.0,0.0,0.0
83812dfffffffff,40.0,0.0,0.0,0.0
838130fffffffff,6.0,0.0,0.0,0.0
838132fffffffff,96.0,0.0,0.0,8.0
838133fffffffff,70.0,0.0,0.0,4.0
838134fffffffff,11.0,0.0,0.0,0.0
838136fffffffff,16.0,0.0,0.0,2.0
838140fffffffff,12.0,0.0,0.0,0.0
838141fffffffff,1.0,0.0,0.0,0.0
838142fffffffff,2.0,0.0,0.0,0.0
838143fffffffff,6.0,0.0,0.0,0.0
838144fffffffff,33.0,0.0,0.0,0.0
838145fffffffff,75.0,0.0,0.0,0.0
838146fffffffff,14.0,0.0,0.0,0.0
83814afffffffff,77.0,0.0,0.0,0.0
83814cfffffffff,2.0,0.0,0.0,0.0
83814dfffffffff,88.0,0.0,0.0,0.0
83814efffffffff,49.0,0.0,0.0,0.0
838151fffffffff,2.0,0.0,0.0,0.0
838158fffffffff,7.0,0.0,0.0,0.0
83815afffffffff,1.0,0.0,0.0,0.0
83815cfffffffff,3.0,0.0,0.0,0.0
83815dfffffffff,36.0,0.0,0.0,0.0
83815efffffffff,4.0,0.0,0.0,0.0
838160fffffffff,1.0,0.0,0.0,0.0
838162fffffffff,42.0,0.0,0.0,0.0
838163fffffffff,127.0,0.0,0.0,0.0
838164fffffffff,1.0,0.0,0.0,0.0
838166fffffffff,4.0,0.0,0.0,0.0
838170fffffffff,5.0,0.0,0.0,0.0
838171fffffffff,307.0,0.0,0.0,0.0
838172fffffffff,6.0,0.0,0.0,0.0
838173fffffffff,4.0,0.0,0.0,0.0
838175fffffffff,26.0,0.0,0.0,0.0
838176fffffffff,2.0,0.0,0.0,0.0
838180fffffffff,69.0,0.0,0.0,3.0
838181fffffffff,348.0,0.0,0.0,14.0
838183fffffffff,175.0,0.0,0.0,2.0
838185fffffffff,124.0,0.0,0.0,17.0
83818dfffffffff,5.0,0.0,0.0,0.0
83818efffffffff,50.0,0.0,0.0,0.0
83819dfffffffff,15.0,0.0,0.0,0.0
8381a1fffffffff,51.0,0.0,0.0,13.0
8381a8fffffffff,1.0,0.0,0.0,0.0
8381a9fffffffff,2.0,0.0,0.0,0.0
8381acfffffffff,1.0,0.0,0.0,0.0
8381adfffffffff,4.0,0.0,0.0,1.0
838a04fffffffff,2.0,0.0,0.0,0.0
838a05fffffffff,13.0,0.0,0.0,0.0
838a06fffffffff,2.0,0.0,0.0,0.0
838a15fffffffff,1.0,0.0,0.0,0.0
838a21fffffffff,7.0,0.0,0.0,0.0
838a23fffffffff,3.0,0.0,0.0,0.0
838a24fffffffff,1.0,0.0,0.0,0.0
838a25fffffffff,6.0,0.0,0.0,0.0
838a2cfffffffff,1.0,0.0,0.0,0.0
838a2efffffffff,2.0,0.0,0.0,0.0
838a31fffffffff,27.0,0.0,0.0,0.0
838a33fffffffff,4.0,0.0,0.0,0.0
838a80fffffffff,2.0,0.0,0.0,0.0
838a82fffffffff,3.0,0.0,0.0,0.0
838a90fffffffff,3.0,0.0,0.0,0.0
838a92fffffffff,1.0,0.0,0.0,0.0
