cell_id,Turdus rufopalliatus,Turdus rufopalliatus rufopalliatus,Turdus rufopalliatus graysoni
8426987ffffffff,79.0,0.0,0.0
8429843ffffffff,2.0,0.0,0.0
8429863ffffffff,119.0,1.0,0.0
842986bffffffff,17.0,2.0,0.0
842986dffffffff,9.0,0.0,0.0
842990bffffffff,1.0,0.0,0.0
8429a05ffffffff,3.0,0.0,0.0
8429a29ffffffff,12.0,0.0,0.0
8429a3dffffffff,27.0,0.0,0.0
8429a55ffffffff,4.0,0.0,0.0
8429a65ffffffff,33.0,0.0,0.0
8429a69ffffffff,2.0,0.0,0.0
8429a6dffffffff,16.0,0.0,0.0
8429b15ffffffff,2.0,0.0,0.0
8429b2dffffffff,9.0,0.0,0.0
8429b5bffffffff,36.0,1.0,0.0
8429b65ffffffff,10.0,0.0,0.0
8429b67ffffffff,2.0,0.0,0.0
8429b69ffffffff,12.0,0.0,0.0
8429b6bffffffff,53.0,2.0,0.0
8429b6dffffffff,13.0,0.0,0.0
84480a3ffffffff,1.0,1.0,0.0
84480adffffffff,6.0,6.0,0.0
8448331ffffffff,1.0,1.0,0.0
8448337ffffffff,1.0,1.0,0.0
8448361ffffffff,3.0,1.0,1.0
8448363ffffffff,17.0,2.0,10.0
84485a3ffffffff,2.0,0.0,0.0
84485a7ffffffff,10.0,0.0,0.0
84485b5ffffffff,7.0,0.0,0.0
8448831ffffffff,64.0,0.0,0.0
84488a7ffffffff,2.0,0.0,0.0
84488e9ffffffff,8.0,0.0,0.0
8448959ffffffff,4.0,0.0,0.0
8448a27ffffffff,13.0,0.0,0.0
8448b3dffffffff,9.0,0.0,0.0
8448c05ffffffff,51.0,0.0,0.0
8448c07ffffffff,7.0,0.0,0.0
8448c0bffffffff,1.0,0.0,0.0
8448c1dffffffff,2.0,0.0,0.0
8448c2bffffffff,14.0,0.0,0.0
8448c51ffffffff,2.0,0.0,0.0
8448c59ffffffff,39.0,2.0,0.0
8448c61ffffffff,13.0,0.0,0.0
8448c63ffffffff,2.0,0.0,0.0
8448c93ffffffff,25.0,0.0,0.0
8448cd7ffffffff,9.0,0.0,0.0
8448e33ffffffff,6.0,0.0,0.0
8448e37ffffffff,4.0,0.0,0.0
8448e81ffffffff,3.0,0.0,0.0
8448e83ffffffff,111.0,19.0,0.0
8448e85ffffffff,127.0,0.0,0.0
8448e8dffffffff,147.0,0.0,0.0
8448e97ffffffff,22.0,0.0,0.0
8448e99ffffffff,20.0,0.0,0.0
8448e9bffffffff,3.0,0.0,0.0
8448eabffffffff,3.0,1.0,0.0
8448eadffffffff,8.0,0.0,0.0
8448eb1ffffffff,49.0,5.0,0.0
8448eb3ffffffff,13.0,0.0,0.0
8448eb9ffffffff,5.0,0.0,0.0
8448ebbffffffff,12.0,0.0,0.0
8448ec5ffffffff,1.0,0.0,0.0
8448ec7ffffffff,726.0,2.0,0.0
8448ed3ffffffff,3.0,0.0,0.0
8448ee1ffffffff,13.0,0.0,0.0
8448ee3ffffffff,95.0,2.0,0.0
8448ee9ffffffff,22.0,3.0,0.0
8448eebffffffff,323.0,6.0,0.0
84498e1ffffffff,4.0,0.0,0.0
84498e9ffffffff,5.0,0.0,0.0
8449919ffffffff,6.0,0.0,0.0
8449945ffffffff,1.0,0.0,0.0
844994bffffffff,4.0,0.0,0.0
8449951ffffffff,1.0,1.0,0.0
844995dffffffff,10.0,0.0,0.0
8449969ffffffff,2.0,0.0,0.0
8449a8bffffffff,1.0,1.0,0.0
8449b23ffffffff,2.0,0.0,0.0
8449b33ffffffff,35.0,35.0,0.0
8449b35ffffffff,2.0,0.0,0.0
8449b37ffffffff,8.0,2.0,0.0
846d045ffffffff,1.0,0.0,0.0
846d159ffffffff,6.0,0.0,0.0
846d32bffffffff,3.0,0.0,0.0
846d337ffffffff,2.0,0.0,0.0
846d36dffffffff,5.0,0.0,0.0
846d65dffffffff,1.0,0.0,0.0
