cell_id,Antrostomus rufus,Antrostomus rufus [rufus Group],Antrostomus rufus otiosus,Antrostomus rufus minimus
825e47fffffffff,20.0,0.0,15.0,0.0
825f0ffffffffff,12.0,0.0,0.0,0.0
825f2ffffffffff,9.0,0.0,0.0,0.0
825f47fffffffff,1.0,0.0,0.0,0.0
825f5ffffffffff,32.0,0.0,0.0,0.0
826617fffffffff,97.0,0.0,0.0,6.0
826627fffffffff,68.0,0.0,0.0,0.0
82662ffffffffff,30.0,0.0,0.0,0.0
826637fffffffff,22.0,0.0,0.0,0.0
826647fffffffff,3.0,0.0,0.0,0.0
826657fffffffff,54.0,0.0,0.0,0.0
826667fffffffff,2.0,0.0,0.0,0.0
82666ffffffffff,14.0,0.0,0.0,0.0
826677fffffffff,6.0,0.0,0.0,0.0
826687fffffffff,11.0,0.0,0.0,1.0
8266a7fffffffff,170.0,0.0,0.0,11.0
8266b7fffffffff,81.0,0.0,0.0,1.0
8266effffffffff,3.0,0.0,0.0,0.0
826747fffffffff,29.0,0.0,0.0,0.0
82674ffffffffff,44.0,0.0,0.0,0.0
826757fffffffff,38.0,0.0,0.0,0.0
82675ffffffffff,11.0,0.0,0.0,0.0
828007fffffffff,14.0,1.0,0.0,0.0
82800ffffffffff,2.0,0.0,0.0,0.0
828017fffffffff,4.0,0.0,0.0,0.0
828037fffffffff,26.0,10.0,0.0,0.0
82804ffffffffff,4.0,0.0,0.0,0.0
828067fffffffff,3.0,0.0,0.0,0.0
828107fffffffff,52.0,0.0,0.0,0.0
82810ffffffffff,1.0,0.0,0.0,0.0
828117fffffffff,13.0,0.0,0.0,0.0
82811ffffffffff,8.0,0.0,0.0,0.0
828127fffffffff,41.0,1.0,0.0,0.0
828137fffffffff,5.0,0.0,0.0,0.0
828147fffffffff,3.0,0.0,0.0,0.0
82814ffffffffff,13.0,0.0,0.0,0.0
82815ffffffffff,6.0,0.0,0.0,0.0
828177fffffffff,4.0,2.0,0.0,0.0
828187fffffffff,58.0,14.0,0.0,0.0
82819ffffffffff,4.0,0.0,0.0,0.0
8281a7fffffffff,2.0,0.0,0.0,0.0
8281affffffffff,4.0,0.0,0.0,0.0
828a07fffffffff,2.0,0.0,0.0,0.0
828a17fffffffff,1.0,0.0,0.0,0.0
828a87fffffffff,9.0,0.0,0.0,0.0
828a8ffffffffff,2.0,0.0,0.0,0.0
828aaffffffffff,6.0,0.0,0.0,0.0
828ad7fffffffff,2.0,0.0,0.0,0.0
828adffffffffff,9.0,0.0,0.0,0.0
828af7fffffffff,12.0,2.0,0.0,0.0
828b0ffffffffff,4.0,0.0,0.0,0.0
828b1ffffffffff,1.0,0.0,0.0,0.0
828b27fffffffff,69.0,0.0,0.0,0.0
828b2ffffffffff,1.0,0.0,0.0,0.0
828b37fffffffff,31.0,0.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0,0.0
828b8ffffffffff,1.0,0.0,0.0,0.0
828b97fffffffff,1.0,0.0,0.0,0.0
828b9ffffffffff,4.0,0.0,0.0,0.0
828ba7fffffffff,13.0,0.0,0.0,0.0
828bb7fffffffff,98.0,5.0,0.0,0.0
828f47fffffffff,144.0,0.0,0.0,0.0
82a597fffffffff,9.0,0.0,0.0,0.0
82a807fffffffff,4.0,0.0,0.0,0.0
82a80ffffffffff,22.0,0.0,0.0,0.0
82a817fffffffff,30.0,2.0,0.0,0.0
82a81ffffffffff,125.0,0.0,0.0,0.0
82a82ffffffffff,5.0,0.0,0.0,0.0
82a847fffffffff,35.0,0.0,0.0,0.0
82a85ffffffffff,99.0,7.0,0.0,0.0
82a867fffffffff,23.0,0.0,0.0,0.0
82a86ffffffffff,5.0,0.0,0.0,0.0
82a877fffffffff,29.0,0.0,0.0,0.0
82a887fffffffff,3.0,0.0,0.0,0.0
82a88ffffffffff,10.0,0.0,0.0,0.0
82a897fffffffff,1.0,0.0,0.0,0.0
82a8a7fffffffff,10.0,0.0,0.0,0.0
82a8affffffffff,12.0,0.0,0.0,0.0
82a8c7fffffffff,5.0,0.0,0.0,0.0
82a8cffffffffff,2.0,1.0,0.0,0.0
82a8d7fffffffff,18.0,2.0,0.0,0.0
82a8dffffffffff,7.0,0.0,0.0,0.0
82a8e7fffffffff,5.0,0.0,0.0,0.0
82a8effffffffff,1.0,0.0,0.0,0.0
82a8f7fffffffff,2.0,0.0,0.0,0.0
82a947fffffffff,83.0,0.0,0.0,0.0
82a94ffffffffff,18.0,0.0,0.0,0.0
82a95ffffffffff,75.0,0.0,0.0,0.0
82a96ffffffffff,90.0,0.0,0.0,0.0
82a977fffffffff,10.0,0.0,0.0,0.0
82b267fffffffff,1.0,0.0,0.0,0.0
82b277fffffffff,11.0,0.0,0.0,0.0
82b347fffffffff,231.0,0.0,0.0,0.0
82b357fffffffff,2.0,0.0,0.0,0.0
82b35ffffffffff,170.0,0.0,0.0,0.0
82b367fffffffff,8.0,0.0,0.0,0.0
