cell_id,Sayornis nigricans,Sayornis nigricans [nigricans Group],Sayornis nigricans latirostris/angustirostris
8426835ffffffff,3.0,0.0,0.0
8426881ffffffff,454.0,0.0,0.0
8426887ffffffff,2.0,0.0,0.0
8426889ffffffff,10.0,0.0,0.0
842688dffffffff,339.0,0.0,0.0
8426897ffffffff,3.0,0.0,0.0
84268b5ffffffff,6.0,0.0,0.0
84268b9ffffffff,2.0,0.0,0.0
84268bbffffffff,8.0,0.0,0.0
84268bdffffffff,3.0,0.0,0.0
84268e3ffffffff,7.0,0.0,0.0
84268e7ffffffff,34.0,0.0,0.0
8426913ffffffff,4.0,0.0,0.0
8426915ffffffff,42.0,0.0,0.0
8426917ffffffff,40.0,0.0,0.0
842691dffffffff,6.0,0.0,0.0
8426927ffffffff,1.0,0.0,0.0
8426931ffffffff,1.0,0.0,0.0
8426939ffffffff,7.0,0.0,0.0
842693bffffffff,1.0,0.0,0.0
8426981ffffffff,2.0,0.0,0.0
8426983ffffffff,12.0,0.0,0.0
8426987ffffffff,187.0,0.0,0.0
8426989ffffffff,211.0,0.0,0.0
842698dffffffff,106.0,0.0,0.0
8426991ffffffff,51.0,0.0,0.0
8426993ffffffff,3.0,0.0,0.0
8426995ffffffff,202.0,0.0,0.0
8426997ffffffff,18.0,0.0,0.0
842699bffffffff,21.0,0.0,0.0
84269a1ffffffff,25.0,0.0,0.0
84269a5ffffffff,4.0,0.0,0.0
84269abffffffff,8.0,0.0,0.0
84269b1ffffffff,2.0,0.0,0.0
84269b9ffffffff,23.0,0.0,0.0
84269bbffffffff,79.0,0.0,0.0
84269bdffffffff,1.0,0.0,0.0
84269c1ffffffff,433.0,0.0,0.0
84269c3ffffffff,76.0,0.0,0.0
84269c5ffffffff,73.0,0.0,0.0
84269c9ffffffff,81.0,0.0,0.0
84269cbffffffff,48.0,0.0,0.0
84269cdffffffff,227.0,0.0,0.0
84269d5ffffffff,66.0,0.0,0.0
84269ddffffffff,7.0,0.0,0.0
84269e1ffffffff,15.0,0.0,0.0
84269e5ffffffff,2.0,0.0,0.0
84269e9ffffffff,31.0,0.0,0.0
84269ebffffffff,20.0,0.0,0.0
84269edffffffff,6.0,0.0,0.0
8426d25ffffffff,14.0,0.0,0.0
8426d67ffffffff,14.0,0.0,0.0
8428005ffffffff,187.0,0.0,0.0
8428007ffffffff,94.0,0.0,0.0
8428021ffffffff,262.0,0.0,0.0
8428023ffffffff,5515.0,0.0,0.0
8428025ffffffff,51.0,0.0,0.0
8428027ffffffff,101.0,0.0,0.0
8428029ffffffff,43.0,0.0,0.0
842802bffffffff,9138.0,0.0,0.0
842802dffffffff,84.0,0.0,0.0
8428035ffffffff,380.0,0.0,0.0
8428061ffffffff,141.0,0.0,0.0
8428063ffffffff,385.0,0.0,0.0
8428065ffffffff,132.0,0.0,0.0
8428067ffffffff,103.0,0.0,0.0
8428069ffffffff,1943.0,0.0,0.0
842806bffffffff,533.0,0.0,0.0
842806dffffffff,632.0,0.0,0.0
8428101ffffffff,8.0,0.0,0.0
8428103ffffffff,81.0,0.0,0.0
8428109ffffffff,23.0,0.0,0.0
842810bffffffff,97.0,0.0,0.0
842810dffffffff,16.0,0.0,0.0
8428111ffffffff,281.0,0.0,0.0
8428113ffffffff,107.0,0.0,0.0
8428115ffffffff,2.0,0.0,0.0
8428117ffffffff,127.0,0.0,0.0
8428119ffffffff,39.0,0.0,0.0
842811bffffffff,27.0,0.0,0.0
842811dffffffff,26.0,0.0,0.0
8428133ffffffff,71.0,0.0,0.0
842813bffffffff,123.0,0.0,0.0
8428141ffffffff,678.0,0.0,0.0
8428143ffffffff,157.0,0.0,0.0
8428145ffffffff,47.0,0.0,0.0
8428147ffffffff,156.0,0.0,0.0
8428149ffffffff,1028.0,0.0,0.0
842814bffffffff,1046.0,0.0,0.0
842814dffffffff,99.0,0.0,0.0
8428151ffffffff,844.0,0.0,0.0
8428153ffffffff,418.0,0.0,0.0
8428155ffffffff,156.0,0.0,0.0
8428157ffffffff,606.0,0.0,0.0
8428159ffffffff,255.0,0.0,0.0
842815bffffffff,6.0,0.0,0.0
842815dffffffff,599.0,0.0,0.0
8428165ffffffff,2.0,0.0,0.0
842816bffffffff,264.0,0.0,0.0
8428181ffffffff,7.0,0.0,0.0
8428183ffffffff,1192.0,0.0,0.0
8428185ffffffff,18.0,0.0,0.0
8428187ffffffff,160.0,0.0,0.0
8428189ffffffff,16.0,0.0,0.0
842818bffffffff,336.0,0.0,0.0
842818dffffffff,287.0,30.0,0.0
8428195ffffffff,466.0,0.0,0.0
842819dffffffff,423.0,0.0,0.0
84281a3ffffffff,215.0,0.0,0.0
