cell_id,Stilpnia cayana,Stilpnia cayana cayana/fulvescens,Stilpnia cayana [flava Group]
825f0ffffffffff,140.0,0.0,0.0
825f17fffffffff,6.0,0.0,0.0
825f1ffffffffff,29.0,0.0,0.0
825f27fffffffff,12.0,0.0,0.0
825f2ffffffffff,488.0,2.0,0.0
825f47fffffffff,85.0,1.0,0.0
825f4ffffffffff,51.0,5.0,0.0
825f67fffffffff,5.0,0.0,0.0
825f6ffffffffff,15.0,0.0,0.0
825f77fffffffff,175.0,4.0,0.0
82660ffffffffff,838.0,14.0,0.0
82662ffffffffff,355.0,4.0,0.0
826647fffffffff,446.0,13.0,0.0
82664ffffffffff,1.0,0.0,0.0
826657fffffffff,1017.0,3.0,0.0
82665ffffffffff,23.0,0.0,0.0
826667fffffffff,84.0,0.0,0.0
82666ffffffffff,1.0,0.0,0.0
826677fffffffff,249.0,0.0,0.0
8266c7fffffffff,81.0,0.0,0.0
8266cffffffffff,12.0,0.0,0.0
8266e7fffffffff,3263.0,56.0,0.0
8266effffffffff,624.0,15.0,0.0
826747fffffffff,404.0,8.0,0.0
82674ffffffffff,433.0,3.0,0.0
826757fffffffff,111.0,0.0,0.0
82675ffffffffff,676.0,8.0,0.0
828007fffffffff,44.0,0.0,2.0
828017fffffffff,296.0,0.0,11.0
828027fffffffff,3.0,0.0,0.0
828037fffffffff,217.0,0.0,18.0
82804ffffffffff,16.0,0.0,0.0
82806ffffffffff,15.0,0.0,0.0
828107fffffffff,393.0,0.0,20.0
82810ffffffffff,11.0,0.0,0.0
828117fffffffff,55.0,0.0,4.0
82811ffffffffff,20.0,0.0,0.0
828127fffffffff,391.0,0.0,19.0
82812ffffffffff,42.0,0.0,5.0
828137fffffffff,601.0,0.0,24.0
828147fffffffff,35.0,0.0,0.0
82814ffffffffff,4.0,0.0,0.0
828157fffffffff,11.0,0.0,0.0
82815ffffffffff,6.0,0.0,0.0
828177fffffffff,236.0,0.0,0.0
828187fffffffff,1046.0,0.0,56.0
82818ffffffffff,106.0,0.0,0.0
82819ffffffffff,82.0,0.0,0.0
8281a7fffffffff,32.0,0.0,2.0
8281affffffffff,68.0,0.0,0.0
828a9ffffffffff,2.0,0.0,0.0
828adffffffffff,151.0,4.0,0.0
828b0ffffffffff,9.0,0.0,0.0
828b27fffffffff,1.0,0.0,0.0
828b57fffffffff,3.0,0.0,0.0
828b77fffffffff,6.0,0.0,0.0
828b9ffffffffff,3.0,0.0,3.0
828ba7fffffffff,10.0,0.0,2.0
828bb7fffffffff,599.0,0.0,30.0
828f47fffffffff,103.0,2.0,0.0
828f77fffffffff,1.0,0.0,0.0
82a597fffffffff,139.0,0.0,0.0
82a807fffffffff,213.0,0.0,12.0
82a80ffffffffff,52.0,0.0,0.0
82a817fffffffff,3319.0,0.0,149.0
82a81ffffffffff,3445.0,0.0,7.0
82a82ffffffffff,30.0,0.0,1.0
82a837fffffffff,3.0,0.0,0.0
82a847fffffffff,14.0,0.0,0.0
82a857fffffffff,172.0,0.0,14.0
82a85ffffffffff,9.0,0.0,0.0
82a867fffffffff,8.0,0.0,0.0
82a877fffffffff,33.0,0.0,0.0
82a887fffffffff,1104.0,0.0,30.0
82a88ffffffffff,688.0,0.0,29.0
82a897fffffffff,145.0,0.0,11.0
82a89ffffffffff,11.0,0.0,0.0
82a8a7fffffffff,1839.0,0.0,68.0
82a8affffffffff,1307.0,0.0,35.0
82a8b7fffffffff,7.0,0.0,0.0
82a8c7fffffffff,286.0,0.0,8.0
82a8cffffffffff,5.0,0.0,1.0
82a8d7fffffffff,824.0,0.0,98.0
82a8dffffffffff,262.0,0.0,38.0
82a8e7fffffffff,14.0,0.0,1.0
82a8effffffffff,67.0,0.0,2.0
82a8f7fffffffff,170.0,0.0,9.0
82a947fffffffff,136.0,0.0,0.0
82a957fffffffff,6.0,0.0,0.0
82a95ffffffffff,31.0,0.0,0.0
82a977fffffffff,3.0,0.0,0.0
