cell_id,Muscicapa striata,Muscicapa striata [striata Group],Muscicapa striata tyrrhenica/balearica
830126fffffffff,4.0,0.0,0.0
830135fffffffff,2.0,0.0,0.0
830802fffffffff,2.0,0.0,0.0
830806fffffffff,5.0,0.0,0.0
830810fffffffff,4.0,0.0,0.0
830811fffffffff,6.0,0.0,0.0
830812fffffffff,11.0,0.0,0.0
830813fffffffff,8.0,0.0,0.0
830814fffffffff,3.0,0.0,0.0
830815fffffffff,6.0,0.0,0.0
830816fffffffff,8.0,0.0,0.0
830818fffffffff,2.0,0.0,0.0
830819fffffffff,5.0,0.0,0.0
83081dfffffffff,7.0,0.0,0.0
83081efffffffff,15.0,0.0,0.0
830829fffffffff,1.0,0.0,0.0
830832fffffffff,4.0,0.0,0.0
830833fffffffff,3.0,0.0,0.0
830836fffffffff,1.0,0.0,0.0
830880fffffffff,10.0,0.0,0.0
830882fffffffff,9.0,0.0,0.0
830883fffffffff,8.0,0.0,0.0
830884fffffffff,17.0,0.0,0.0
830885fffffffff,2.0,0.0,0.0
830886fffffffff,66.0,0.0,0.0
830888fffffffff,19.0,6.0,0.0
83088afffffffff,11.0,0.0,0.0
83088bfffffffff,3.0,0.0,0.0
83088efffffffff,21.0,8.0,0.0
830890fffffffff,10.0,0.0,0.0
830893fffffffff,19.0,0.0,0.0
830895fffffffff,32.0,0.0,0.0
830896fffffffff,11.0,0.0,0.0
830898fffffffff,24.0,0.0,0.0
830899fffffffff,102.0,21.0,0.0
83089afffffffff,57.0,0.0,0.0
83089bfffffffff,32.0,2.0,0.0
83089cfffffffff,3.0,0.0,0.0
83089dfffffffff,67.0,0.0,0.0
83089efffffffff,22.0,0.0,0.0
8308a0fffffffff,4.0,0.0,0.0
8308a2fffffffff,5.0,0.0,0.0
8308a3fffffffff,10.0,0.0,0.0
8308a4fffffffff,30.0,0.0,0.0
8308a5fffffffff,2.0,0.0,0.0
8308a6fffffffff,8.0,0.0,0.0
8308a9fffffffff,4.0,0.0,0.0
8308b0fffffffff,14.0,0.0,0.0
8308b1fffffffff,12.0,0.0,0.0
8308b2fffffffff,1.0,0.0,0.0
8308b3fffffffff,11.0,0.0,0.0
8308b4fffffffff,2.0,0.0,0.0
8308b5fffffffff,3.0,0.0,0.0
8308b6fffffffff,3.0,0.0,0.0
