cell_id,Rhea pennata,Rhea pennata tarapacensis/garleppi,Rhea pennata pennata
82b20ffffffffff,2.0,0.0,1.0
82b22ffffffffff,5.0,1.0,0.0
82b2effffffffff,3.0,3.0,0.0
82b307fffffffff,34.0,23.0,0.0
82b30ffffffffff,6.0,4.0,0.0
82b327fffffffff,13.0,0.0,0.0
82b337fffffffff,7.0,0.0,0.0
82b357fffffffff,42.0,12.0,2.0
82b377fffffffff,33.0,10.0,0.0
82c307fffffffff,4.0,0.0,4.0
82c327fffffffff,5.0,0.0,5.0
82c32ffffffffff,16.0,0.0,16.0
82ce87fffffffff,2.0,0.0,2.0
82cf17fffffffff,3.0,0.0,3.0
82cf8ffffffffff,30.0,0.0,13.0
82cf9ffffffffff,1.0,0.0,0.0
82cfa7fffffffff,3.0,0.0,1.0
82df6ffffffffff,7.0,0.0,2.0
