cell_id,Sporophila morelleti,Sporophila morelleti sharpei,Sporophila morelleti morelleti
834424fffffffff,101.0,0.0,0.0
834501fffffffff,265.0,0.0,0.0
834505fffffffff,2160.0,0.0,0.0
834508fffffffff,98.0,0.0,0.0
834509fffffffff,311.0,0.0,0.0
83450afffffffff,1126.0,0.0,0.0
83450bfffffffff,887.0,0.0,0.0
83450cfffffffff,248.0,0.0,0.0
83450dfffffffff,169.0,0.0,0.0
83450efffffffff,472.0,0.0,0.0
834519fffffffff,14.0,0.0,0.0
83451dfffffffff,10.0,0.0,0.0
834520fffffffff,1777.0,0.0,0.0
834521fffffffff,6752.0,0.0,0.0
834522fffffffff,1839.0,0.0,0.0
834523fffffffff,3351.0,0.0,0.0
834524fffffffff,586.0,0.0,0.0
834525fffffffff,672.0,0.0,0.0
834526fffffffff,2455.0,0.0,0.0
834528fffffffff,637.0,0.0,0.0
834529fffffffff,120.0,0.0,0.0
83452afffffffff,8147.0,0.0,0.0
83452bfffffffff,216.0,0.0,0.0
83452cfffffffff,3045.0,0.0,0.0
83452dfffffffff,303.0,0.0,0.0
83452efffffffff,16245.0,0.0,0.0
834530fffffffff,70.0,0.0,0.0
834531fffffffff,876.0,0.0,0.0
834532fffffffff,168.0,0.0,0.0
834534fffffffff,120.0,0.0,0.0
834535fffffffff,334.0,0.0,0.0
834536fffffffff,62.0,0.0,0.0
834564fffffffff,18.0,0.0,0.0
83456dfffffffff,11.0,0.0,0.0
834572fffffffff,87.0,0.0,0.0
834574fffffffff,49.0,0.0,0.0
834576fffffffff,86.0,0.0,0.0
834880fffffffff,948.0,0.0,0.0
834881fffffffff,22.0,0.0,0.0
834884fffffffff,4.0,0.0,0.0
834886fffffffff,634.0,0.0,0.0
8348a2fffffffff,216.0,0.0,0.0
8348b1fffffffff,20.0,0.0,0.0
8348b4fffffffff,2.0,0.0,0.0
8348b5fffffffff,39.0,0.0,0.0
834990fffffffff,105.0,0.0,0.0
834991fffffffff,53.0,0.0,0.0
834992fffffffff,138.0,0.0,0.0
834993fffffffff,53.0,0.0,0.0
834994fffffffff,28.0,0.0,0.0
834996fffffffff,3292.0,0.0,0.0
834998fffffffff,249.0,0.0,0.0
83499afffffffff,3.0,0.0,0.0
83499bfffffffff,28.0,0.0,0.0
83499cfffffffff,23.0,0.0,0.0
83499dfffffffff,5.0,0.0,0.0
83499efffffffff,43.0,0.0,0.0
8366a2fffffffff,56.0,0.0,0.0
8366a6fffffffff,124.0,0.0,0.0
8366b0fffffffff,875.0,0.0,0.0
8366b1fffffffff,63.0,0.0,0.0
8366b4fffffffff,1712.0,0.0,0.0
8366b5fffffffff,1765.0,0.0,0.0
8366b6fffffffff,277.0,0.0,0.0
836790fffffffff,56.0,0.0,0.0
836791fffffffff,9.0,0.0,0.0
836792fffffffff,43.0,0.0,0.0
836793fffffffff,43.0,0.0,0.0
836794fffffffff,43.0,0.0,0.0
836796fffffffff,169.0,0.0,0.0
83679afffffffff,724.0,0.0,0.0
83679bfffffffff,744.0,0.0,0.0
8367b2fffffffff,5.0,0.0,0.0
836d04fffffffff,112.0,0.0,0.0
836d05fffffffff,394.0,0.0,0.0
836d20fffffffff,190.0,0.0,0.0
836d21fffffffff,498.0,0.0,0.0
836d22fffffffff,85.0,0.0,0.0
836d23fffffffff,480.0,0.0,0.0
836d24fffffffff,184.0,0.0,0.0
836d25fffffffff,1054.0,0.0,0.0
836d26fffffffff,20.0,0.0,0.0
836d28fffffffff,1380.0,0.0,0.0
836d29fffffffff,665.0,0.0,0.0
836d2afffffffff,431.0,0.0,0.0
836d2bfffffffff,2669.0,0.0,0.0
836d2cfffffffff,867.0,0.0,0.0
836d2dfffffffff,3045.0,0.0,0.0
836d2efffffffff,204.0,0.0,0.0
836d30fffffffff,614.0,0.0,0.0
836d31fffffffff,348.0,0.0,0.0
836d34fffffffff,1994.0,0.0,0.0
836d35fffffffff,2452.0,0.0,0.0
836d36fffffffff,110.0,0.0,0.0
836d60fffffffff,508.0,0.0,0.0
836d61fffffffff,48.0,0.0,0.0
836d63fffffffff,76.0,0.0,0.0
836d64fffffffff,1597.0,0.0,0.0
836d65fffffffff,895.0,0.0,0.0
836d66fffffffff,537.0,0.0,0.0
836d68fffffffff,2640.0,0.0,0.0
836d69fffffffff,7078.0,0.0,0.0
836d6afffffffff,58.0,0.0,0.0
836d6bfffffffff,902.0,0.0,0.0
836d6cfffffffff,57.0,0.0,0.0
836d6dfffffffff,2434.0,0.0,0.0
836d6efffffffff,5.0,0.0,0.0
836d74fffffffff,1013.0,0.0,0.0
836d75fffffffff,565.0,0.0,0.0
836d76fffffffff,218.0,0.0,0.0
